Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize50//,data//output//runtimePerformance//DECMO2++//SolutionSetSize100//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize300//,data//output//runtimePerformance//DECMO2++//SolutionSetSize400//,data//output//runtimePerformance//DECMO2++//SolutionSetSize500//
0,9.9982647437282,10.21728397314096,11.766359970902057,12.507653120122221,13.165712856528609,13.636216211157869
1,14.016156150528415,11.643609476445546,11.766359970902057,12.507653120122221,13.165712856528609,13.636216211157869
2,17.347784933630543,14.049210460099516,13.314824254254136,12.507653120122221,13.165712856528609,13.636216211157869
3,20.50200114134844,16.199145261172593,13.314824254254136,14.143756665176033,13.165712856528609,13.636216211157869
4,23.24935871911825,18.280215535291433,15.888237007659985,14.143756665176033,14.742009963491276,13.636216211157869
5,25.77001437222045,20.39240031190332,15.888237007659985,14.143756665176033,14.742009963491276,15.30030978213611
6,28.05163393284537,22.377260341293624,18.303090406004106,16.915803250798998,14.742009963491276,15.30030978213611
7,30.390551500530062,24.359924115781897,18.303090406004106,16.915803250798998,14.742009963491276,15.30030978213611
8,32.636175077778255,26.170119958675613,20.714439896519227,16.915803250798998,17.576480629597206,15.30030978213611
9,34.80819454084254,27.878757196011332,20.714439896519227,19.55896002554511,17.576480629597206,15.30030978213611
10,36.95846454928739,29.51157365709923,23.16208884558966,19.55896002554511,17.576480629597206,18.183028534556687
11,39.051483732202186,31.112632758567052,23.16208884558966,19.55896002554511,17.576480629597206,18.183028534556687
12,40.93304537324609,32.63881112447652,25.53246927889458,22.20197962912473,20.355850619695556,18.183028534556687
13,42.66645078303853,34.186522850496715,25.53246927889458,22.20197962912473,20.355850619695556,18.183028534556687
14,44.26746024145525,35.70745220570392,27.78307508094098,22.20197962912473,20.355850619695556,18.183028534556687
15,45.796455602518606,37.179759980900144,27.78307508094098,24.793993575074463,20.355850619695556,21.081452778071906
16,47.33366788519528,38.61923088109765,29.83924039845198,24.793993575074463,23.209091116562085,21.081452778071906
17,48.755868433968786,40.04749947265491,29.83924039845198,24.793993575074463,23.209091116562085,21.081452778071906
18,50.1363279625675,41.49822250928402,31.754967213506923,27.299965521548565,23.209091116562085,21.081452778071906
19,51.437232480254195,42.8899569429731,31.754967213506923,27.299965521548565,23.209091116562085,21.081452778071906
20,52.735684779333745,44.26423430858152,33.69685673855298,27.299965521548565,25.888506382238273,23.967667622915673
21,53.917675439563446,45.598586122173984,33.69685673855298,29.57072452709072,25.888506382238273,23.967667622915673
22,55.08258708550052,46.915106777746765,35.6006577861918,29.57072452709072,25.888506382238273,23.967667622915673
23,56.19466611141621,48.26134876132482,35.6006577861918,29.57072452709072,25.888506382238273,23.967667622915673
24,57.28129774212667,49.530141275170706,37.56374370121213,31.671035380389917,28.43832764543309,23.967667622915673
25,58.312751180897536,50.79847217238365,37.56374370121213,31.671035380389917,28.43832764543309,26.719287183916375
26,59.221717697218565,52.0990645665072,39.52591859910488,31.671035380389917,28.43832764543309,26.719287183916375
27,60.07881174068497,53.34876720482085,39.52591859910488,33.72877078738997,28.43832764543309,26.719287183916375
