Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize50//,data//output//runtimePerformance//DECMO2++//SolutionSetSize100//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize300//,data//output//runtimePerformance//DECMO2++//SolutionSetSize400//,data//output//runtimePerformance//DECMO2++//SolutionSetSize500//
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.4259130141523842,0.0,0.0,0.0
15,0.12242744623594767,0.0,0.4259130141523842,0.0,0.0,0.0
16,0.14940824870591693,0.0,0.8710376343676359,0.0,0.0,0.0
17,0.5728211522695452,0.0,0.8710376343676359,0.0,0.0,0.0
18,1.0231045203480904,6.670847147840505E-4,1.5745767344617265,0.0,0.0,0.0
19,1.7171844130223026,0.0235956690564665,1.5745767344617265,0.0,0.0,0.0
20,3.3263515968114894,0.04788524616129341,2.7415245851970798,0.0,0.0,0.0
21,5.437519649926577,0.25778420066374313,2.7415245851970798,0.12183534723727016,0.0,0.0
22,8.328828013829073,0.6934973971089499,2.7415245851970798,0.12183534723727016,0.0,0.0
23,13.435894230801171,1.7334192499808572,2.7415245851970798,0.12183534723727016,0.0,0.0
24,18.669657990567423,2.441856205519189,3.817420924939351,1.2691711247990927,0.45754064672570993,0.0
25,25.168551836764806,2.7405335111227656,3.817420924939351,1.2691711247990927,0.45754064672570993,0.0
26,30.914586123419234,4.286364118692574,4.31946741466776,1.2691711247990927,0.45754064672570993,0.0
27,36.81126023875603,6.012071294061764,4.31946741466776,2.5537467865083245,0.45754064672570993,0.0
28,43.1700482506317,7.635492385343596,6.003027931389373,2.5537467865083245,0.8456983236801789,0.0
29,48.42183138724178,9.27609963850036,6.003027931389373,2.5537467865083245,0.8456983236801789,0.0
30,54.32345956879718,12.23189261668952,7.21280053336024,4.979431037599469,0.8456983236801789,0.0
31,60.01336682817014,14.402786109066012,7.21280053336024,4.979431037599469,0.8456983236801789,0.0
32,64.75064585048169,17.97581118460441,10.653897544240088,4.979431037599469,1.7106752398697453,0.0
33,68.81880221553348,21.002473742286973,10.653897544240088,10.696509414331441,1.7106752398697453,0.0
34,72.27264902184952,24.573120657568865,12.879224098457618,10.696509414331441,1.7106752398697453,0.0
35,75.68771759830051,28.62882797769217,12.879224098457618,10.696509414331441,1.7106752398697453,0.46954333521848957
36,78.5954250551714,32.51790320096815,17.47913600179172,14.525682272617054,4.0223925437669665,0.46954333521848957
37,80.7128682784329,36.385250607900254,17.47913600179172,14.525682272617054,4.0223925437669665,0.46954333521848957
38,82.88351107204672,41.48760207921905,21.794656911480683,14.525682272617054,4.0223925437669665,0.46954333521848957
39,84.80319431397336,45.63362412367923,21.794656911480683,16.834053448087776,4.0223925437669665,0.46954333521848957
40,86.51381315405939,50.239989066895106,28.912442187265246,16.834053448087776,8.074675610655891,1.5646413091664264
41,87.91000210212601,53.47251298551158,28.912442187265246,16.834053448087776,8.074675610655891,1.5646413091664264
42,89.12934393352013,57.350633060292154,35.44632709156263,23.704796691801516,8.074675610655891,1.5646413091664264
43,90.2562095026141,61.08190288319414,35.44632709156263,23.704796691801516,8.074675610655891,1.5646413091664264
44,91.19665696829775,64.74313365526754,42.84616704334802,23.704796691801516,15.89503165726085,1.5646413091664264
45,91.96381990330548,67.78824526727055,42.84616704334802,28.603510043998188,15.89503165726085,6.8948962663466675
46,92.64925888973171,70.9913099016459,50.65786345476374,28.603510043998188,15.89503165726085,6.8948962663466675
47,93.20623578637523,73.57917827517723,50.65786345476374,28.603510043998188,15.89503165726085,6.8948962663466675
48,93.68763897348006,76.20850952393202,58.254541882257314,33.16521676146191,27.106877813074693,6.8948962663466675
49,94.07795762057997,78.23416687934103,58.254541882257314,33.16521676146191,27.106877813074693,6.8948962663466675
50,94.44606475164889,80.56118028967616,64.18880066789166,33.16521676146191,27.106877813074693,15.031955819256062
51,94.789356684725,82.33986699707843,64.18880066789166,40.95257339882867,27.106877813074693,15.031955819256062
52,95.14224287949347,83.94394830036559,70.09573626330034,40.95257339882867,34.34027433461565,15.031955819256062
53,95.39051617473379,85.44174595391232,70.09573626330034,40.95257339882867,34.34027433461565,15.031955819256062
54,95.62516993183111,86.72678445851683,74.67626852640056,49.138289025005705,34.34027433461565,15.031955819256062
