Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,12.690218897848034,11.766359970902057
1,12.690218897848034,11.766359970902057
2,12.690218897848034,13.314824254254136
3,13.15559880467079,13.314824254254136
4,13.439883602128576,15.888237007659985
5,13.872266503661788,15.888237007659985
6,14.462280829460278,18.303090406004106
7,15.213811095771238,18.303090406004106
8,16.043320035580034,20.714439896519227
9,16.89241734614079,20.714439896519227
10,17.70317903825521,23.16208884558966
11,18.545482776553914,23.16208884558966
12,19.334909042825714,25.53246927889458
13,20.06846645459495,25.53246927889458
14,20.897534891459852,27.78307508094098
15,21.691086453255696,27.78307508094098
16,22.47548690281573,29.83924039845198
17,23.2404826384237,29.83924039845198
18,24.002282118944546,31.754967213506923
19,24.78013614808668,31.754967213506923
20,25.48441470524919,33.69685673855298
21,26.16377593206979,33.69685673855298
22,26.88631078687826,35.6006577861918
23,27.593318449076342,35.6006577861918
24,28.3208806128264,37.56374370121213
25,28.988321228338506,37.56374370121213
26,29.668890653298966,39.52591859910488
27,30.299952210100646,39.52591859910488
28,30.929430378812853,41.563828308280605
29,31.530473296335558,41.563828308280605
30,32.16535755392467,43.57340684339959
31,32.75465788065062,43.57340684339959
32,33.32184766979041,45.70377688207699
33,33.86944382697032,45.70377688207699
34,34.36917510675857,47.75639018216192
35,34.88815031891941,47.75639018216192
36,35.373846787513735,49.843225755725044
37,35.86288591301881,49.843225755725044
38,36.36350132393645,51.81574004943224
39,36.84966754345023,51.81574004943224
40,37.326754709892796,53.85763179736401
41,37.79763607276543,53.85763179736401
42,38.22796594171736,55.9134928895973
43,38.66322993259386,55.9134928895973
44,39.06606605655711,57.92831561722927
45,39.458925062466456,57.92831561722927
46,39.88317168306453,59.921089667486164
47,40.2843058907061,59.921089667486164
48,40.67040611963646,61.725010012450625
49,41.0503210922804,61.725010012450625
50,41.445871734514164,63.28219284176258
51,41.818064146004374,63.28219284176258
52,42.18815018875745,64.7085526487658
53,42.522595437589615,64.7085526487658
54,42.85881041189561,65.92848018839142
55,43.211056448055295,65.92848018839142
56,43.54780192624518,67.04312001263139
57,43.87566717181969,67.04312001263139
58,44.195800042410255,68.02596372900922
59,44.50568937700758,68.02596372900922
60,44.816645515452464,68.93534595648187
61,45.104337588568214,68.93534595648187
62,45.412645041530276,69.79117712956169
63,45.729994590884615,69.79117712956169
64,46.032405808065754,70.59617828182017
65,46.3110109388506,70.59617828182017
66,46.61676055134987,71.36282516176273
67,46.908341985636405,71.36282516176273
68,47.166647985098564,72.14261827259683
69,47.46351470539296,72.14261827259683
70,47.75938809073328,72.82808594198815
71,48.01934912104973,72.82808594198815
72,48.291589092045854,73.51944319531306
73,48.57529097165413,73.51944319531306
74,48.842454253357744,74.15491377869387
75,49.11762676278634,74.15491377869387
76,49.39207395445402,74.81539340337419
77,49.67517535491522,74.81539340337419
78,49.972498336811924,75.46331845245668
79,50.25260086789874,75.46331845245668
80,50.53082844526574,76.08218342807447
81,50.767921414750994,76.08218342807447
82,51.02380704810379,76.62977371580253
83,51.26317115484012,76.62977371580253
84,51.54200507963869,77.17799832540216
85,51.81284680884738,77.17799832540216
86,52.08448663297494,77.664588210128
87,52.361768700676414,77.664588210128
88,52.625496232609976,78.12796042438096
89,52.89277403830757,78.12796042438096
90,53.14166771515692,78.53149055709201
91,53.38762835332891,78.53149055709201
92,53.661973198716915,78.90535395996328
93,53.91961839021767,78.90535395996328
94,54.175744408507626,79.219621216417
95,54.441501161356356,79.219621216417
96,54.73596926998328,79.56350235018719
97,55.026858304014674,79.56350235018719
98,55.30765862090974,79.86320674125956
99,55.58898170226102,79.86320674125956
100,55.84073499383048,80.16858497338497
101,56.11823699144176,80.16858497338497
102,56.346409610784455,80.43685458429098
103,56.582677464234195,80.43685458429098
104,56.79713076504438,80.72669392269304
105,57.026951576432594,80.72669392269304
106,57.229590452847596,80.97975594174018
107,57.45078588828771,80.97975594174018
108,57.68040446596897,81.24605876698455
109,57.886131593017275,81.24605876698455
110,58.10466683833134,81.49138667897557
111,58.322790866715465,81.49138667897557
112,58.522112476727465,81.72165387017756
113,58.73596786557901,81.72165387017756
114,58.93314275638474,81.92291386053692
115,59.128017885021,81.92291386053692
116,59.30384674463212,82.15483291406142
117,59.46792214620647,82.15483291406142
118,59.64204319773088,82.3462651019046
119,59.82916545819036,82.3462651019046
120,60.022954285047994,82.51845092071072
121,60.1825619899728,82.51845092071072
122,60.35036293089602,82.67994146904265
123,60.53198542925382,82.67994146904265
124,60.693496648710905,82.85347889378447
125,60.850940628256886,82.85347889378447
126,61.001693256377685,83.00753691999527
127,61.16851208427902,83.00753691999527
128,61.32241888244143,83.17111288036496
129,61.49904933997174,83.17111288036496
130,61.658245063318205,83.32253606815682
131,61.79141986654645,83.32253606815682
132,61.94864826814789,83.48136706983482
133,62.10336466802995,83.48136706983482
134,62.24354674573288,83.63350028569923
135,62.37281731703641,83.63350028569923
