Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.01999495002249822
13,0.0,0.01999495002249822
14,0.0,0.0950514810716001
15,0.0,0.0950514810716001
16,0.0,0.6735843924009911
17,0.0,0.6735843924009911
18,0.01145567501292715,2.0080723560766685
19,0.019873214759453296,2.0080723560766685
20,0.04713964808561201,4.197732464230701
21,0.08771597151828606,4.197732464230701
22,0.21210757216853396,8.008964748068802
23,0.4313611117790234,8.008964748068802
24,0.5954383075065848,12.573317849238721
25,0.8904480719004414,12.573317849238721
26,1.0640297878649825,17.625851579029376
27,1.2899572746311503,17.625851579029376
28,1.6195693020180781,23.062072504440557
29,2.0105646965970774,23.062072504440557
30,2.5041083019461605,28.643275282575527
31,2.9515431670914296,28.643275282575527
32,3.429950062435709,34.13348989207932
33,3.844973077590539,34.13348989207932
34,4.343844812773423,38.54480534925003
35,4.8764896707327035,38.54480534925003
36,5.368370381022276,42.72704935121185
37,6.060371512700079,42.72704935121185
38,6.61186664234858,46.769753742447094
39,7.2604076250633645,46.769753742447094
40,7.982884734682617,50.28118743640119
41,8.83734775210629,50.28118743640119
42,9.656791453254264,53.64593876216806
43,10.375620319917807,53.64593876216806
44,11.218933627315218,56.69185265670562
45,12.119366497652038,56.69185265670562
46,13.07420564081696,59.600674044036204
47,14.045690802975388,59.600674044036204
48,14.89194946590705,62.04072823725914
49,15.75756926096879,62.04072823725914
50,16.67902536023575,64.19986139235482
51,17.760994191418224,64.19986139235482
52,18.651110881216542,66.23697478956184
53,19.598628668885944,66.23697478956184
54,20.535952331448463,67.98620260023775
55,21.54222721765947,67.98620260023775
56,22.70973997421962,69.66180070724548
57,23.645804077272462,69.66180070724548
58,24.65574412979079,71.20702287427056
59,25.612720161570486,71.20702287427056
60,26.594352543006504,72.5247748813099
61,27.425290934007197,72.5247748813099
62,28.436610751345448,73.75500081682888
63,29.420527472697817,73.75500081682888
64,30.377481900565613,74.90006627328083
65,31.219197090497453,74.90006627328083
66,32.244590905766785,75.96436433262011
67,33.19643309388699,75.96436433262011
68,34.06908297928409,76.87503512786016
69,34.969308264116066,76.87503512786016
70,35.846620494166096,77.7505123616068
71,36.92215184726944,77.7505123616068
72,37.91861909770537,78.4842733350816
73,38.72652911564235,78.4842733350816
74,39.66546938320713,79.1978495246485
75,40.47944525960566,79.1978495246485
76,41.47858389330911,79.86373073273391
77,42.38284532671043,79.86373073273391
78,43.18558882134997,80.4562724293875
79,43.97065867902193,80.4562724293875
80,44.777652419182864,81.03094329776157
81,45.55711401860068,81.03094329776157
82,46.341547986956996,81.58493333779465
83,47.02202973197283,81.58493333779465
84,47.72375818382966,82.0579794637258
85,48.420902673478956,82.0579794637258
86,49.1228654122645,82.51563395488202
87,49.874523762648714,82.51563395488202
88,50.54474865770347,82.94945348046926
89,51.207599733065415,82.94945348046926
90,51.8738085457115,83.37441931856047
91,52.498947893563084,83.37441931856047
92,53.133268935800814,83.7149956864142
93,53.79190562091781,83.7149956864142
94,54.43890743921052,84.07908046435585
95,55.09219886439446,84.07908046435585
96,55.752594726874186,84.3883639499587
97,56.33074582336285,84.3883639499587
98,56.95162679836429,84.66525449788499
99,57.48735643700409,84.66525449788499
100,58.00478273189659,84.9522893868643
101,58.45277334914941,84.9522893868643
102,58.97840622661439,85.191875308598
103,59.50043594025266,85.191875308598
104,60.00110924457548,85.43566785865532
105,60.52030331197182,85.43566785865532
106,61.00634404894855,85.66819661206412
107,61.5321378461823,85.66819661206412
108,62.02832638430924,85.87398150259757
109,62.53459594797464,85.87398150259757
110,62.94561143861127,86.0891849215538
111,63.34717738457597,86.0891849215538
112,63.759558310469764,86.27339131049686
113,64.22782058651227,86.27339131049686
114,64.6581948666133,86.44813433297689
115,65.03648400901979,86.44813433297689
116,65.46746567494579,86.62469593791022
117,65.83939139458232,86.62469593791022
118,66.24905606169455,86.78161161413388
119,66.69314204787642,86.78161161413388
120,67.10497657035027,86.92469676002155
121,67.54300162266857,86.92469676002155
122,67.92023769169602,87.05863126768263
123,68.26893895022489,87.05863126768263
124,68.6261704047248,87.18030157691418
125,69.00085520524192,87.18030157691418
126,69.34642794745366,87.30002847030146
127,69.69039821752008,87.30002847030146
128,70.00288451641464,87.42824756706904
129,70.32766025541277,87.42824756706904
130,70.682878331063,87.54814093480782
131,71.03757423238133,87.54814093480782
132,71.3824553637321,87.65234153369629
133,71.66796851615541,87.65234153369629
134,72.00640925607486,87.75123616107871
135,72.34175012906582,87.75123616107871
136,72.6464058004745,87.84347887200884
137,72.97944982290264,87.84347887200884
138,73.27767327773589,87.95547753167365
139,73.5649017371101,87.95547753167365
140,73.83976979558565,88.06146129763913
141,74.14745725758726,88.06146129763913
142,74.42891255208987,88.14461096657783
143,74.72200426193486,88.14461096657783
144,75.0329595024908,88.22780394464235
145,75.2936737797622,88.22780394464235
146,75.55907787316859,88.32643826718714
147,75.8051030038877,88.32643826718714
148,76.07677603864688,88.4077223563279
149,76.30267951702294,88.4077223563279
150,76.5559675566256,88.48774874551403
151,76.80574646217201,88.48774874551403
152,77.03560864230343,88.56674976466192
153,77.26324302976643,88.56674976466192
154,77.46397761200711,88.64379194829503
155,77.67858686171034,88.64379194829503
156,77.90360312262578,88.7235004585594
157,78.11843924066864,88.7235004585594
158,78.32182673866652,88.78778426764956
159,78.52033028847484,88.78778426764956
160,78.70835168421507,88.85927467750271
161,78.91457012747267,88.85927467750271
162,79.1010918211513,88.91452706876981
163,79.30015897983144,88.91452706876981
164,79.49026028927163,88.97488159022784
165,79.69633536071849,88.97488159022784
166,79.86077074486194,89.02710493219797
167,80.03873323328139,89.02710493219797
168,80.19944270020908,89.08282823960181
169,80.34286076862297,89.08282823960181
170,80.49904090839132,89.14256634033174
171,80.65012636564342,89.14256634033174
172,80.81875216874377,89.2012405141965
173,81.02435179505315,89.2012405141965
174,81.21341937123577,89.25065302495231
175,81.36590281363493,89.25065302495231
176,81.54433007780798,89.30521323396229
177,81.74780693201689,89.30521323396229
178,81.89629310064734,89.35709672105402
179,82.02495474653891,89.35709672105402
180,82.15783750785982,89.40983846729357
181,82.28798660608454,89.40983846729357
182,82.45510872530811,89.44859231285074
183,82.57990258768062,89.44859231285074
184,82.69027661642679,89.50287763233761
185,82.8073583679401,89.50287763233761
186,82.93709188394268,89.55674037282475
187,83.06526795522153,89.55674037282475
188,83.19758816510733,89.59466435934962
189,83.35703153979632,89.59466435934962
190,83.4737595415978,89.63771161321769
191,83.5950315452084,89.63771161321769
192,83.6965924287204,89.6792893946983
193,83.8064283214405,89.6792893946983
194,83.9184237270418,89.71863422490914
195,84.03053243717586,89.71863422490914
196,84.13984626357934,89.7665378054085
197,84.24773635024532,89.7665378054085
198,84.34255692670463,89.81084235799929
199,84.45162895445229,89.81084235799929
200,84.5498546721367,89.85114458608723
201,84.64580731730871,89.85114458608723
202,84.77454076862006,89.88814333843952
203,84.86993347826613,89.88814333843952
204,85.0156560506453,89.93044373429264
205,85.11470187361567,89.93044373429264
206,85.18629378260401,89.96532357347316
207,85.26936411294672,89.96532357347316
208,85.36886135238368,90.00852105229451
209,85.4564534138472,90.00852105229451
210,85.56854306987621,90.03803877618824
211,85.6427813123797,90.03803877618824
212,85.71755441204924,90.08068539935181
213,85.80704694179231,90.08068539935181
214,85.8979172963392,90.11868657177645
215,85.99506009886325,90.11868657177645
216,86.0940056778246,90.15553908044616
217,86.17268723821023,90.15553908044616
218,86.24975918588363,90.19019911922008
219,86.32411377896584,90.19019911922008
220,86.40748734098561,90.22732899673362
221,86.49299838649944,90.22732899673362
222,86.57057875147079,90.26680727342483
223,86.63712911962644,90.26680727342483
224,86.7009251873803,90.30655372307982
225,86.76867340820922,90.30655372307982
226,86.83168984926321,90.33489787699345
227,86.89807228279687,90.33489787699345
228,86.96490253043146,90.36644419177081
229,87.0336881159126,90.36644419177081
230,87.09939159372314,90.39469310893884
231,87.15567810174632,90.39469310893884
232,87.20684480147149,90.42772072873912
233,87.26445163616955,90.42772072873912
234,87.31861831456014,90.4610731340852
235,87.37274066610969,90.4610731340852
236,87.42593911517328,90.49355911861362
237,87.48505429323443,90.49355911861362
238,87.54717354291492,90.51742292213598
