Comparison stage no.,data//output//runtimePerformance//DECMO2//SolutionSetSize50//,data//output//runtimePerformance//DECMO2//SolutionSetSize100//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize300//,data//output//runtimePerformance//DECMO2//SolutionSetSize400//,data//output//runtimePerformance//DECMO2//SolutionSetSize500//
0,10.064253057053541,10.131132924093256,11.748458871976613,12.599448139486917,13.288552162151284,13.619898869721503
1,13.332609533066218,11.680087290109709,11.748458871976613,12.599448139486917,13.288552162151284,13.619898869721503
2,16.3150087512156,13.576378591199765,13.36056962542239,12.599448139486917,13.288552162151284,13.619898869721503
3,19.106775580315308,15.329983779419877,13.36056962542239,14.201622022947726,13.288552162151284,13.619898869721503
4,21.740198537542867,17.093475892014997,15.35103766979165,14.201622022947726,14.844557288692428,13.619898869721503
5,24.25948208947706,18.856865375373868,15.35103766979165,14.201622022947726,14.844557288692428,15.248044130021777
6,26.512021689619786,20.599798966238907,17.315850668159154,16.24090169865643,14.844557288692428,15.248044130021777
7,28.640567558994892,22.36721266846958,17.315850668159154,16.24090169865643,14.844557288692428,15.248044130021777
8,30.74385696792418,24.058137179310112,19.419465695383447,16.24090169865643,16.9563360643727,15.248044130021777
9,32.79951734227222,25.657516077993083,19.419465695383447,18.418550189343414,16.9563360643727,15.248044130021777
10,34.77300439168868,27.246277292793604,21.567355294801352,18.418550189343414,16.9563360643727,17.40457801363201
11,36.74582363746079,28.6992253983585,21.567355294801352,18.418550189343414,16.9563360643727,17.40457801363201
12,38.653312565108045,30.090908061711485,23.650698013850505,20.752945051654713,19.290804681008634,17.40457801363201
13,40.52805919360437,31.387496594807995,23.650698013850505,20.752945051654713,19.290804681008634,17.40457801363201
14,42.42126902933427,32.62530686572597,25.696593425261,20.752945051654713,19.290804681008634,17.40457801363201
15,44.32494161543559,33.9051491646047,25.696593425261,23.04720598510561,19.290804681008634,19.853807810667348
16,46.183700379291004,35.227516525045175,27.558919917381022,23.04720598510561,21.714343931392147,19.853807810667348
17,47.92016456832322,36.526522562130104,27.558919917381022,23.04720598510561,21.714343931392147,19.853807810667348
18,49.55760616022166,37.867470876529055,29.34108026482765,25.265443859764943,21.714343931392147,19.853807810667348
19,51.24895186337693,39.16463128306432,29.34108026482765,25.265443859764943,21.714343931392147,19.853807810667348
20,52.796524151124565,40.480837123568165,31.019541430658233,25.265443859764943,24.09953325408734,22.37156134999679
21,54.16728869183818,41.814318522795126,31.019541430658233,27.364283783025705,24.09953325408734,22.37156134999679
22,55.494319182680286,43.1463020005648,32.582662090496754,27.364283783025705,24.09953325408734,22.37156134999679
23,56.636589794619034,44.470816701595986,32.582662090496754,27.364283783025705,24.09953325408734,22.37156134999679
24,57.73594118602821,45.865194779670006,34.14438472728861,29.32905293191639,26.435658644321784,22.37156134999679
25,58.29831699468238,47.22842919189009,34.14438472728861,29.32905293191639,26.435658644321784,24.928578370008513
26,59.34470416192509,48.53192800446197,35.74477575952614,29.32905293191639,26.435658644321784,24.928578370008513
27,60.339996847428985,49.824526842258365,35.74477575952614,31.138295633957114,26.435658644321784,24.928578370008513
28,61.23269717248095,51.16712047530136,37.38926203773343,31.138295633957114,28.585588876173425,24.928578370008513
29,62.074086003330684,52.498599839180336,37.38926203773343,31.138295633957114,28.585588876173425,24.928578370008513
30,62.87221693840275,53.746044058967854,39.14866361849928,32.895723052190036,28.585588876173425,27.212356685659156
31,63.5983463569604,54.90865387191774,39.14866361849928,32.895723052190036,28.585588876173425,27.212356685659156
32,64.28224665199141,56.01241645185496,40.939051289736355,32.895723052190036,30.57652276360524,27.212356685659156
33,64.94974130055658,57.07329653875952,40.939051289736355,34.67413632351002,30.57652276360524,27.212356685659156
34,65.5474203565439,58.09666971859799,42.83739456618671,34.67413632351002,30.57652276360524,27.212356685659156
35,66.12720009705443,59.03574191794668,42.83739456618671,34.67413632351002,30.57652276360524,29.35521675371418
36,66.67890591988171,59.89746051291829,44.725702701067796,36.48542143481277,32.43093780346603,29.35521675371418
37,67.21368343688943,60.76576102731891,44.725702701067796,36.48542143481277,32.43093780346603,29.35521675371418
38,67.67083266599666,61.5681400666528,46.6776681467133,36.48542143481277,32.43093780346603,29.35521675371418
39,68.13057813372126,62.358404232908285,46.6776681467133,38.36074478541108,32.43093780346603,29.35521675371418
40,68.57378964023734,63.0715959026574,48.519394452884434,38.36074478541108,34.33818858610671,31.358084320064247
41,69.00459565089518,63.802076476341284,48.519394452884434,38.36074478541108,34.33818858610671,31.358084320064247
42,69.43282998130853,64.50167528599161,50.37384778735974,40.35990156927367,34.33818858610671,31.358084320064247
43,69.82852508727584,65.16335683502759,50.37384778735974,40.35990156927367,34.33818858610671,31.358084320064247
44,70.1857416639598,65.85292487103546,52.28009773250204,40.35990156927367,36.328312261065285,31.358084320064247
45,70.53371627891812,66.49988534915046,52.28009773250204,42.41698107121121,36.328312261065285,33.314580367691136
46,70.87347214794599,67.1177297902471,54.06478778442558,42.41698107121121,36.328312261065285,33.314580367691136
47,71.18047141251643,67.74147459634418,54.06478778442558,42.41698107121121,36.328312261065285,33.314580367691136
48,71.47354137726539,68.3512338911869,55.9593238774586,44.641138717910785,38.406827670986196,33.314580367691136
49,71.78403649120654,68.93534093376563,55.9593238774586,44.641138717910785,38.406827670986196,33.314580367691136
50,72.06053863695834,69.5376390249474,57.69591956162915,44.641138717910785,38.406827670986196,35.37979056704502
51,72.2289057541394,70.10388196828787,57.69591956162915,46.925571836113576,38.406827670986196,35.37979056704502
52,72.51854682285429,70.6238936528745,59.36537599150111,46.925571836113576,40.56442766758048,35.37979056704502
53,72.77825354726109,71.12575365406195,59.36537599150111,46.925571836113576,40.56442766758048,35.37979056704502
54,73.04541020816414,71.6029592142434,60.939124829983285,49.27281432445638,40.56442766758048,35.37979056704502
55,73.30676240928865,72.06107691761711,60.939124829983285,49.27281432445638,40.56442766758048,37.63875339182675
56,73.55909277690674,72.51514603501523,62.21809311677227,49.27281432445638,42.83693362523628,37.63875339182675
57,73.80836843056572,72.90912670989557,62.21809311677227,51.529179954885706,42.83693362523628,37.63875339182675
58,74.05750403263418,73.30458134621946,63.484641185832714,51.529179954885706,42.83693362523628,37.63875339182675
59,74.27419036190084,73.67614494808677,63.484641185832714,51.529179954885706,42.83693362523628,37.63875339182675
60,74.50478284851587,74.0445463568293,64.5981369136519,53.66926133492981,45.27395344781488,39.9189377490955
61,74.72577703217492,74.38002962881806,64.5981369136519,53.66926133492981,45.27395344781488,39.9189377490955
62,74.95531915810972,74.71854443319256,65.61323391266812,53.66926133492981,45.27395344781488,39.9189377490955
63,75.1424778073159,75.02255528603014,65.61323391266812,55.82756539278653,45.27395344781488,39.9189377490955
64,75.33852370944885,75.33690602658534,66.53036392951479,55.82756539278653,47.63392159596577,39.9189377490955
65,75.52184349730749,75.60323100267298,66.53036392951479,55.82756539278653,47.63392159596577,42.2885003129307
66,75.68203918740566,75.89610550839143,67.35476613194349,58.026493872791676,47.63392159596577,42.2885003129307
67,75.88815900382622,76.16151671075623,67.35476613194349,58.026493872791676,47.63392159596577,42.2885003129307
68,76.05850550990314,76.39719219014285,68.11710190801156,58.026493872791676,50.06911998792871,42.2885003129307
69,76.22631189427412,76.63209689495191,68.11710190801156,60.075451878065735,50.06911998792871,42.2885003129307
70,76.38842880264839,76.86391217058339,68.86704605515338,60.075451878065735,50.06911998792871,44.80721696974249
71,76.55263274291578,77.0955704692863,68.86704605515338,60.075451878065735,50.06911998792871,44.80721696974249
72,76.68270012500895,77.33441312320853,69.55678942408768,61.85830333292703,52.537128267702414,44.80721696974249
73,76.82192198791172,77.53146078606487,69.55678942408768,61.85830333292703,52.537128267702414,44.80721696974249
74,76.94384861905063,77.74659364521325,70.22275620489503,61.85830333292703,52.537128267702414,44.80721696974249
75,77.07247906257062,77.95277076109465,70.22275620489503,63.464036589312734,52.537128267702414,47.221897152732
76,77.12510833044956,78.16348198574416,70.86551962750775,63.464036589312734,54.96484377264051,47.221897152732
77,77.24843345842369,78.33499307992501,70.86551962750775,63.464036589312734,54.96484377264051,47.221897152732
78,77.37467750309098,78.53446732081292,71.46140787608807,64.82925988682972,54.96484377264051,47.221897152732
79,77.498865046878,78.7133341995086,71.46140787608807,64.82925988682972,54.96484377264051,47.221897152732
80,77.63639447391286,78.88516945515569,72.05473325927166,64.82925988682972,57.321548203707465,49.798785632445686
81,77.77401546527103,79.06199896341062,72.05473325927166,66.05926818554344,57.321548203707465,49.798785632445686
82,77.87204814492952,79.23436396024726,72.70159979781629,66.05926818554344,57.321548203707465,49.798785632445686
83,77.98351261672452,79.37429628620866,72.70159979781629,66.05926818554344,57.321548203707465,49.798785632445686
84,78.10044099003898,79.53212332171005,73.30303539440656,67.12781159162347,59.63646863055075,49.798785632445686
85,78.23465286633672,79.68507144785119,73.30303539440656,67.12781159162347,59.63646863055075,52.29514396271681
86,78.36814496060768,79.82127920698825,73.92069322976732,67.12781159162347,59.63646863055075,52.29514396271681
87,78.4595840733402,79.97741053347954,73.92069322976732,68.07084169604106,59.63646863055075,52.29514396271681
88,78.56319322256877,80.12377998502866,74.60017531766391,68.07084169604106,61.75713943439532,52.29514396271681
89,78.64863495113572,80.27092871314723,74.60017531766391,68.07084169604106,61.75713943439532,52.29514396271681
90,78.74093119272123,80.40943934997658,75.2321475188522,68.94730132920941,61.75713943439532,54.84127128780281
91,78.82227550571312,80.53518149100015,75.2321475188522,68.94730132920941,61.75713943439532,54.84127128780281
92,78.89974863371215,80.66606127818304,75.82206365846254,68.94730132920941,63.63471273234075,54.84127128780281
93,78.95739810421338,80.78420905383697,75.82206365846254,69.73031064947267,63.63471273234075,54.84127128780281
94,79.0529762901069,80.90288589843432,76.40907511917389,69.73031064947267,63.63471273234075,54.84127128780281
95,79.14860459511843,81.0233947230881,76.40907511917389,69.73031064947267,63.63471273234075,57.357087429075975
96,79.20927410699365,81.11655038788541,76.94066544714745,70.49693621152,65.19006537900894,57.357087429075975
97,79.28245099857834,81.22050057974975,76.94066544714745,70.49693621152,65.19006537900894,57.357087429075975
98,79.33366958384649,81.33024348827539,77.41697654164095,70.49693621152,65.19006537900894,57.357087429075975
99,79.38275631802497,81.43652590390957,77.41697654164095,71.21893340815357,65.19006537900894,57.357087429075975
100,79.44122882731652,81.55266293952299,77.85830374180789,71.21893340815357,66.55078381458493,59.85384478503305
101,79.51011947781838,81.66910048833319,77.85830374180789,71.21893340815357,66.55078381458493,59.85384478503305
102,79.54761179424426,81.7759787701867,78.29038766281519,71.91573550427361,66.55078381458493,59.85384478503305
103,79.60850815841786,81.8732448548799,78.29038766281519,71.91573550427361,66.55078381458493,59.85384478503305
104,79.68035671453592,81.98038655054664,78.67836908112854,71.91573550427361,67.73650005060337,59.85384478503305
105,79.73342625024195,82.08141875014746,78.67836908112854,72.57943126534593,67.73650005060337,62.07060693364501
106,79.78201787035266,82.1942540276562,79.03271533931098,72.57943126534593,67.73650005060337,62.07060693364501
107,79.83471986457988,82.2875426495272,79.03271533931098,72.57943126534593,67.73650005060337,62.07060693364501
108,79.90424183305349,82.37970696159128,79.37169784370928,73.23452703500388,68.75842111593529,62.07060693364501
109,79.96312138517405,82.47464116557865,79.37169784370928,73.23452703500388,68.75842111593529,62.07060693364501
110,80.02058495881458,82.56600708988634,79.66958582979528,73.23452703500388,68.75842111593529,64.10288160159557
111,80.05911895039381,82.64000083534995,79.66958582979528,73.92515690424992,68.75842111593529,64.10288160159557
112,80.10583241829472,82.7237220047031,79.97049183348868,73.92515690424992,69.64549682541934,64.10288160159557
113,80.16515368605388,82.79877706762763,79.97049183348868,73.92515690424992,69.64549682541934,64.10288160159557
114,80.21641680548748,82.88321914509892,80.24822260621386,74.59384470949732,69.64549682541934,64.10288160159557
115,80.27504784468785,82.9635298541168,80.24822260621386,74.59384470949732,69.64549682541934,65.74795400363595
116,80.32600313136469,83.04140797631142,80.52232124073039,74.59384470949732,70.48108547435612,65.74795400363595
117,80.3669339082371,83.11713644087314,80.52232124073039,75.2958615590339,70.48108547435612,65.74795400363595
118,80.41730382414364,83.1819043837808,80.75701160726734,75.2958615590339,70.48108547435612,65.74795400363595
119,80.47304909773554,83.25265146013813,80.75701160726734,75.2958615590339,70.48108547435612,65.74795400363595
120,80.5445119319715,83.32213378502456,81.00858945335995,76.0100459691322,71.28995620204772,67.09444437009071
121,80.60220949880902,83.37695734978895,81.00858945335995,76.0100459691322,71.28995620204772,67.09444437009071
122,80.66625567806638,83.44413461223843,81.2224294934146,76.0100459691322,71.28995620204772,67.09444437009071
123,80.69709537153338,83.49504966173494,81.2224294934146,76.72917778660913,71.28995620204772,67.09444437009071
124,80.75185356953253,83.55615514244379,81.45260991389516,76.72917778660913,72.06609759405393,67.09444437009071
125,80.80165129001794,83.60329383886484,81.45260991389516,76.72917778660913,72.06609759405393,68.29842784192844
126,80.85106885701451,83.66662110824568,81.65488561688623,77.37878331710715,72.06609759405393,68.29842784192844
127,80.87242214987019,83.71689353050951,81.65488561688623,77.37878331710715,72.06609759405393,68.29842784192844
128,80.89859995931229,83.77503648829082,81.86045863246595,77.37878331710715,72.8168966810957,68.29842784192844
129,80.9361346714012,83.82336335696274,81.86045863246595,78.00425417794904,72.8168966810957,68.29842784192844
130,80.97007377893054,83.88025978876536,82.05468751200519,78.00425417794904,72.8168966810957,69.35410881041683
131,81.00283782961102,83.93207951499316,82.05468751200519,78.00425417794904,72.8168966810957,69.35410881041683
132,81.03978553542287,83.99631311415962,82.25310251938146,78.63170470784807,73.55208233101538,69.35410881041683
133,81.07525487685443,84.05326272799482,82.25310251938146,78.63170470784807,73.55208233101538,69.35410881041683
134,81.1152172440696,84.10437486091423,82.42997119832646,78.63170470784807,73.55208233101538,69.35410881041683
135,81.14151630251664,84.1599910211863,82.42997119832646,79.16626462651294,73.55208233101538,70.30365339812145
136,81.17622230732344,84.20841084793798,82.6027607191558,79.16626462651294,74.28523766925983,70.30365339812145
137,81.21724331230234,84.26636822790383,82.6027607191558,79.16626462651294,74.28523766925983,70.30365339812145
138,81.22893016417255,84.31776373901161,82.76426996454566,79.66370338152052,74.28523766925983,70.30365339812145
139,81.26441679563018,84.36763487045982,82.76426996454566,79.66370338152052,74.28523766925983,70.30365339812145
140,81.29332427637064,84.41176411490632,82.92851714909006,79.66370338152052,75.12175007937005,71.17932527022401
141,81.33698695207637,84.45839728925861,82.92851714909006,80.12962864007365,75.12175007937005,71.17932527022401
142,81.37570992564658,84.50540428450273,83.08658474411304,80.12962864007365,75.12175007937005,71.17932527022401
143,81.40633445108264,84.55631877410248,83.08658474411304,80.12962864007365,75.12175007937005,71.17932527022401
144,81.43377147001087,84.59930144925369,83.2449339927705,80.55700311598831,75.91716240663423,71.17932527022401
145,81.4554700765709,84.63596680256138,83.2449339927705,80.55700311598831,75.91716240663423,72.00652913771604
146,81.49045846623248,84.67737572970148,83.39003356392334,80.55700311598831,75.91716240663423,72.00652913771604
147,81.52341520166574,84.71748392604391,83.39003356392334,80.92794887757586,75.91716240663423,72.00652913771604
148,81.55885659303249,84.75535793939244,83.52951933986434,80.92794887757586,76.74873324059135,72.00652913771604
149,81.60364017939834,84.79124051305996,83.52951933986434,80.92794887757586,76.74873324059135,72.00652913771604
150,81.63938174206793,84.82891520969494,83.65084609278844,81.3018714510385,76.74873324059135,72.82444267633544
151,81.66916086483836,84.86221817341418,83.65084609278844,81.3018714510385,76.74873324059135,72.82444267633544
152,81.70374681933235,84.8952280771905,83.77555895424821,81.3018714510385,77.54324207702913,72.82444267633544
153,81.70860664576222,84.92674242525663,83.77555895424821,81.62903097778575,77.54324207702913,72.82444267633544
154,81.7406437154655,84.95577562171943,83.89649641832544,81.62903097778575,77.54324207702913,72.82444267633544
155,81.77259914988751,84.98278282984735,83.89649641832544,81.62903097778575,77.54324207702913,73.65066679367754
156,81.80047101159664,85.01497710055669,84.01681138198258,81.92356827514111,78.24972767923067,73.65066679367754
157,81.81916593686724,85.04748496562158,84.01681138198258,81.92356827514111,78.24972767923067,73.65066679367754
158,81.87002120587074,85.08428251097503,84.12628594122206,81.92356827514111,78.24972767923067,73.65066679367754
159,81.90163564273655,85.11385999921013,84.12628594122206,82.20918063225918,78.24972767923067,73.65066679367754
160,81.93632860681473,85.15431721380175,84.2405928617042,82.20918063225918,78.9371925160065,74.53892567625495
161,81.98344054260835,85.19245456281381,84.2405928617042,82.20918063225918,78.9371925160065,74.53892567625495
162,82.0133029229075,85.23208856804415,84.33950627582634,82.45784108702654,78.9371925160065,74.53892567625495
163,82.03531906849543,85.27318473135568,84.33950627582634,82.45784108702654,78.9371925160065,74.53892567625495
164,82.0719143627586,85.30194560783119,84.45881508561942,82.45784108702654,79.56641157514575,74.53892567625495
165,82.10563799608697,85.34273814415961,84.45881508561942,82.69169979139825,79.56641157514575,75.35444300345186
166,82.15060529994587,85.37555292442977,84.55063832799634,82.69169979139825,79.56641157514575,75.35444300345186
167,82.16973682177452,85.41363143654472,84.55063832799634,82.69169979139825,79.56641157514575,75.35444300345186
168,82.20854171884938,85.44498452861589,84.65126669196236,82.91619810797181,80.14150818711798,75.35444300345186
169,82.24407482458166,85.47328262589754,84.65126669196236,82.91619810797181,80.14150818711798,75.35444300345186
170,82.27232452537648,85.50302342164521,84.73459759508589,82.91619810797181,80.14150818711798,76.16744769592137
171,82.29375663336015,85.53043160719464,84.73459759508589,83.12392105971752,80.14150818711798,76.16744769592137
172,82.30673589610169,85.55620902644246,84.83723075014149,83.12392105971752,80.63989920558579,76.16744769592137
173,82.33855251342749,85.58179726751129,84.83723075014149,83.12392105971752,80.63989920558579,76.16744769592137
174,82.37438759542772,85.61016131102427,84.9190711268733,83.34827120698876,80.63989920558579,76.16744769592137
175,82.41385829877318,85.64446206270391,84.9190711268733,83.34827120698876,80.63989920558579,77.03029791220621
176,82.45177446006787,85.67125970955563,85.00631995789489,83.34827120698876,81.12686110708093,77.03029791220621
177,82.50168520147464,85.69619312600032,85.00631995789489,83.55660893035797,81.12686110708093,77.03029791220621
178,82.51972819080719,85.72773444783364,85.09883250590607,83.55660893035797,81.12686110708093,77.03029791220621
179,82.55417908879564,85.7627469439827,85.09883250590607,83.55660893035797,81.12686110708093,77.03029791220621
180,82.59146540579184,85.79941196231452,85.19438047149261,83.75632046515501,81.5263260140252,77.8717953570363
181,82.61372638140627,85.83273519020668,85.19438047149261,83.75632046515501,81.5263260140252,77.8717953570363
182,82.63895844753326,85.86777535313823,85.28043793801601,83.75632046515501,81.5263260140252,77.8717953570363
183,82.66175852183241,85.89516413103838,85.28043793801601,83.95245056863753,81.5263260140252,77.8717953570363
184,82.68056388347311,85.924031241856,85.37162125007134,83.95245056863753,81.89716931316045,77.8717953570363
185,82.69958639238945,85.95308620322155,85.37162125007134,83.95245056863753,81.89716931316045,78.69037850588313
186,82.73395080816533,85.97313918867172,85.46273173907966,84.12679259642303,81.89716931316045,78.69037850588313
187,82.76446072462399,85.99571263077571,85.46273173907966,84.12679259642303,81.89716931316045,78.69037850588313
