Comparison stage no.,data//output//runtimePerformance//DECMO2//SolutionSetSize50//,data//output//runtimePerformance//DECMO2//SolutionSetSize100//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize300//,data//output//runtimePerformance//DECMO2//SolutionSetSize400//,data//output//runtimePerformance//DECMO2//SolutionSetSize500//
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0013154844216878645,0.0,0.0,0.0,0.0,0.0
4,0.02363289965393929,0.0,0.0,0.0,0.0,0.0
5,0.023632899653939294,0.0,0.0,0.0,0.0,0.0
6,0.06028346047017967,0.0,0.0,0.0,0.0,0.0
7,0.13918120537128606,0.0,0.0,0.0,0.0,0.0
8,0.22860808473274255,0.0,0.0,0.0,0.0,0.0
9,0.23248012230754128,0.0,0.0,0.0,0.0,0.0
10,0.4069973711256111,0.0,0.0,0.0,0.0,0.0
11,0.44906878116907756,0.0,0.0,0.0,0.0,0.0
12,0.6358635647204947,0.035538795277639805,0.0,0.0,0.0,0.0
13,0.9483740978140895,0.10450407549824686,0.0,0.0,0.0,0.0
14,1.426721712353212,0.18497207716548747,0.004454497003348974,0.0,0.0,0.0
15,1.8203598055978154,0.2649105549695088,0.004454497003348974,0.0,0.0,0.0
16,2.316382864372732,0.3833366393467619,0.004454497003348973,0.0,0.0,0.0
17,2.3649286817472026,0.6001679868842942,0.004454497003348973,0.0,0.0,0.0
18,2.5146308618140916,0.7735809550038408,0.022310153838646818,0.0,0.0,0.0
19,2.8641903485765936,0.9548183848570668,0.022310153838646818,0.0,0.0,0.0
20,2.8966125727416028,1.1982153167768825,0.022310153838646818,0.0,0.0,0.0
21,3.2122898366258625,1.3812880458468255,0.022310153838646818,0.0,0.0,0.0
22,3.40923942011769,1.7995220597708428,0.05170792543785151,0.0,0.0,0.0
23,3.326773424085552,2.2052013390050527,0.05170792543785151,0.0,0.0,0.0
24,3.3581143830218805,2.8238337842123222,0.08580470306266003,0.007546493604406374,0.0,0.0
25,3.546461814221703,3.235083178342716,0.08580470306266003,0.007546493604406374,0.0,0.0
26,3.9950370859304245,3.8631034596242864,0.2481404686534345,0.007546493604406374,0.0,0.0
27,4.276751858292269,4.535146984274525,0.2481404686534345,0.007546493604406374,0.0,0.0
28,4.790162037902374,5.2188228258054465,0.36366922611636315,0.007546493604406374,0.016883046219462874,0.0
29,5.135624620862432,5.908919038040248,0.36366922611636315,0.007546493604406374,0.016883046219462874,0.0
30,5.693551259390303,6.82250485326072,0.5491509577197209,0.04454644627643925,0.016883046219462874,0.0
31,5.929125210933858,7.338678931941687,0.5491509577197209,0.04454644627643925,0.016883046219462874,0.0
32,6.335024275755412,7.760664433064343,0.7871009215850233,0.04454644627643925,0.02079888006250402,0.0
33,6.481093774699194,8.263677482662503,0.7871009215850233,0.1038677019622164,0.02079888006250402,0.0
34,6.996885433502925,8.63272260723323,1.310805650530678,0.1038677019622164,0.02079888006250402,0.0
35,6.911661864756937,9.2616701095112,1.310805650530678,0.1038677019622164,0.02079888006250402,0.09837920783613491
36,7.236533583651321,9.61428700345879,2.091352351599561,0.1807144231275738,0.03117782929972381,0.09837920783613491
37,7.861353103331186,10.106735039222002,2.091352351599561,0.1807144231275738,0.03117782929972381,0.09837920783613491
38,8.10305979030191,10.676195315417665,2.7495777483257346,0.1807144231275738,0.03117782929972381,0.09837920783613491
39,8.58820804604979,11.190326263510533,2.7495777483257346,0.3572026464283298,0.03117782929972381,0.09837920783613491
40,8.947667201145489,11.579551418940538,3.4847671419937374,0.3572026464283298,0.055777340702504986,0.11350935415023182
41,9.330130669017102,12.106167893109646,3.4847671419937374,0.3572026464283298,0.055777340702504986,0.11350935415023182
42,9.771294734853797,12.585034306182393,4.202940119139179,0.5602225543500964,0.055777340702504986,0.11350935415023182
43,10.056898741109997,13.19676340424014,4.202940119139179,0.5602225543500964,0.055777340702504986,0.11350935415023182
44,10.175168902980742,13.787822771806917,5.2081807299564895,0.5602225543500964,0.24920213644672098,0.11350935415023182
45,10.516496710006201,14.079194993867189,5.2081807299564895,1.0986230138993975,0.24920213644672098,0.19360090936045465
46,10.991979230034573,14.58412437395665,5.818811611772734,1.0986230138993975,0.24920213644672098,0.19360090936045465
47,10.884258582204414,14.75590899220397,5.818811611772734,1.0986230138993975,0.24920213644672098,0.19360090936045465
48,11.026461884732907,15.052554326422033,7.045069845148691,1.755741901877567,0.42653613572637844,0.19360090936045465
49,11.233487146010331,15.419484295058417,7.045069845148691,1.755741901877567,0.42653613572637844,0.19360090936045465
50,11.64624448753989,15.596566395254142,8.171118942823364,1.755741901877567,0.42653613572637844,0.26816687043276205
51,11.95686734222213,15.944302181193382,8.171118942823364,2.6341880309365906,0.42653613572637844,0.26816687043276205
52,12.370971174844858,16.17495061640242,9.42771617341113,2.6341880309365906,0.7364133909051627,0.26816687043276205
