Comparison stage no.,data//output//runtimePerformance//DECMO2//SolutionSetSize50//,data//output//runtimePerformance//DECMO2//SolutionSetSize100//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize300//,data//output//runtimePerformance//DECMO2//SolutionSetSize400//,data//output//runtimePerformance//DECMO2//SolutionSetSize500//
0,29.532780168849413,28.70862864314502,33.678896176772625,37.246512099011106,39.31305103034452,40.01166009866471
1,44.72571975917512,35.00881837291837,33.678896176772625,37.246512099011106,39.31305103034452,40.01166009866471
2,57.67594195397876,43.30037824253194,40.80026709325124,37.246512099011106,39.31305103034452,40.01166009866471
3,66.95670395257801,51.70927698522018,40.80026709325124,43.823338803235174,39.31305103034452,40.01166009866471
4,72.61854291914499,58.766643788697294,50.1848539383698,43.823338803235174,45.483549979379966,40.01166009866471
5,75.83378303506792,64.846064235932,50.1848539383698,43.823338803235174,45.483549979379966,46.55828238207697
6,77.79008031348181,69.47203584420387,58.51494607030329,53.23098814258251,45.483549979379966,46.55828238207697
7,78.83898948899606,73.20279733968192,58.51494607030329,53.23098814258251,45.483549979379966,46.55828238207697
8,79.59219688613712,76.0112897898459,65.35548409891125,53.23098814258251,55.727142889682156,46.55828238207697
9,80.03632405803857,78.04078392195593,65.35548409891125,61.60471106740126,55.727142889682156,46.55828238207697
10,80.39200203336905,79.53014413594634,70.80619985841916,61.60471106740126,55.727142889682156,56.3909074641034
11,80.59620654920451,80.44613871654602,70.80619985841916,61.60471106740126,55.727142889682156,56.3909074641034
12,80.76174888714262,81.14877182324169,74.8214661546769,68.38825175238807,64.13265612872283,56.3909074641034
13,80.92536523527994,81.58199742631766,74.8214661546769,68.38825175238807,64.13265612872283,56.3909074641034
14,81.01142633864481,81.89061142914878,77.60432780619024,68.38825175238807,64.13265612872283,56.3909074641034
15,81.10136941400373,82.16187503018789,77.60432780619024,73.41106323840583,64.13265612872283,64.8071123656706
16,81.13377718120422,82.33669588356678,79.61186036874089,73.41106323840583,70.71279307027072,64.8071123656706
17,81.18212884940584,82.47505211323718,79.61186036874089,73.41106323840583,70.71279307027072,64.8071123656706
18,81.20442284429046,82.57550537856876,81.04342373582419,76.77050192534603,70.71279307027072,64.8071123656706
19,81.22786691978254,82.65314070884341,81.04342373582419,76.77050192534603,70.71279307027072,64.8071123656706
20,81.19882907518495,82.72827975452408,82.06833120777485,76.77050192534603,75.10106192471255,71.30398667765894
21,81.19900101559907,82.80910049518253,82.06833120777485,79.20668681539958,75.10106192471255,71.30398667765894
22,81.2067551319706,82.86657743810365,82.76433170117436,79.20668681539958,75.10106192471255,71.30398667765894
23,81.18139194266976,82.88364102500451,82.76433170117436,79.20668681539958,75.10106192471255,71.30398667765894
24,81.22493916896859,82.9292509786011,83.18112257221956,80.8939755405212,78.20829236503897,71.30398667765894
25,81.19404678563752,82.94907145829889,83.18112257221956,80.8939755405212,78.20829236503897,75.78512192303866
26,81.18581276587199,82.98068429976425,83.44229278557012,80.8939755405212,78.20829236503897,75.78512192303866
27,81.15389115710167,82.98502300365837,83.44229278557012,82.10856386741231,78.20829236503897,75.78512192303866
28,81.1766654445261,83.02893747503524,83.62522302815277,82.10856386741231,80.37095668318238,75.78512192303866
29,81.15736925069022,83.04578636886004,83.62522302815277,82.10856386741231,80.37095668318238,75.78512192303866
30,81.14794770312496,83.06873868910645,83.74525361795035,82.96771804558992,80.37095668318238,78.75535098980286
31,81.15750851021879,83.08844160844198,83.74525361795035,82.96771804558992,80.37095668318238,78.75535098980286
32,81.15632458201127,83.12096198162324,83.83360305891607,82.96771804558992,81.82901973649844,78.75535098980286
33,81.14670201548412,83.13307191519685,83.83360305891607,83.54438469735348,81.82901973649844,78.75535098980286
34,81.12125275936631,83.18038976440722,83.90183554942054,83.54438469735348,81.82901973649844,78.75535098980286
35,81.09710702998714,83.21988413176089,83.90183554942054,83.54438469735348,81.82901973649844,80.85277308365737
36,81.10148691295848,83.2446987844596,83.94836830698604,83.89399764355764,82.82434553997574,80.85277308365737
37,81.11204195518113,83.26186953274812,83.94836830698604,83.89399764355764,82.82434553997574,80.85277308365737
38,81.09046132891092,83.28322286814162,83.985286223045,83.89399764355764,82.82434553997574,80.85277308365737
39,81.07585940516587,83.30812586574123,83.985286223045,84.10476411417268,82.82434553997574,80.85277308365737
40,81.03829275124107,83.32936721039798,84.01490282405842,84.10476411417268,83.508669946301,82.227771517869
41,81.0498931843761,83.34175657959436,84.01490282405842,84.10476411417268,83.508669946301,82.227771517869
42,81.0784437156629,83.35401134568649,84.03917643447818,84.23860310731305,83.508669946301,82.227771517869
43,81.0823220253725,83.37497369750304,84.03917643447818,84.23860310731305,83.508669946301,82.227771517869
44,81.05171136814519,83.39188679234177,84.06525970415768,84.23860310731305,83.96541432011342,82.227771517869
45,81.05320497447896,83.40049005607884,84.06525970415768,84.32482315934605,83.96541432011342,83.1416538202886
46,81.0812223173466,83.41223832515497,84.08517145455198,84.32482315934605,83.96541432011342,83.1416538202886
47,81.06601247164691,83.42317835286332,84.08517145455198,84.32482315934605,83.96541432011342,83.1416538202886
48,81.07355602985442,83.43045072257958,84.10165689504794,84.3886604961204,84.25622870758428,83.1416538202886
49,81.07421782615206,83.43831482268499,84.10165689504794,84.3886604961204,84.25622870758428,83.1416538202886
50,81.06593391153288,83.44062628928339,84.1151485676898,84.3886604961204,84.25622870758428,83.75297026797142
51,81.08309202255002,83.44733280584593,84.1151485676898,84.44603068102037,84.25622870758428,83.75297026797142
52,81.09269013176208,83.45245604548546,84.12953364747105,84.44603068102037,84.41797826882299,83.75297026797142
53,81.09945765515283,83.45878316993138,84.12953364747105,84.44603068102037,84.41797826882299,83.75297026797142
54,81.09636761059396,83.46173233694061,84.13520854960849,84.48738269196865,84.41797826882299,83.75297026797142
55,81.09378270941508,83.46530792095268,84.13520854960849,84.48738269196865,84.41797826882299,84.17468945269026
56,81.13173842254199,83.47118772326907,84.14761063938023,84.48738269196865,84.51327682833895,84.17468945269026
57,81.128770738881,83.47442229163993,84.14761063938023,84.52562360820991,84.51327682833895,84.17468945269026
58,81.1300336149382,83.47743383668278,84.15538388812698,84.52562360820991,84.51327682833895,84.17468945269026
59,81.10918741575973,83.47583344234182,84.15538388812698,84.52562360820991,84.51327682833895,84.17468945269026
60,81.11166468684588,83.47940765661184,84.1603100566836,84.55870898608238,84.58100405808922,84.4498865328955
61,81.11058812400626,83.49099262252683,84.1603100566836,84.55870898608238,84.58100405808922,84.4498865328955
62,81.09769965759965,83.49220051004596,84.16653804978746,84.55870898608238,84.58100405808922,84.4498865328955
63,81.10520397599426,83.48989032767908,84.16653804978746,84.58239089850284,84.58100405808922,84.4498865328955
64,81.09599147274099,83.48253729773883,84.17101559224234,84.58239089850284,84.62234588670452,84.4498865328955
65,81.10341452560894,83.48040106299003,84.17101559224234,84.58239089850284,84.62234588670452,84.59842483461003
66,81.07383611205306,83.4773840437574,84.18043213805035,84.60810984055243,84.62234588670452,84.59842483461003
67,81.11006105944791,83.47128343344619,84.18043213805035,84.60810984055243,84.62234588670452,84.59842483461003
68,81.05988144208298,83.4780909746896,84.18864198144232,84.60810984055243,84.65313214189831,84.59842483461003
69,81.07067644219447,83.48118960649167,84.18864198144232,84.62673466387818,84.65313214189831,84.59842483461003
70,81.08757053534802,83.4835291084008,84.18767668283368,84.62673466387818,84.65313214189831,84.69158630013578
