Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,1.5874895660923917E-4,0.0022572025133288333
29,0.0,1.5874895660923917E-4,0.0022572025133288333
30,0.0,0.0073688344392883465,0.08021902823263678
31,0.0,0.0073688344392883465,0.08021902823263678
32,0.028271695546120013,0.6216308319005512,0.33717123840346885
33,0.028271695546120013,0.6216308319005512,0.33717123840346885
34,0.03798893416865332,0.7311229451917772,0.9540783961023866
35,0.03798893416865332,0.7311229451917772,0.9540783961023866
36,0.6524113942557925,2.167751390044099,2.672613551978522
37,0.6524113942557925,2.167751390044099,2.672613551978522
38,0.6549410349728905,4.133709056570458,6.744697258921316
39,0.6549410349728905,4.133709056570458,6.744697258921316
40,0.9627410775692582,6.510356101012812,10.185409348074144
41,0.9627410775692582,6.510356101012812,10.185409348074144
42,1.6940187829559927,10.5795300226985,20.299859298619957
43,1.6940187829559927,10.5795300226985,20.299859298619957
44,4.07010415339681,18.963061411069205,31.907199320476227
45,4.07010415339681,18.963061411069205,31.907199320476227
46,8.289118705424846,26.890361457708977,45.392532881060255
47,8.289118705424846,26.890361457708977,45.392532881060255
48,14.464047552709221,39.51596769288599,56.954298237700854
49,14.464047552709221,39.51596769288599,56.954298237700854
50,20.883445889424717,50.248920140781664,67.74837473638114
51,20.883445889424717,50.248920140781664,67.74837473638114
52,33.5481165429466,63.14057082781186,75.92373983906951
53,33.5481165429466,63.14057082781186,75.92373983906951
54,44.99374433099359,72.02629201718179,82.76950538933255
55,44.99374433099359,72.02629201718179,82.76950538933255
56,54.37577436181319,78.57044489092013,87.88707197924408
57,54.37577436181319,78.57044489092013,87.88707197924408
58,63.28353328044181,83.31888599041994,91.74403262308952
59,63.28353328044181,83.31888599041994,91.74403262308952
60,71.36467825979285,87.90172443193966,94.87792702610106
61,71.36467825979285,87.90172443193966,94.87792702610106
62,77.84336556744682,91.70846220838824,96.66092412760214
63,77.84336556744682,91.70846220838824,96.66092412760214
64,81.37282010562745,94.33093287896087,97.6763621969859
65,81.37282010562745,94.33093287896087,97.6763621969859
66,84.9501248973887,96.2986772890427,98.4662469233395
67,84.9501248973887,96.2986772890427,98.4662469233395
68,86.85631218246404,97.68268176813919,98.82419583394073
69,86.85631218246404,97.68268176813919,98.82419583394073
70,88.83438928449712,98.57881934060467,99.06888475798745
71,88.83438928449712,98.57881934060467,99.06888475798745
72,90.49260386327781,99.12991599623979,99.28268827982073
73,90.49260386327781,99.12991599623979,99.28268827982073
74,92.27208343465216,99.41856999580475,99.4085097524935
75,92.27208343465216,99.41856999580475,99.4085097524935
76,93.68525849250493,99.62038519563073,99.48436928623497
77,93.68525849250493,99.62038519563073,99.48436928623497
78,95.06863577366246,99.73929018989034,99.56666066508362
79,95.06863577366246,99.73929018989034,99.56666066508362
80,96.26653342485719,99.80726640560883,99.59891998536351
81,96.26653342485719,99.80726640560883,99.59891998536351
82,97.1777198057613,99.86843461329651,99.64092757326858
83,97.1777198057613,99.86843461329651,99.64092757326858
84,97.95799818794899,99.90539281383246,99.67462069697434
85,97.95799818794899,99.90539281383246,99.67462069697434
86,98.60778857220885,99.93711063509639,99.69869907915947
87,98.60778857220885,99.93711063509639,99.69869907915947
88,99.05094085038891,99.95796558963828,99.7221317766906
89,99.05094085038891,99.95796558963828,99.7221317766906
90,99.37515051685833,99.97911183764069,99.74362540030435
91,99.37515051685833,99.97911183764069,99.74362540030435
92,99.62848088909234,99.990677195263,99.76018025403403
93,99.62848088909234,99.990677195263,99.76018025403403
94,99.80662625146462,100.0,99.77334463302421
95,99.80662625146462,100.0,99.77334463302421
96,99.92545771008999,100.0,99.78100342683905
97,99.92545771008999,100.0,99.78100342683905
98,100.0,100.0,99.80107183200023
99,100.0,100.0,99.80107183200023
100,100.0,100.0,99.76809190239466
101,100.0,100.0,99.76809190239466
102,100.0,100.0,99.82000454169965
103,100.0,100.0,99.82000454169965
104,100.0,99.99225107087203,99.7487059833451
105,100.0,99.99225107087203,99.7487059833451
106,100.0,99.9995620928362,99.8167651104044
107,100.0,99.9995620928362,99.8167651104044
108,100.0,99.98035245112389,99.7383935299179
109,100.0,99.98035245112389,99.7383935299179
110,100.0,100.0,99.81361688728168
111,100.0,100.0,99.81361688728168
112,100.0,99.97853801326855,99.71254007861353
113,100.0,99.97853801326855,99.71254007861353
114,100.0,100.0,99.80641992955753
115,100.0,100.0,99.80641992955753
116,100.0,99.98826181638489,99.69895863277956
117,100.0,99.98826181638489,99.69895863277956
118,100.0,100.0,99.79901208029042
119,100.0,100.0,99.79901208029042
120,100.0,99.99277950197381,99.68703952744877
121,100.0,99.99277950197381,99.68703952744877
122,100.0,100.0,99.80020866125714
123,100.0,100.0,99.80020866125714
124,100.0,99.99628393155125,99.702430709252
125,100.0,99.99628393155125,99.702430709252
126,100.0,100.0,99.82201027437371
127,100.0,100.0,99.82201027437371
128,100.0,100.0,99.70218650721671
