Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,30.775467205732948,30.977455879537157,30.828486515327285
1,30.775467205732948,30.977455879537157,30.828486515327285
2,34.28270325755581,34.11148779719961,33.9472962547358
3,34.28270325755581,34.11148779719961,33.9472962547358
4,37.57275858016025,38.01456446412991,38.98832320660442
5,37.57275858016025,38.01456446412991,38.98832320660442
6,40.48867071525867,41.41401564556343,42.78332213870327
7,40.48867071525867,41.41401564556343,42.78332213870327
8,42.92341082811975,44.51551063507285,45.66461594983662
9,42.92341082811975,44.51551063507285,45.66461594983662
10,45.150542364520604,47.405235312809715,48.31746270365017
11,45.150542364520604,47.405235312809715,48.31746270365017
12,46.97656987523435,49.77243968404484,50.58865371436303
13,46.97656987523435,49.77243968404484,50.58865371436303
14,48.72367681426354,51.53870600193247,52.374519826934964
15,48.72367681426354,51.53870600193247,52.374519826934964
16,50.31308410685178,53.03742245536371,53.78369959129681
17,50.31308410685178,53.03742245536371,53.78369959129681
18,51.65928450443714,54.318787344259036,54.96970059325881
19,51.65928450443714,54.318787344259036,54.96970059325881
20,52.90011406190776,55.34984572557301,56.03368310078171
21,52.90011406190776,55.34984572557301,56.03368310078171
22,53.946471410298955,56.20887235297447,56.98705512427287
23,53.946471410298955,56.20887235297447,56.98705512427287
24,54.822383051282344,57.004881702855755,57.834159974190804
25,54.822383051282344,57.004881702855755,57.834159974190804
26,55.605804282442286,57.67645657922477,58.462167989876804
27,55.605804282442286,57.67645657922477,58.462167989876804
28,56.329109406255206,58.385455680706876,58.999248139172735
29,56.329109406255206,58.385455680706876,58.999248139172735
30,57.011482526866345,58.94644494368567,59.5269889767636
31,57.011482526866345,58.94644494368567,59.5269889767636
32,57.55944560334765,59.442079144451235,60.00659553364258
33,57.55944560334765,59.442079144451235,60.00659553364258
34,58.12464349598952,59.94380272856662,60.429041005098625
35,58.12464349598952,59.94380272856662,60.429041005098625
36,58.63808472666151,60.369510645149404,60.76868014189147
37,58.63808472666151,60.369510645149404,60.76868014189147
38,59.06277931190515,60.72537316126342,61.13213836496957
39,59.06277931190515,60.72537316126342,61.13213836496957
40,59.46776914411299,61.06725202412385,61.50077354347799
41,59.46776914411299,61.06725202412385,61.50077354347799
42,59.84811313889008,61.36110124340045,61.84419748092736
43,59.84811313889008,61.36110124340045,61.84419748092736
44,60.203108355708366,61.63374469749721,62.133778134269114
45,60.203108355708366,61.63374469749721,62.133778134269114
46,60.542609919694776,61.90679928415279,62.41451192991021
47,60.542609919694776,61.90679928415279,62.41451192991021
48,60.83972997465611,62.17386853456034,62.67796346535993
49,60.83972997465611,62.17386853456034,62.67796346535993
50,61.14246450999201,62.40887493093376,62.886784315442426
51,61.14246450999201,62.40887493093376,62.886784315442426
52,61.44392187118353,62.59891841650237,63.08963712443414
53,61.44392187118353,62.59891841650237,63.08963712443414
54,61.68043557446977,62.855364684814084,63.27704738806935
55,61.68043557446977,62.855364684814084,63.27704738806935
56,61.90423300384222,63.0466200678087,63.43464037372545
57,61.90423300384222,63.0466200678087,63.43464037372545
58,62.12715729148455,63.23633218241499,63.59755594892652
59,62.12715729148455,63.23633218241499,63.59755594892652
60,62.339572674400515,63.400123678848516,63.75605189026346
61,62.339572674400515,63.400123678848516,63.75605189026346
62,62.55608016116996,63.555556120935734,63.90126932467093
63,62.55608016116996,63.555556120935734,63.90126932467093
64,62.78226835867968,63.720076053846086,64.03609362069919
65,62.78226835867968,63.720076053846086,64.03609362069919
66,62.97652264525051,63.880964389630144,64.16061557385736
67,62.97652264525051,63.880964389630144,64.16061557385736
68,63.15046200917202,64.0199755023122,64.28619862393816
69,63.15046200917202,64.0199755023122,64.28619862393816
70,63.303376424878756,64.13390732869466,64.42021442208824
71,63.303376424878756,64.13390732869466,64.42021442208824
72,63.46575621789956,64.27032088768138,64.55580022092367
73,63.46575621789956,64.27032088768138,64.55580022092367
74,63.63563477725076,64.4135588870191,64.66078612877112
75,63.63563477725076,64.4135588870191,64.66078612877112
76,63.79064695386417,64.530013176556,64.75718145473392
77,63.79064695386417,64.530013176556,64.75718145473392
78,63.96678547025284,64.65273423401457,64.85435446857839
79,63.96678547025284,64.65273423401457,64.85435446857839
80,64.09310209227971,64.760856253144,64.99832881904952
81,64.09310209227971,64.760856253144,64.99832881904952
82,64.22095291619596,64.87768361021536,65.07612815548578
83,64.22095291619596,64.87768361021536,65.07612815548578
84,64.33855220668993,64.99570866825403,65.17230864157555
85,64.33855220668993,64.99570866825403,65.17230864157555
86,64.47581866911446,65.08181711013717,65.25738870726158
87,64.47581866911446,65.08181711013717,65.25738870726158
88,64.56890289280263,65.16664911206112,65.34976386306283
89,64.56890289280263,65.16664911206112,65.34976386306283
90,64.66554692445708,65.27079266592544,65.43775657761174
91,64.66554692445708,65.27079266592544,65.43775657761174
92,64.78104784990633,65.37049367462572,65.51861382195982
93,64.78104784990633,65.37049367462572,65.51861382195982
94,64.8616795132514,65.45539054701834,65.60185836043222
95,64.8616795132514,65.45539054701834,65.60185836043222
96,64.9608727777887,65.54937845997888,65.66276005394326
97,64.9608727777887,65.54937845997888,65.66276005394326
98,65.04651026311001,65.63525849750096,65.72591480447396
99,65.04651026311001,65.63525849750096,65.72591480447396
100,65.14541158456669,65.72297777519177,65.78575359862096
101,65.14541158456669,65.72297777519177,65.78575359862096
102,65.23455031363933,65.79449711183393,65.84697393992282
103,65.23455031363933,65.79449711183393,65.84697393992282
104,65.32910021265843,65.87392465562516,65.90476457248347
105,65.32910021265843,65.87392465562516,65.90476457248347
106,65.40946902597048,65.9576345271295,65.96921634446525
107,65.40946902597048,65.9576345271295,65.96921634446525
108,65.50451812596856,66.02825403915642,66.0762749280497
109,65.50451812596856,66.02825403915642,66.0762749280497
110,65.57983328478552,66.09515798276888,66.133741742138
111,65.57983328478552,66.09515798276888,66.133741742138
112,65.66282980760133,66.1510010722336,66.19593078436677
113,65.66282980760133,66.1510010722336,66.19593078436677
114,65.74695145129637,66.24642553677829,66.24508846028151
115,65.74695145129637,66.24642553677829,66.24508846028151
116,65.79946147747916,66.30251876948404,66.31852141091218
117,65.79946147747916,66.30251876948404,66.31852141091218
118,65.8788788444773,66.36055758043052,66.37614564884112
119,65.8788788444773,66.36055758043052,66.37614564884112
120,65.95848726056806,66.47238856233048,66.45131160969831
121,65.95848726056806,66.47238856233048,66.45131160969831
122,66.02942418155045,66.53316383622163,66.50900779029928
123,66.02942418155045,66.53316383622163,66.50900779029928
124,66.09391498851868,66.58450347436266,66.57787724060982
125,66.09391498851868,66.58450347436266,66.57787724060982
126,66.15738604322435,66.63406041721544,66.62854988996357
127,66.15738604322435,66.63406041721544,66.62854988996357
128,66.22484673364599,66.69312944141073,66.69672327215783
129,66.22484673364599,66.69312944141073,66.69672327215783
130,66.27688877817036,66.74333660812631,66.75627413706302
131,66.27688877817036,66.74333660812631,66.75627413706302
132,66.33256560231794,66.79944684009749,66.80965209148634
133,66.33256560231794,66.79944684009749,66.80965209148634
134,66.41382062036755,66.8549623729634,66.87286582009675
135,66.41382062036755,66.8549623729634,66.87286582009675
136,66.47693983131438,66.90235595922131,66.92576661521926
137,66.47693983131438,66.90235595922131,66.92576661521926
138,66.53895787424071,66.97247876310207,66.99900884089014
139,66.53895787424071,66.97247876310207,66.99900884089014
140,66.59123569107406,67.02017240706569,67.07635337626176
141,66.59123569107406,67.02017240706569,67.07635337626176
142,66.64810266720357,67.09341038030131,67.11984253739847
143,66.64810266720357,67.09341038030131,67.11984253739847
144,66.69066108091812,67.13569404098125,67.1602752696189
145,66.69066108091812,67.13569404098125,67.1602752696189
146,66.74412083265894,67.1931593068447,67.21668786840873
147,66.74412083265894,67.1931593068447,67.21668786840873
148,66.80806989402032,67.23806354880874,67.27292252997478
149,66.80806989402032,67.23806354880874,67.27292252997478
150,66.8526613923919,67.28519975058916,67.3195208718867
151,66.8526613923919,67.28519975058916,67.3195208718867
152,66.92766636159645,67.31927677661794,67.34911876919594
153,66.92766636159645,67.31927677661794,67.34911876919594
154,66.98541990893438,67.37869461663527,67.39435085233572
155,66.98541990893438,67.37869461663527,67.39435085233572
156,67.03604864403262,67.41694268239608,67.45017735796762
157,67.03604864403262,67.41694268239608,67.45017735796762
158,67.07624526580312,67.45468751188767,67.51601214505025
