Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize50//,data//output//runtimePerformance//DECMO//SolutionSetSize100//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO//SolutionSetSize300//,data//output//runtimePerformance//DECMO//SolutionSetSize400//,data//output//runtimePerformance//DECMO//SolutionSetSize500//
0,10.099438704152963,10.209939785926641,11.802571217113424,12.623577212145028,13.137938719179095,13.654953479354447
1,12.910877486602228,11.795025271484828,11.802571217113424,12.623577212145028,13.137938719179095,13.654953479354447
2,15.511341442658312,13.254219158128658,13.399923508215549,12.623577212145028,13.137938719179095,13.654953479354447
3,17.8995515399492,14.66398394860017,13.399923508215549,14.285724446173285,13.137938719179095,13.654953479354447
4,20.25180268856754,16.024344733953896,14.870968929966768,14.285724446173285,14.811276969991196,13.654953479354447
5,22.503974697949538,17.35297846858054,14.870968929966768,14.285724446173285,14.811276969991196,15.32577598211227
6,24.481847654914553,18.81306391901396,16.328307978029088,15.752936603546434,14.811276969991196,15.32577598211227
7,26.433118183076907,20.30692483283831,16.328307978029088,15.752936603546434,14.811276969991196,15.32577598211227
8,28.220255387074968,21.642072886107375,17.729824417931372,15.752936603546434,16.272439773385788,15.32577598211227
9,29.85234830909662,23.001547894843306,17.729824417931372,17.195095928085127,16.272439773385788,15.32577598211227
10,31.496251797447265,24.312384075193133,19.264258445566988,17.195095928085127,16.272439773385788,16.778456920621778
11,33.11861104185466,25.71444597007568,19.264258445566988,17.195095928085127,16.272439773385788,16.778456920621778
12,34.71874072288068,26.998678737772504,20.820083974031196,18.69271991498486,17.763682228857906,16.778456920621778
13,36.34167681848479,28.179929735587706,20.820083974031196,18.69271991498486,17.763682228857906,16.778456920621778
14,38.00525657951046,29.2659739153007,22.334563844989937,18.69271991498486,17.763682228857906,16.778456920621778
15,39.69758394526814,30.272401525592297,22.334563844989937,20.292675513025507,17.763682228857906,18.319970118598647
16,41.505114025117834,31.397913925807757,23.751852225177785,20.292675513025507,19.34675417178888,18.319970118598647
17,43.24213597323748,32.482767164211786,23.751852225177785,20.292675513025507,19.34675417178888,18.319970118598647
18,45.05682207006641,33.48444122153901,25.16211997652696,21.88095337410961,19.34675417178888,18.319970118598647
19,46.73633138665511,34.51482640282066,25.16211997652696,21.88095337410961,19.34675417178888,18.319970118598647
20,48.41658315643628,35.469541165439374,26.47989193872198,21.88095337410961,21.023235465859887,19.880949272631806
21,49.916700678089775,36.527591022384335,26.47989193872198,23.425328725490843,21.023235465859887,19.880949272631806
22,51.44229780181611,37.54614606276401,27.93824416100201,23.425328725490843,21.023235465859887,19.880949272631806
23,52.82267153946607,38.47504344863753,27.93824416100201,23.425328725490843,21.023235465859887,19.880949272631806
24,54.20483600774152,39.45113678496288,29.241772194905046,24.955954397583533,22.700736793970165,19.880949272631806
25,55.532042282070606,40.38101002076664,29.241772194905046,24.955954397583533,22.700736793970165,21.54987063029345
26,56.7723538523947,41.47137949176416,30.496542319639865,24.955954397583533,22.700736793970165,21.54987063029345
27,57.854714471051004,42.62035637900229,30.496542319639865,26.401744814026493,22.700736793970165,21.54987063029345
28,58.94487777837135,43.69906922801534,31.713634309533997,26.401744814026493,24.303045474234562,21.54987063029345
29,59.96629213280302,44.891866194608696,31.713634309533997,26.401744814026493,24.303045474234562,21.54987063029345
30,60.939721629752356,46.006368761045074,32.89417031026571,27.738588925003704,24.303045474234562,23.253552380931716
31,61.87061397713189,47.23474006302399,32.89417031026571,27.738588925003704,24.303045474234562,23.253552380931716
32,62.720049638731,48.414092350991254,34.070154685630705,27.738588925003704,25.827168883390105,23.253552380931716
33,63.53129585662669,49.504246522439125,34.070154685630705,29.035998352450136,25.827168883390105,23.253552380931716
34,64.27951716880929,50.48774032049879,35.23921323755865,29.035998352450136,25.827168883390105,23.253552380931716
35,64.95635801183813,51.45211658834997,35.23921323755865,29.035998352450136,25.827168883390105,24.871484087567737
36,65.63179174645711,52.556321624251055,36.4443187483279,30.297509000741385,27.287621092799032,24.871484087567737
37,66.2684543520618,53.53236415925584,36.4443187483279,30.297509000741385,27.287621092799032,24.871484087567737
38,66.86077727163436,54.46564728931297,37.5876795198144,30.297509000741385,27.287621092799032,24.871484087567737
39,67.38288143376633,55.34169066331283,37.5876795198144,31.552422090339288,27.287621092799032,24.871484087567737
40,67.89596403378943,56.20897612047343,38.77574610883734,31.552422090339288,28.673599328770745,26.433260574009164
41,68.36831048130468,57.15345136323888,38.77574610883734,31.552422090339288,28.673599328770745,26.433260574009164
42,68.77115389985207,58.01846976115367,40.00002585703393,32.79661339656958,28.673599328770745,26.433260574009164
43,69.19687279664669,58.872283960010904,40.00002585703393,32.79661339656958,28.673599328770745,26.433260574009164
44,69.5990391090274,59.701070648728646,41.262416346060206,32.79661339656958,30.0295221310547,26.433260574009164
45,69.93048605692998,60.398422608845124,41.262416346060206,34.07532667070674,30.0295221310547,27.85720917792346
46,70.31465886134764,61.22283559946106,42.48134556189231,34.07532667070674,30.0295221310547,27.85720917792346
47,70.65792444404508,61.9805952116059,42.48134556189231,34.07532667070674,30.0295221310547,27.85720917792346
48,70.96035792979067,62.75676486317574,43.701707488007344,35.43483494392079,31.330689784891465,27.85720917792346
49,71.29353598008578,63.414066589063026,43.701707488007344,35.43483494392079,31.330689784891465,27.85720917792346
50,71.61350710963039,64.05597086480026,44.9252867797296,35.43483494392079,31.330689784891465,29.263058060572185
51,71.9381866465731,64.75503906804913,44.9252867797296,36.80728496593469,31.330689784891465,29.263058060572185
52,72.25474885815335,65.40987336415888,46.357738323441644,36.80728496593469,32.63730898505631,29.263058060572185
53,72.53760109097105,66.05494059714512,46.357738323441644,36.80728496593469,32.63730898505631,29.263058060572185
54,72.81076046035831,66.63849529951679,47.74152419421001,38.13417757424281,32.63730898505631,29.263058060572185
55,73.10493616777521,67.1606644881266,47.74152419421001,38.13417757424281,32.63730898505631,30.598568787030054
56,73.33424964611017,67.80978143046418,49.05392099374562,38.13417757424281,33.92714660597106,30.598568787030054
57,73.60161136936476,68.3734905996842,49.05392099374562,39.443058124658215,33.92714660597106,30.598568787030054
58,73.8427050923798,68.91806719589775,50.28085077867923,39.443058124658215,33.92714660597106,30.598568787030054
59,74.05389723105225,69.43599188879892,50.28085077867923,39.443058124658215,33.92714660597106,30.598568787030054
60,74.25797519715442,69.89467903075581,51.50579201529075,40.75856532953633,35.2080045525734,31.904655516452213
61,74.45351592907711,70.37689680709502,51.50579201529075,40.75856532953633,35.2080045525734,31.904655516452213
62,74.67249955480935,70.85274946824372,52.80502939384914,40.75856532953633,35.2080045525734,31.904655516452213
63,74.85482392616248,71.32604595785544,52.80502939384914,42.04868033741112,35.2080045525734,31.904655516452213
64,75.05563669937337,71.76369497472126,53.965579569030304,42.04868033741112,36.53259924589065,31.904655516452213
65,75.29943171071645,72.15165097032633,53.965579569030304,42.04868033741112,36.53259924589065,33.20661288411037
66,75.47151195310545,72.59082551802902,55.09236242534789,43.39386526520084,36.53259924589065,33.20661288411037
67,75.68261872740612,72.97665186853034,55.09236242534789,43.39386526520084,36.53259924589065,33.20661288411037
68,75.8602613594402,73.34822168338802,56.105638058834316,43.39386526520084,37.87600961445831,33.20661288411037
69,76.04717453973359,73.69788082867885,56.105638058834316,44.751844519521015,37.87600961445831,33.20661288411037
70,76.186620380779,73.96874061712418,57.14418759685465,44.751844519521015,37.87600961445831,34.5239855043522
71,76.35249737741006,74.28602223712274,57.14418759685465,44.751844519521015,37.87600961445831,34.5239855043522
72,76.49282033819671,74.58720241058505,58.1196863672297,45.98943777164722,39.220574919313925,34.5239855043522
73,76.66255408207833,74.88785237317606,58.1196863672297,45.98943777164722,39.220574919313925,34.5239855043522
74,76.80457231723985,75.14992787590982,59.106294047812575,45.98943777164722,39.220574919313925,34.5239855043522
