Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize50//,data//output//runtimePerformance//DECMO//SolutionSetSize100//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO//SolutionSetSize300//,data//output//runtimePerformance//DECMO//SolutionSetSize400//,data//output//runtimePerformance//DECMO//SolutionSetSize500//
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.05629790059920067,0.0,0.0,0.0,0.0,0.0
7,0.14030040345280279,0.0,0.0,0.0,0.0,0.0
8,1.0842106217867322,0.0,0.0,0.0,0.0,0.0
9,3.003750484609902,0.0,0.0,0.0,0.0,0.0
10,5.814722940914345,0.0,0.0,0.0,0.0,0.0
11,9.20884650192858,0.06864243422048491,0.0,0.0,0.0,0.0
12,13.687981221967064,0.11120030605416527,0.0,0.0,0.0,0.0
13,18.284536716190114,0.6185829585195971,0.0,0.0,0.0,0.0
14,22.607307360976815,1.2468892181313127,0.0,0.0,0.0,0.0
15,27.10994482214279,2.066107979147305,0.0,0.0,0.0,0.0
16,31.672467831272392,3.345075463682296,0.018762006935567562,0.0,0.0,0.0
17,35.5688805409119,5.2793390034651795,0.018762006935567562,0.0,0.0,0.0
18,39.11730058806588,7.294139394557077,0.05796795106787977,0.0,0.0,0.0
19,42.719276711258644,9.429115349237842,0.05796795106787977,0.0,0.0,0.0
20,46.147473021678394,12.14219308596017,0.09638433863610134,0.0,0.0,0.0
21,48.94593863410929,15.001592514647955,0.09638433863610134,0.0,0.0,0.0
22,51.79401418898855,17.57644182690119,0.3706742274745233,0.0,0.0,0.0
23,54.38789124441505,20.148986027581262,0.3706742274745233,0.0,0.0,0.0
24,56.721072730455546,22.85635308749326,0.6597958450747766,0.0010422728630981488,0.0,0.0
25,58.710325274577116,25.514699978113292,0.6597958450747766,0.0010422728630981488,0.0,0.0
26,60.488006619371085,28.794171276834323,1.4169768681918127,0.0010422728630981488,0.0,0.0
27,62.16233655047198,31.58834567923106,1.4169768681918127,0.10776798607366775,0.0,0.0
28,63.747777864002316,33.83039497207406,2.5527634014816143,0.10776798607366775,0.0,0.0
29,65.14618813729265,36.36187972469406,2.5527634014816143,0.10776798607366775,0.0,0.0
30,66.3687536216122,38.272195143364605,4.00276141574232,0.21573138093909225,0.0,0.0
31,67.46994039378012,40.66163667033356,4.00276141574232,0.21573138093909225,0.0,0.0
32,68.4170091943539,42.66103333591381,6.220134796506343,0.21573138093909225,0.07847741977669495,0.0
33,69.41728755001665,44.835723411167294,6.220134796506343,0.5182678221576078,0.07847741977669495,0.0
34,70.2400207602675,46.69412546456369,8.594577390117895,0.5182678221576078,0.07847741977669495,0.0
35,71.03236356219128,48.516517772851806,8.594577390117895,0.5182678221576078,0.07847741977669495,0.0
36,71.7698049129242,50.382176358459304,12.013346787468192,1.2120817209301717,0.10533819861947542,0.0
37,72.47703123511867,52.12732299771674,12.013346787468192,1.2120817209301717,0.10533819861947542,0.0
38,73.08300622929056,53.79843464685411,15.19808672079677,1.2120817209301717,0.10533819861947542,0.0
39,73.64767925243905,55.39880038474032,15.19808672079677,2.4684492827045097,0.10533819861947542,0.0
40,74.11412118565812,56.85323313604902,18.63581470002372,2.4684492827045097,0.27086345449599364,0.003026213500709529
41,74.56841686220207,58.2597760914829,18.63581470002372,2.4684492827045097,0.27086345449599364,0.003026213500709529
42,74.99120982053472,59.65769973459905,21.89693164834932,4.304536242670837,0.27086345449599364,0.003026213500709529
43,75.37287798762941,60.9048281404719,21.89693164834932,4.304536242670837,0.27086345449599364,0.003026213500709529
44,75.72764633483732,62.014207672198495,25.15206657437443,4.304536242670837,0.5677572684509903,0.003026213500709529
45,76.10132581963725,63.05693011640054,25.15206657437443,7.238682494923291,0.5677572684509903,0.06068587618319001
46,76.40876642279473,64.22735523258787,28.017788705050528,7.238682494923291,0.5677572684509903,0.06068587618319001
47,76.75746483995461,65.24545661086984,28.017788705050528,7.238682494923291,0.5677572684509903,0.06068587618319001
48,77.058199889951,66.22616459068497,31.072351165773938,10.191976909398237,1.2684090801593828,0.06068587618319001
49,77.37286267821864,67.17824532759651,31.072351165773938,10.191976909398237,1.2684090801593828,0.06068587618319001
50,77.6271709714464,67.97125885233008,33.775732663103106,10.191976909398237,1.2684090801593828,0.27996050032744835
51,77.88904630040349,68.8209186894148,33.775732663103106,13.682220331378584,1.2684090801593828,0.27996050032744835
52,78.16248911637604,69.64365480974975,36.65009866932801,13.682220331378584,3.1216056155502536,0.27996050032744835
53,78.42596747780091,70.40960461792638,36.65009866932801,13.682220331378584,3.1216056155502536,0.27996050032744835
54,78.61383246513148,71.13068472680524,39.29629030055693,17.035206176955125,3.1216056155502536,0.27996050032744835
