Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize50//,data//output//runtimePerformance//DECMO//SolutionSetSize100//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO//SolutionSetSize300//,data//output//runtimePerformance//DECMO//SolutionSetSize400//,data//output//runtimePerformance//DECMO//SolutionSetSize500//
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0047476412954503885,0.0,0.0,0.0,0.0,0.0
30,0.0047476412954503885,0.0,0.0,0.0,0.0,0.0
31,0.17555176658484284,0.0,0.0,0.0,0.0,0.0
32,0.18349044632156514,0.0,0.0,0.0,0.0,0.0
33,0.38664036811397007,0.0,0.0,0.0,0.0,0.0
34,0.6677177098301623,0.0,0.0,0.0,0.0,0.0
35,1.1166032933134775,0.0,0.0,0.0,0.0,0.0
36,1.7743549431927943,0.0,0.0,0.0,0.0,0.0
37,2.1421055619090095,0.0,0.0,0.0,0.0,0.0
38,2.535133646318588,0.0,0.0,0.0,0.0,0.0
39,3.1189770729740722,0.0,0.0,0.0,0.0,0.0
40,3.660559694405973,0.0,0.0,0.0,0.0,0.0
41,4.37137717275118,0.0,0.0,0.0,0.0,0.0
42,5.053392340320129,0.0,0.0,0.0,0.0,0.0
43,5.815356399872245,0.0,0.0,0.0,0.0,0.0
44,6.946313575972997,0.0,0.0,0.0,0.0,0.0
45,7.8821072033433515,0.0,0.0,0.0,0.0,0.0
46,9.713938157794985,0.0,0.0,0.0,0.0,0.0
47,10.886512349002903,0.0,0.0,0.0,0.0,0.0
48,12.033154456278453,0.0,0.0,0.0,0.0,0.0
49,13.707058389848822,0.0,0.0,0.0,0.0,0.0
50,15.1694160579391,0.0,0.0,0.0,0.0,0.0
51,16.550903452474586,0.0,0.0,0.0,0.0,0.0
52,18.118701168065858,0.0,0.0,0.0,0.0,0.0
53,20.526887691628936,0.0,0.0,0.0,0.0,0.0
54,22.2612861442671,0.001623417983414386,0.0,0.0,0.0,0.0
55,24.45320204270597,0.00868617142853609,0.0,0.0,0.0,0.0
56,26.4774801364542,0.052665744413871986,0.0,0.0,0.0,0.0
57,28.113028170396355,0.10900598762481695,0.0,0.0,0.0,0.0
58,29.723652522097538,0.27958287814026705,0.0,0.0,0.0,0.0
59,31.24099508077326,0.36821832166817714,0.0,0.0,0.0,0.0
60,32.890573574534294,0.49212856335984967,0.0,0.0,0.0,0.0
61,34.808548144494225,0.6891200437217796,0.0,0.0,0.0,0.0
62,36.44409423477324,0.7321885753437138,0.0,0.0,0.0,0.0
63,38.06401785494669,1.0368930100277702,0.0,0.0,0.0,0.0
64,39.45044294988855,1.136011144619057,0.0,0.0,0.0,0.0
65,41.035982189587614,1.451282284737444,0.0,0.0,0.0,0.0
66,42.31831665758954,1.94100645704026,0.0,0.0,0.0,0.0
67,44.0646650181216,2.372648544034285,0.0,0.0,0.0,0.0
68,45.96656570578731,2.8027342153118275,0.0,0.0,0.0,0.0
69,47.288206864624385,3.658395281381013,0.0,0.0,0.0,0.0
70,48.65378102885224,3.981739117272756,0.0,0.0,0.0,0.0
71,50.2837301844721,4.604181952391567,0.0,0.0,0.0,0.0
72,51.382312741695934,5.544151785137118,0.0,0.0,0.0,0.0
73,52.954966994459355,6.870290603420909,0.0,0.0,0.0,0.0
74,54.239475521388655,7.702454201072276,0.0,0.0,0.0,0.0
75,55.39520785278312,8.625277190269333,0.0,0.0,0.0,0.0
76,56.30534144073992,10.068766960348151,0.0,0.0,0.0,0.0
