Comparison stage no.,data//output//runtimePerformance//GDE3//SolutionSetSize50//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize400//,data//output//runtimePerformance//GDE3//SolutionSetSize500//
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,7.10998681374365E-4,0.0,0.0,0.0,0.0,0.0
8,0.020191933183882155,0.0,0.0,0.0,0.0,0.0
9,0.04918441737038559,0.0,0.0,0.0,0.0,0.0
10,0.12497070903263847,0.0,0.0,0.0,0.0,0.0
11,0.4581562952789687,0.0,0.0,0.0,0.0,0.0
12,1.4777310605160152,0.0,0.0,0.0,0.0,0.0
13,3.4087772601868487,1.4281553086229965E-5,0.0,0.0,0.0,0.0
14,6.632753471727909,3.2537867953595135E-4,0.0,0.0,0.0,0.0
15,11.275884430261868,0.001112712343652028,0.0,0.0,0.0,0.0
16,15.522223184686688,0.001112712343652028,0.0,0.0,0.0,0.0
17,21.20212950666821,0.014555834729355734,0.0,0.0,0.0,0.0
18,26.630517656194623,0.0483837928626275,0.0,0.0,0.0,0.0
19,32.861904563547576,0.12146944715199048,0.0,0.0,0.0,0.0
20,37.65396705566912,0.23984588535930812,0.0,0.0,0.0,0.0
21,42.69564208419243,0.6263322844695719,0.0,0.0,0.0,0.0
22,47.07237690116588,1.0942959815538496,0.0,0.0,0.0,0.0
23,50.448069068190385,1.7103907564498866,0.0,0.0,0.0,0.0
24,53.68541279285428,2.6528210101988665,0.0,0.0,0.0,0.0
25,57.038588688591354,4.154773532980633,0.0,0.0,0.0,0.0
26,59.47024149554058,5.576536193944041,0.0013479499827733477,0.0,0.0,0.0
27,61.69773449321529,7.596568440954366,0.0013479499827733477,0.0,0.0,0.0
28,63.41081385830192,10.012083273354165,0.0014056590367784766,0.0,0.0,0.0
29,64.9966855598038,12.56528161587281,0.0014056590367784766,0.0,0.0,0.0
30,66.63992600685793,15.335813222213984,0.007020856518103104,0.0,0.0,0.0
31,68.0976107930378,18.131004486015605,0.007020856518103104,0.0,0.0,0.0
32,69.38490104908821,21.376195577834352,0.010984435259850777,0.0,0.0,0.0
33,70.44002197174353,24.7124487322117,0.010984435259850777,0.0,0.0,0.0
34,71.15371461679926,28.140610462885014,0.05298965947665575,0.0,0.0,0.0
35,72.22339727074245,31.53139957442895,0.05298965947665575,0.0,0.0,0.0
36,73.20799108742278,34.77534020599039,0.11976496188846,3.2243411867303313E-5,0.0,0.0
37,74.01284511663722,38.09996565898152,0.11976496188846,3.2243411867303313E-5,0.0,0.0
38,74.89231324707582,41.575758172346525,0.1913283395937035,3.2243411867303313E-5,0.0,0.0
39,75.41209935870057,44.88951309531758,0.1913283395937035,7.051044737266186E-4,0.0,0.0
40,75.93348202612023,48.25027210097146,0.5455028576958663,7.051044737266186E-4,0.0,0.0
41,76.7635662712202,51.170695061710006,0.5455028576958663,7.051044737266186E-4,0.0,0.0
42,76.96129494158612,54.02023302108837,1.2895479878656397,0.00810995648577226,0.0,0.0
43,77.34482782747773,56.48867105294961,1.2895479878656397,0.00810995648577226,0.0,0.0
44,77.79661435257626,58.744522672045655,2.0829017987109384,0.00810995648577226,0.0,0.0
45,78.3653543391352,60.87367482532417,2.0829017987109384,0.022946005842985725,0.0,0.0
46,78.81885721030072,62.83390396823896,3.3727936313813536,0.022946005842985725,0.0,0.0
47,78.91003315833484,64.68842458997608,3.3727936313813536,0.022946005842985725,0.0,0.0
48,79.3035887235604,66.10907791118113,5.180336917336475,0.07132727847507282,0.0,0.0
49,79.64317386258918,67.35495409432623,5.180336917336475,0.07132727847507282,0.0,0.0
50,79.88921944995334,68.46104812810242,7.653094115995791,0.07132727847507282,0.0,0.0
51,80.05045446598768,69.91833691175655,7.653094115995791,0.13116607295711175,0.0,0.0
52,80.29681901991309,70.98336904439847,10.059801987335062,0.13116607295711175,1.343768310340573E-4,0.0
53,80.53918479445464,71.95075460579315,10.059801987335062,0.13116607295711175,1.343768310340573E-4,0.0
54,80.80089026990142,72.93512654081334,12.731613616970105,0.23955900802554642,1.343768310340573E-4,0.0
55,80.7135399259803,73.79670449633129,12.731613616970105,0.23955900802554642,1.343768310340573E-4,0.0
56,80.95867338426865,74.71082997201646,15.628797512229346,0.23955900802554642,0.008359672712727952,0.0
57,81.22698665683657,75.36719349087328,15.628797512229346,0.5216128981389733,0.008359672712727952,0.0
58,81.41329561799044,76.19764042825621,18.8272827617029,0.5216128981389733,0.008359672712727952,0.0
59,81.7123703378462,76.79173311234172,18.8272827617029,0.5216128981389733,0.008359672712727952,0.0
