Comparison stage no.,data//output//runtimePerformance//GDE3//SolutionSetSize50//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize400//,data//output//runtimePerformance//GDE3//SolutionSetSize500//
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,1.1485636470219971E-4,0.0,0.0,0.0,0.0,0.0
9,0.17566343812600121,0.0,0.0,0.0,0.0,0.0
10,0.38395973524346466,0.0,0.0,0.0,0.0,0.0
11,0.9151288191998478,0.0,0.0,0.0,0.0,0.0
12,2.3253142415137935,0.0,0.0,0.0,0.0,0.0
13,4.450690969301788,3.863117485727131E-4,0.0,0.0,0.0,0.0
14,6.946349284856083,3.863117485727133E-4,0.0,0.0,0.0,0.0
15,10.527558045340893,3.863117485727133E-4,0.0,0.0,0.0,0.0
16,14.53346360469752,3.863117485727133E-4,0.0,0.0,0.0,0.0
17,18.3813837048064,0.001480691756992768,0.0,0.0,0.0,0.0
18,22.48956876670127,0.07436419748280151,0.0,0.0,0.0,0.0
19,26.371967171885807,0.24568633888878855,0.0,0.0,0.0,0.0
20,30.12681258874061,0.3371684916965648,0.0,0.0,0.0,0.0
21,34.32121082034084,0.5625127694321719,0.0,0.0,0.0,0.0
22,38.00571373004488,0.8814927631633664,0.0,0.0,0.0,0.0
23,41.51264030467787,1.59654715596893,0.0,0.0,0.0,0.0
24,44.89408139361458,2.4471800600747393,0.0,0.0,0.0,0.0
25,47.868592198631006,3.2934586761957636,0.0,0.0,0.0,0.0
26,50.43152704159215,4.649713389006769,0.0,0.0,0.0,0.0
27,52.93406203004171,5.935584742378856,0.0,0.0,0.0,0.0
28,55.24494938975471,8.086549704448277,0.0,0.0,0.0,0.0
29,57.44075122650615,9.949434662842433,0.0,0.0,0.0,0.0
30,59.37884855030979,12.326106552785655,0.0,0.0,0.0,0.0
31,61.124160783200985,14.347418060228243,0.0,0.0,0.0,0.0
32,62.921375702859464,16.499685091171578,2.700854693308208E-4,0.0,0.0,0.0
33,64.49975470071456,18.49363236465444,2.700854693308208E-4,0.0,0.0,0.0
34,65.96530567466334,20.469452491044866,0.06483297742151813,0.0,0.0,0.0
35,67.29625497694165,22.300415166449707,0.06483297742151813,0.0,0.0,0.0
36,68.52241506017509,24.810071838316357,0.21048227026802166,0.0,0.0,0.0
37,69.73973169902561,27.014603795998426,0.21048227026802166,0.0,0.0,0.0
38,70.7700589823756,28.970874797587136,0.33701219427100254,0.0,0.0,0.0
39,71.68271635680235,30.87563316407234,0.33701219427100254,6.595116578395069E-4,0.0,0.0
40,72.64901203836263,33.0610134425606,0.6402837129274168,6.595116578395069E-4,0.0,0.0
41,73.58517896613073,34.8147195991609,0.6402837129274168,6.595116578395069E-4,0.0,0.0
42,74.32195223157555,36.693747206191375,1.3572359905762434,6.595116578395069E-4,0.0,0.0
43,75.06950461445676,38.252640535599596,1.3572359905762434,6.595116578395069E-4,0.0,0.0
44,75.71742324999117,40.04298639767776,1.8932643831781715,6.595116578395069E-4,0.0,0.0
45,76.3917589414005,41.704670432984386,1.8932643831781715,6.595116578395069E-4,0.0,0.0
46,76.99556182207645,43.50062860492945,2.476855039888448,6.595116578395069E-4,0.0,0.0
47,77.54998334526627,45.29140413948684,2.476855039888448,6.595116578395069E-4,0.0,0.0
48,78.09893650164994,46.88740452578483,3.6394798307484573,0.10000268233607014,0.0,0.0
49,78.59007525047963,48.45822307706831,3.6394798307484573,0.10000268233607014,0.0,0.0
50,79.09254443333037,49.64148670599068,5.092780972735184,0.10000268233607014,0.0,0.0
51,79.56506624854461,51.06945865938768,5.092780972735184,0.1309071690235464,0.0,0.0
52,79.9345846169979,52.47649168400781,6.636152450435022,0.1309071690235464,0.0,0.0
53,80.37759103857623,53.6270522028525,6.636152450435022,0.1309071690235464,0.0,0.0
54,80.73097894349976,54.88383129308514,8.64002957230059,0.35097579798219586,0.0,0.0
55,81.07911387351602,56.13503850541879,8.64002957230059,0.35097579798219586,0.0,3.925649058751528E-5
56,81.38003849946446,57.178447363091,10.242744718845538,0.35097579798219586,8.352671969258317E-5,3.925649058751528E-5
57,81.67809094688634,58.12100816472792,10.242744718845538,0.4792363763317821,8.352671969258317E-5,3.925649058751528E-5
58,81.96970313749881,59.15773574045191,11.961947683941098,0.4792363763317821,8.352671969258317E-5,3.925649058751528E-5
59,82.26773479482296,60.10449856772377,11.961947683941098,0.4792363763317821,8.352671969258317E-5,3.925649058751528E-5
