Comparison stage no.,data//output//runtimePerformance//GDE3//SolutionSetSize50//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize400//,data//output//runtimePerformance//GDE3//SolutionSetSize500//
0,58.23071041537109,59.214256386486355,62.869823061819154,64.30754647607053,65.68667050523976,66.55307249925761
1,64.57732171962456,62.3005762329592,62.869823061819154,64.30754647607053,65.68667050523976,66.55307249925761
2,69.6190592476871,64.93819300816874,65.78754159953166,64.30754647607053,65.68667050523976,66.55307249925761
3,73.29353506120601,67.8877732334305,65.78754159953166,67.2378751099086,65.68667050523976,66.55307249925761
4,76.27250024078627,70.06809172146446,68.47209886875463,67.2378751099086,68.32583689456092,66.55307249925761
5,78.53242318616235,72.21578724016457,68.47209886875463,67.2378751099086,68.32583689456092,69.1735155345627
6,80.39231528107629,74.04486983338768,70.65443174064887,69.96948466999635,68.32583689456092,69.1735155345627
7,81.91500132014473,75.53839374643064,70.65443174064887,69.96948466999635,68.32583689456092,69.1735155345627
8,83.18625823022609,77.08853971971777,73.14641625802545,69.96948466999635,71.08214555564882,69.1735155345627
9,84.13806030504144,78.26161035964991,73.14641625802545,72.3786920305583,71.08214555564882,69.1735155345627
10,84.83513298284826,79.36367260495572,74.9899466319377,72.3786920305583,71.08214555564882,71.8978149629512
11,85.40498659278325,80.347527960008,74.9899466319377,72.3786920305583,71.08214555564882,71.8978149629512
12,85.82684679028337,81.24627500360478,76.61736560143176,74.33011166527933,73.39774129267002,71.8978149629512
13,86.15684868367111,82.12338510348643,76.61736560143176,74.33011166527933,73.39774129267002,71.8978149629512
14,86.42197312174089,82.78075812934094,77.98658047976312,74.33011166527933,73.39774129267002,71.8978149629512
15,86.64911010794528,83.40648037482106,77.98658047976312,76.01501473419067,73.39774129267002,74.10210945781253
16,86.8357583957321,83.96527376815959,79.20980943939199,76.01501473419067,75.30589227464,74.10210945781253
17,86.99474245914072,84.44790511121592,79.20980943939199,76.01501473419067,75.30589227464,74.10210945781253
18,87.12301525066161,84.9034781705961,80.36071924502224,77.47832404330002,75.30589227464,74.10210945781253
19,87.22561895692589,85.29836213676711,80.36071924502224,77.47832404330002,75.30589227464,74.10210945781253
20,87.3057269793265,85.64229050747917,81.26666659291972,77.47832404330002,76.84964744815849,75.82351178673693
21,87.38310255497727,85.95554233144257,81.26666659291972,78.82017642727041,76.84964744815849,75.82351178673693
22,87.45679403786045,86.25303080456354,82.07696414091242,78.82017642727041,76.84964744815849,75.82351178673693
23,87.51773407497397,86.52248862540573,82.07696414091242,78.82017642727041,76.84964744815849,75.82351178673693
24,87.56767593290003,86.73892266044864,82.80722494477106,79.93122506376044,78.26098714035744,75.82351178673693
25,87.61883737433864,86.92551958441757,82.80722494477106,79.93122506376044,78.26098714035744,77.44136669406883
26,87.6633846143291,87.07937385956284,83.45552678778083,79.93122506376044,78.26098714035744,77.44136669406883
27,87.70012552770903,87.21913274790165,83.45552678778083,80.93281758243539,78.26098714035744,77.44136669406883
28,87.73909856688489,87.34311569326735,84.06900508662179,80.93281758243539,79.50642436770727,77.44136669406883
29,87.76732621525505,87.45313576966794,84.06900508662179,80.93281758243539,79.50642436770727,77.44136669406883
30,87.79659914243015,87.54368684818695,84.59005037960466,81.86413081009815,79.50642436770727,78.8524018583801
31,87.82756457165209,87.62608218955906,84.59005037960466,81.86413081009815,79.50642436770727,78.8524018583801
32,87.84886256201852,87.71144859829649,85.07632957493216,81.86413081009815,80.58325447861954,78.8524018583801
33,87.87193165947174,87.78039830950041,85.07632957493216,82.71887144205064,80.58325447861954,78.8524018583801
34,87.89047723483097,87.83930057883781,85.47516511317158,82.71887144205064,80.58325447861954,78.8524018583801
35,87.91415189122951,87.89613564875643,85.47516511317158,82.71887144205064,80.58325447861954,79.95322941353616
36,87.93002706729442,87.94345046006566,85.85486196812155,83.41255438504176,81.57276962167592,79.95322941353616
37,87.94642638739909,87.99476561426347,85.85486196812155,83.41255438504176,81.57276962167592,79.95322941353616
38,87.96377038675207,88.03625720480694,86.17653976764933,83.41255438504176,81.57276962167592,79.95322941353616
39,87.97683228941888,88.07252430700518,86.17653976764933,84.03211201668553,81.57276962167592,79.95322941353616
40,87.98744806973376,88.10725397861786,86.47863633057258,84.03211201668553,82.32272453201936,81.04662021703669
41,87.99866133147111,88.14046722519147,86.47863633057258,84.03211201668553,82.32272453201936,81.04662021703669
42,88.008394218043,88.17217084045707,86.74806439647269,84.55317077593384,82.32272453201936,81.04662021703669
43,88.0192702267517,88.19955492033449,86.74806439647269,84.55317077593384,82.32272453201936,81.04662021703669
44,88.02974242124871,88.22390336196011,86.9732194145436,84.55317077593384,83.08350150796495,81.04662021703669
45,88.0405104802943,88.24671935755879,86.9732194145436,85.03197557594714,83.08350150796495,81.94701691158967
46,88.04942146768472,88.26932574090803,87.18291223921459,85.03197557594714,83.08350150796495,81.94701691158967
47,88.05654180663187,88.29118860751203,87.18291223921459,85.03197557594714,83.08350150796495,81.94701691158967
48,88.06470496675314,88.31045303806883,87.37088339695583,85.47722109186887,83.73427088959536,81.94701691158967
49,88.07376000932163,88.32471800682447,87.37088339695583,85.47722109186887,83.73427088959536,81.94701691158967
50,88.08277667080034,88.34150242691798,87.53139247841442,85.47722109186887,83.73427088959536,82.74511422723263
51,88.09001426237651,88.3552995938726,87.53139247841442,85.8668243150019,83.73427088959536,82.74511422723263
52,88.09363863725888,88.37059039232427,87.6776636535205,85.8668243150019,84.31926014711345,82.74511422723263
53,88.09922367124477,88.38460691674945,87.6776636535205,85.8668243150019,84.31926014711345,82.74511422723263
54,88.10558489239773,88.39881157686105,87.80936982615735,86.19684623778787,84.31926014711345,82.74511422723263
55,88.11281962674435,88.40993873370229,87.80936982615735,86.19684623778787,84.31926014711345,83.40243190891725
56,88.11617789142414,88.42108955053284,87.92592930214853,86.19684623778787,84.86885081125199,83.40243190891725
57,88.1218759100761,88.43162353334624,87.92592930214853,86.5074406543747,84.86885081125199,83.40243190891725
58,88.12646084097845,88.44095751244993,88.02438477370796,86.5074406543747,84.86885081125199,83.40243190891725
59,88.12926886794618,88.44984418216706,88.02438477370796,86.5074406543747,84.86885081125199,83.40243190891725
60,88.1334084642906,88.45869338130548,88.1122648506578,86.77757260677697,85.3154079978541,84.00473846530991
61,88.13904071090384,88.46732762349006,88.1122648506578,86.77757260677697,85.3154079978541,84.00473846530991
62,88.14266941491043,88.47594698609466,88.18668192310831,86.77757260677697,85.3154079978541,84.00473846530991
63,88.14585210334874,88.48369864517932,88.18668192310831,87.01318045771373,85.3154079978541,84.00473846530991
