Comparison stage no.,data//output//runtimePerformance//GDE3//SolutionSetSize50//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize400//,data//output//runtimePerformance//GDE3//SolutionSetSize500//
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,6.536177296457053E-4,0.0,0.0,0.0,0.0,0.0
14,0.047453112078547924,0.0,0.0,0.0,0.0,0.0
15,0.26501144895750106,0.0,0.0,0.0,0.0,0.0
16,1.7095711473371438,0.0,0.0,0.0,0.0,0.0
17,4.234549958670702,0.0,0.0,0.0,0.0,0.0
18,8.564815950018644,0.0,0.0,0.0,0.0,0.0
19,13.314026630698047,0.0,0.0,0.0,0.0,0.0
20,19.779968896773543,0.0,0.0,0.0,0.0,0.0
21,26.719637410191925,0.0,0.0,0.0,0.0,0.0
22,33.10814256034642,0.0,0.0,0.0,0.0,0.0
23,39.42145210585714,0.0,0.0,0.0,0.0,0.0
24,44.82625794339559,0.0,0.0,0.0,0.0,0.0
25,50.81153897807318,0.03561037446144188,0.0,0.0,0.0,0.0
26,56.04857440779365,0.041238438061608734,0.0,0.0,0.0,0.0
27,61.028450947270905,0.0652385961474089,0.0,0.0,0.0,0.0
28,65.43095794474796,0.20135479862699923,0.0,0.0,0.0,0.0
29,69.48802313489601,0.39896714194311755,0.0,0.0,0.0,0.0
30,72.94097131935742,0.8789074664546613,0.0,0.0,0.0,0.0
31,76.08795813140286,1.7673249877678523,0.0,0.0,0.0,0.0
32,78.67892489611836,2.994468906176098,0.0,0.0,0.0,0.0
33,81.17651298411012,4.404712699995425,0.0,0.0,0.0,0.0
34,83.31026272366111,6.599155423129764,0.0,0.0,0.0,0.0
35,85.16435522193915,8.550788543541975,0.0,0.0,0.0,0.0
36,86.77219934441952,11.148969106091918,0.0,0.0,0.0,0.0
37,88.10683528225336,14.309632126440718,0.0,0.0,0.0,0.0
38,89.26088890767646,17.337778815717716,0.0,0.0,0.0,0.0
39,90.22283805908393,20.57683613258556,0.0,0.0,0.0,0.0
40,91.06535576955943,24.019831277468008,0.0,0.0,0.0,0.0
41,91.8025372309413,27.78205444730821,0.0,0.0,0.0,0.0
42,92.42176281824929,31.169804766607463,0.0,0.0,0.0,0.0
43,92.95846294802404,34.6052980450985,0.0,0.0,0.0,0.0
44,93.4311746134271,38.014797547876114,0.0,0.0,0.0,0.0
45,93.84626336738181,41.14225794339058,0.0,0.0,0.0,0.0
46,94.21169968284813,44.13921327562914,0.0,0.0,0.0,0.0
47,94.54098339386235,47.27605625051114,0.0,0.0,0.0,0.0
48,94.82883828920731,50.16791360744739,0.0012529225829694104,0.0,0.0,0.0
49,95.08744561600152,53.04798045073791,0.0012529225829694104,0.0,0.0,0.0
50,95.32184943466683,55.687889826379624,0.0012529225829694104,0.0,0.0,0.0
51,95.52247364561346,58.485558275020836,0.0012529225829694104,0.0,0.0,0.0
52,95.69227947004408,60.89044433379729,0.009898359492580272,0.0,0.0,0.0
53,95.85651829958357,63.106577355240404,0.009898359492580272,0.0,0.0,0.0
54,96.00037582924557,65.40268522280594,0.223924136009133,0.0,0.0,0.0
55,96.12659509654068,67.61346546700656,0.223924136009133,0.0,0.0,0.0
56,96.23874226909166,69.68827890739288,0.7601206870403656,0.0,0.0,0.0
57,96.3425545765499,71.60052823248468,0.7601206870403656,0.0,0.0,0.0
58,96.4351514477517,73.28947464551415,1.3644722124665218,0.0,0.0,0.0
59,96.52130292298192,75.04053779514047,1.3644722124665218,0.0,0.0,0.0
60,96.59923054059509,76.5548143283828,2.18729238465889,0.0,0.0,0.0
61,96.66722314712024,78.0265075621766,2.18729238465889,0.0,0.0,0.0
62,96.73056522977413,79.43546258449874,3.4301169841327512,0.0,0.0,0.0
63,96.7851656434961,80.74870211463065,3.4301169841327512,0.0,0.0,0.0
64,96.8374760781098,81.99521731774776,5.129483847125726,0.0,0.0,0.0
65,96.88823980514933,83.16230708509417,5.129483847125726,0.0,0.0,0.0
66,96.93196008635132,84.22972457709946,7.285308612200522,0.0,0.0,0.0
67,96.9694821382926,85.25437805688281,7.285308612200522,0.0,0.0,0.0
68,97.00035395394887,86.18061793181417,10.107247143122914,0.0,0.0,0.0
