Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//
0,12.605809140421757,10.220268964590742,11.720621822157131,12.607734611807903,13.240982268259666,13.622459264373273,14.019769899498291
1,12.605809140421757,12.004487093931683,11.720621822157131,12.607734611807903,13.240982268259666,13.622459264373273,14.019769899498291
2,12.605809140421757,12.807158121353996,12.60576018714193,12.607734611807903,13.240982268259666,13.622459264373273,14.019769899498291
3,13.025323510697499,13.414365773847475,13.217061247546551,13.147911299714506,13.240982268259666,13.622459264373273,14.019769899498291
4,13.390637068643597,14.208176168499124,13.832576666528782,13.469889730330163,13.546955537918317,13.622459264373273,14.019769899498291
5,13.807308264342938,15.186050947460172,14.53623725451384,13.975646153085078,13.84316384147718,13.78873564624748,14.033982373908295
6,14.426410255339263,16.180295802342417,15.390959481774873,14.658632666377148,14.176189504574054,13.962398016271647,14.23589808482108
7,15.165047226650037,17.19346102255893,16.342713438875872,15.4950283260906,14.774144105816422,14.21951249445164,14.291947182956537
8,15.998068046566228,18.229299035411653,17.35173711334075,16.49445995217123,15.57562174677904,14.774434154603567,14.515191534518223
9,16.810260622839586,19.109356741526227,18.34654723715526,17.520976664043594,16.506781893525247,15.543071524553124,14.885635680008063
10,17.702947063665533,19.99267108446004,19.423497666606345,18.509482185244718,17.42741591072986,16.424298645207855,15.454840954786336
11,18.51090814868205,20.871103844343327,20.39673007185832,19.488286277105534,18.43849828189535,17.391110004447437,16.06204498871683
12,19.368653145838753,21.75630042313708,21.332633582129866,20.43123642522874,19.42414985686749,18.37682594430306,16.789906413919113
13,20.15165138109329,22.614713204396036,22.22325965059259,21.32413535565197,20.390033891108196,19.316543761792172,17.538662107107648
14,20.935717051837287,23.41285862065353,23.051017896928634,22.282514375224817,21.344096597693717,20.344589112619747,18.334770191087635
15,21.68274652374748,24.225262454709807,23.880015577626097,23.20595198766044,22.256449648349097,21.343519299640885,19.150980475501473
16,22.478809068395506,25.066830610811635,24.677187110760133,24.1007488865599,23.083198022593898,22.28811893878249,19.986738288810805
17,23.28288457230445,25.79752247754976,25.501477940256883,24.946621943380276,23.945118735775367,23.212813150578526,20.815952799994527
18,24.016497590565617,26.48096980487294,26.275468141512768,25.730611661193738,24.80349469610122,24.103660702760397,21.6741558367377
19,24.763719553933253,27.193371360689397,27.02078762276705,26.52541923490226,25.629386002192714,24.941733520064915,22.497037903871874
20,25.501404480820575,27.867816980663488,27.740340224601358,27.30433055331865,26.398226315798077,25.780727392806384,23.22464427529453
21,26.203840575803767,28.53523884237738,28.466895411067476,28.022491804581346,27.173380585807735,26.59017283960771,23.942233240284914
22,26.900899339632485,29.177018550447904,29.130110285045273,28.74075855224411,27.907838348440546,27.42833582751441,24.654462298235966
23,27.58335741991916,29.77918596776623,29.784398146636175,29.44518560128328,28.599630610935222,28.208955754313006,25.330418212182245
24,28.264054262452284,30.33484582919097,30.387542667398055,30.145355562520262,29.298790356628768,28.91311035537735,26.034636918141988
25,28.952323431096662,30.867466694893096,31.01061064082561,30.795236057265807,29.96202300569213,29.575435723565175,26.71146746271407
26,29.64292943020142,31.411964500491784,31.624466450837904,31.448996329144432,30.611821158130066,30.260435904073706,27.39400921044522
27,30.299172152077638,31.9470919218045,32.20868401253979,32.05461735948526,31.301479260233084,30.94212736623845,28.06135422994878
28,30.911475296670325,32.434698846244515,32.73935731657343,32.62993580777388,31.966292979518126,31.59640387061484,28.70474700242869
29,31.486118382762275,32.90542906893747,33.28724973227477,33.21569566797244,32.5290683367485,32.22494714638013,29.29170766504794
30,32.109536694151544,33.37215833910664,33.81407526709682,33.752716494753926,33.12559739573911,32.83232365025114,29.932982765737385
31,32.694780714554454,33.85245112659513,34.303558554722116,34.25741017829505,33.69282243205358,33.384872205770336,30.55168296803965
32,33.258369855232864,34.27182883144328,34.77168257997938,34.785619595671456,34.226256181783974,33.90901093779038,31.133286098101344
33,33.80436538861501,34.70356312579018,35.25714338351801,35.27569804224262,34.751201010155526,34.43192348812002,31.686062540432502
34,34.29942853726042,35.11338063058769,35.683410953198134,35.761059085819525,35.280044729107296,34.958623965326886,32.22357637151507
35,34.8228248279287,35.524362549242,36.148362252729676,36.22324656831025,35.75887408483973,35.45186532929825,32.77040384698089
36,35.3186078616536,35.933811814988594,36.58616950570172,36.66872477825418,36.233454729980025,35.937287851197446,33.276798220678984
37,35.81142155959653,36.350621347029694,37.01647979810034,37.09381190025105,36.693705219353575,36.42888219508801,33.78081311819445
38,36.286693707035745,36.76332933590745,37.43179633072429,37.534062449017725,37.15061545872396,36.90387876303069,34.28121484273301
39,36.746654405454734,37.12686406000442,37.86856512650015,37.97418479711435,37.60400473554503,37.35980455350435,34.77946114151978
40,37.194153439385744,37.504995599376215,38.29447916515256,38.40207432842947,38.03135512233887,37.813129555734115,35.24353270357172
41,37.631902535338085,37.87290097393475,38.699501261428935,38.824941550594254,38.50371289576911,38.258857623951734,35.69167822317357
42,38.08336859259113,38.236978999797905,39.075294251564856,39.19865191489277,38.908377053291005,38.6829119135029,36.133886018344725
43,38.496642169956196,38.604893233744,39.504156002345624,39.584421862904655,39.33224333026355,39.08435833578017,36.60629830083713
44,38.90470177934008,38.938320872528315,39.89597958219384,39.96986162003299,39.72928846541407,39.53311945410808,37.02607294324558
45,39.30556307726501,39.31067016227372,40.283017111768295,40.33838239279928,40.118538757894484,39.92662160214413,37.42038339408567
46,39.692933259568264,39.67344503890596,40.667233829091906,40.75236191208878,40.51333481429931,40.35532953790461,37.81966187075861
47,40.088859424508016,39.980265139076934,41.05863173424438,41.11049934450667,40.91937405398474,40.74424272506333,38.239448271873016
48,40.45958146633384,40.346906780337655,41.407682821878375,41.482366119488326,41.29408879543609,41.12006783594031,38.61059573813021
49,40.83255723552688,40.69759457216164,41.77059054751784,41.83166963657144,41.669712926845826,41.51660558776379,38.973231618451194
50,41.20910161238093,41.03626261795247,42.15243507423394,42.21193458116615,42.040306271060494,41.897365764425146,39.343138892407225
51,41.59033220852343,41.37178390336073,42.52119324730022,42.57046051424715,42.39352281669405,42.25032884337153,39.73050606001534
52,41.94651174796038,41.72494222189472,42.88850650591215,42.89557705228051,42.758434684390714,42.62412746863262,40.111772252908814
53,42.30228580414148,42.05090830766444,43.24379750559491,43.231253830145,43.10358541497604,42.995737183100836,40.45980527926371
54,42.64648990979937,42.35683121971207,43.57186383605023,43.56092707729213,43.46573973853148,43.339678304059014,40.794809297965166
55,42.9635581244977,42.70865419642592,43.93861523695883,43.9314528110535,43.8312671572039,43.69950338866326,41.12748903229223
56,43.28425595536895,43.057331141424726,44.26729980554027,44.27573714302091,44.1677969310953,44.03537686409507,41.46618557497292
57,43.600558836512214,43.37445589294871,44.58649714567909,44.5948180300962,44.4977760699337,44.372186737987036,41.810539082756264
58,43.90007898922096,43.71797029185728,44.911479618658504,44.93594756801401,44.82072046477691,44.68882297924678,42.12354142018432
59,44.208057934864655,44.033071120475576,45.24205998760291,45.28764636980813,45.15851948033911,45.01604013736429,42.44068821975779
60,44.53990151557159,44.36305194953433,45.5554987926925,45.60607185624016,45.47440902098893,45.3220600058117,42.75347209990774
61,44.82286200713068,44.69453491370303,45.88309750616446,45.908239361075,45.802813916798954,45.63886170960144,43.05211990932224
62,45.125713595564534,45.07721057399447,46.19665177447467,46.22125102914511,46.131979612299105,45.950445235583416,43.37918937024632
63,45.44214459606635,45.43573545648725,46.55057254261338,46.54162771380425,46.45626425209986,46.25391754490197,43.68790233679295
64,45.73550798467684,45.74145695067286,46.880708896723796,46.84396540169667,46.773115360958904,46.56411491011346,43.9892825265558
65,46.038392243952295,46.046102575570686,47.22232584969431,47.167843333642665,47.086993301042696,46.883457121344314,44.26603520999852
66,46.33642067843809,46.3773656959729,47.55266309687471,47.44816489195863,47.40846743533153,47.185855878960226,44.568134755964586
67,46.63246966484312,46.700490716425435,47.85355943364427,47.739018756166445,47.713124578792254,47.48950663667032,44.86472156204294
68,46.92356635560085,47.03953608469906,48.1473376057003,48.01384991429835,48.01866292545163,47.80272993627248,45.13105876448688
69,47.215928120011185,47.36631411160603,48.42145730687999,48.3212134068861,48.325067033459035,48.100829585590375,45.421547714164305
70,47.486745656258336,47.69568928373852,48.71913284586459,48.633660955977724,48.66106071622972,48.38669576548663,45.680336802784595
71,47.762625891171695,48.03110266642261,49.01508903040448,48.93283092706244,48.97478816318039,48.7036583858718,45.94171064789862
72,48.03361649455842,48.3413740746048,49.347716181038635,49.254186079134676,49.25181463911843,49.02303690027001,46.22767037387838
73,48.33471885780864,48.70104641654951,49.61893208541811,49.577235765486776,49.571792837786944,49.33237641649232,46.51350154889165
74,48.608377372086416,49.03554656693266,49.92966631245769,49.89222468311052,49.872133115452876,49.628081073823,46.78571080024132
75,48.89532897729705,49.331053225455065,50.22612287132068,50.220400667651134,50.16569901469651,49.93393770812814,47.059926610345485
76,49.154555136736995,49.61125834962134,50.52252320998403,50.55263090795096,50.48962592074986,50.25612606022199,47.32842815568152
77,49.430876112087695,49.91330714395095,50.81873349177487,50.886873509647096,50.822432822440724,50.582699493499256,47.604873010838595
78,49.70289806371813,50.23929598979095,51.07989798609244,51.22621803871034,51.13307274937723,50.896626801577064,47.88357083370974
79,50.026042259041155,50.535071134005015,51.36799273539042,51.560920391134225,51.46263847828815,51.19884724321365,48.13974893808083
80,50.32100932158967,50.85965044519295,51.69776074448561,51.880918650883714,51.80142511800641,51.50781467479066,48.416951281917285
81,50.58759206891346,51.10070168530169,52.007762697763525,52.16059780832665,52.1024479950253,51.78615963139701,48.66220701526908
82,50.87633291685645,51.39998429659662,52.28492554317219,52.4844866914316,52.409300008068456,52.06715306459014,48.91730811337475
83,51.13816655581709,51.67791188358306,52.54136023363237,52.796983602113706,52.74806407687939,52.361247880245436,49.16684824234584
84,51.38865290600519,51.97865430777038,52.82537727294239,53.13284741109068,53.02814222708655,52.670816625985076,49.41998064481205
85,51.64905777387467,52.253037968076065,53.090717019865075,53.43350911802705,53.27744127711594,52.947062024717646,49.67663594129346
86,51.91706250800293,52.52486007770757,53.36898114663062,53.73930339970736,53.53366265967775,53.2126948627975,49.9383223533652
87,52.18768616433144,52.75513171827559,53.62443743660528,54.04437052355529,53.77425494175446,53.46998740125918,50.211139607426205
88,52.48595194633811,53.02074637211189,53.88811514796201,54.30335844828732,54.049678042226766,53.70381998386763,50.484941072547336
89,52.73513607313337,53.2676826612166,54.140302320244054,54.59140296597284,54.307408357607024,53.947446817323396,50.753421522587
90,53.01630075405594,53.50556651585615,54.355229747660616,54.84013109461066,54.58283706676416,54.187098105169525,50.986211635556096
91,53.26124422246631,53.756777262024706,54.60810503640737,55.08665253755606,54.83692162630301,54.44040941736905,51.24085431955481
92,53.51443575893652,54.00683660579843,54.860780435883655,55.323462547937574,55.04913152568659,54.70270860075434,51.52548312739349
93,53.75454217331426,54.21727319201503,55.07773471662914,55.56796995440837,55.28771619807108,54.94373024238975,51.77530838221615
94,54.041921462751716,54.446521475296635,55.346884718207704,55.797489857545,55.53682482978364,55.18091496619476,52.03573966001594
95,54.28718654417951,54.656247841165495,55.58285953283111,56.03764447303802,55.76199418137043,55.40283018844097,52.32292651083119
96,54.52311562765864,54.863428046078965,55.87299763730826,56.28021440887068,55.98939864722928,55.6449691608086,52.59732828741872
97,54.76039559340096,55.08870441938211,56.12059916627383,56.505706217455064,56.22111627512581,55.90757874012079,52.875019382989315
98,55.018821596133755,55.29844099911454,56.34111188714997,56.74281186548422,56.420948180244444,56.13840544420417,53.17317879848536
99,55.27228366862324,55.51948211956037,56.57189719283712,56.961771353128704,56.63911690388414,56.34842002101333,53.43718948422609
100,55.517043393010596,55.72552964630724,56.78396442887075,57.17087095108209,56.854603220495115,56.57037256137961,53.70405003443191
101,55.74152036814218,55.919914829207926,56.98265557130046,57.40023541927898,57.13151934824547,56.79824641663782,53.96397457544024
102,55.98815051391173,56.11067925369669,57.20105254119333,57.60362767520428,57.35412635696905,57.031550704447994,54.2063695118916
103,56.22726943376455,56.33323100453694,57.402558656452435,57.829341807816455,57.54532235527131,57.23444797992297,54.43333947060933
104,56.455864210237145,56.5400150561732,57.64226629951783,58.03041411910803,57.761212983534435,57.46935948366044,54.64499881044846
105,56.65148665772315,56.76505907993057,57.84523552667828,58.22340724805746,57.96284969663997,57.66955122829497,54.87196519182863
106,56.87949639619837,56.9654528078,58.05287031659807,58.41520703198429,58.1642670729023,57.878165671462895,55.071846156149846
107,57.09321037953155,57.138779888435614,58.264003465451935,58.62269092446296,58.37498910771149,58.06795511434418,55.27881332374334
108,57.29895540777548,57.295673845372484,58.459122619722805,58.815644898779304,58.585115766579754,58.26376394364793,55.490290405124156
109,57.520960921240864,57.49961049983899,58.670777954034,58.992432734310725,58.7712729707754,58.47590069427538,55.69527950590629
110,57.720687240291426,57.69169133503195,58.85580814569959,59.165460995666464,58.947847908295124,58.66464100327246,55.928531536794274
111,57.9366677959314,57.865703660098305,59.050846991007745,59.330387530496054,59.16790761299436,58.86097283040546,56.15249409699003
112,58.13558280630865,58.03496883446268,59.2404766758382,59.522684687472776,59.36350753536717,59.028782168005996,56.3216850937633
113,58.354508710995646,58.22935475403966,59.40079654353359,59.6994960117511,59.53422753789677,59.24064848264612,56.55668062528215
114,58.54428958551669,58.41852740504683,59.562051412800635,59.85970920078347,59.70877434658227,59.42292314458268,56.77084280692034
115,58.7377671187869,58.617110588523914,59.729173815245105,60.01440687306627,59.88233807588605,59.60645956086488,56.9938212351317
116,58.93882925799576,58.795587497883865,59.88192580723652,60.20901610448326,60.04931018320709,59.755497543388465,57.15581645672984
117,59.107639649798806,58.96248935200339,60.055227301936334,60.36138227939153,60.21397607991281,59.907068054138456,57.34136498857529
118,59.28611119365709,59.14303216427819,60.20744895484089,60.51982413473985,60.36629413684917,60.0758975873786,57.52683819162153
119,59.45404227595744,59.284381355819775,60.36750549365878,60.676446370912885,60.527829747927576,60.220440189545485,57.70129055160669
120,59.622921436155195,59.4224829326898,60.51551218880408,60.83832054819114,60.67419176184982,60.397169105667125,57.881978244201285
121,59.799239830692116,59.59806359490245,60.67318643708214,61.02073345942093,60.8468640913424,60.5503758915559,58.03901534105095
122,59.97029225081267,59.751250125881384,60.83001190290221,61.166159565653714,60.99147724200949,60.707066334309964,58.216133698581686
123,60.130526963491384,59.89497902982008,60.991598905222716,61.321421050181605,61.15933345461621,60.8434036094707,58.405298221559356
124,60.28522198622038,60.0546032778067,61.132197793293884,61.4660090800466,61.3069754948115,60.99499518011077,58.56206031295652
125,60.44044221816263,60.18964548119923,61.299043983627726,61.602657361296835,61.45821048186581,61.128288006537346,58.73492553214879
126,60.60798829447938,60.34339941191626,61.44485470815867,61.74903792792247,61.60302432459308,61.27052969849701,58.88177023952825
127,60.79875985849556,60.507220252551335,61.57466751967977,61.89131404480227,61.758131651342595,61.4042983240486,59.05579840845344
128,60.950388698155294,60.653168318176924,61.71174831778787,62.033662038962596,61.90316712347762,61.55112336158123,59.211577982716975
129,61.140154080666804,60.79670742630198,61.86242090126249,62.18282634442372,62.041443107535024,61.68253646022244,59.38508683980874
130,61.28080191040051,60.912423194133815,62.01002276836262,62.32687365087639,62.187701878935584,61.81109646962498,59.54299271806173
131,61.42321182451911,61.0403558893034,62.151569462721525,62.448660091745154,62.3308170928799,61.94742719547482,59.6936592175409
132,61.58435013793268,61.1598876588397,62.29407657565551,62.59140553338928,62.45392553085155,62.09038318264523,59.850636365013756
133,61.739185980230815,61.31335358469193,62.45719405112395,62.751720418689516,62.58439711268299,62.22730905218222,59.98520638642589
134,61.89571093580044,61.4544381764231,62.59959790662247,62.88161960950127,62.72551740616387,62.355884575505435,60.127961061191264
135,62.047658411483816,61.60093848355589,62.74330406038822,63.00455811268658,62.85962304908756,62.50188096351808,60.262046398994954
136,62.18037911775494,61.741259471150606,62.89172873390524,63.136573339758954,62.989618264957535,62.649839560881595,60.402018529274315
137,62.30715936687757,61.88950753819962,63.024521252292416,63.277567124836665,63.12825451387347,62.771051104095065,60.517320115972204
138,62.449254144365774,62.01582399430112,63.16337972888814,63.4297116935138,63.26556289300094,62.90614544381568,60.65983345438725
139,62.59833923802924,62.16049187348659,63.2973822277855,63.54740872688274,63.42295129781409,63.04618141732829,60.78258247454175
140,62.73646880537308,62.29462529498943,63.418094586805864,63.685777759877,63.55191857710672,63.17876127963462,60.931620200093896
141,62.86541371011625,62.44102763919788,63.5566090821805,63.82308321320736,63.69256790267908,63.309851724755966,61.05295449711236
142,62.99500462237281,62.579630744963296,63.69542996315233,63.94657472133716,63.83898078857284,63.44217341844777,61.16470780507832
143,63.12929830850803,62.72993349644688,63.82072143408517,64.09288752637943,63.95813419236882,63.57082752337267,61.28318389765861
