Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.28848289359811863,0.0,0.0,0.0,0.0,0.0
7,0.0,0.9199681732521683,0.0,0.0,0.0,0.0,0.0
8,0.0,1.263649047283283,0.07928242242744386,0.0,0.0,0.0,0.0
9,0.0,1.6093664544731392,0.4166198269591913,0.0,0.0,0.0,0.0
10,0.0,1.7814333937666909,0.4166198269591913,0.34056122488376406,0.28108290396251,0.0,0.0
11,0.0,2.4426846553966657,0.6236633112089752,0.34056122488376406,0.28108290396251,0.0,0.0
12,0.0,3.5796718885036243,0.6236633112089752,0.34056122488376406,0.37891856866588125,0.0,0.0
13,0.0,4.873934650236561,0.9176740244669022,0.9367825604657957,0.6546625377254636,0.0,0.0
14,0.2921050244066851,5.182524863573015,1.1372571200315063,0.9367825604657957,0.6546625377254636,0.5349988993601096,0.0
15,0.2921050244066851,5.445723422837357,1.3562354553005893,1.2312758676118998,0.6546625377254636,0.8625459315554658,0.26594220690907056
16,0.2921050244066851,6.409837159845452,1.9691013578060899,1.543274142416565,0.685449409598571,1.9515086666790633,0.6982757552667357
17,0.2921050244066851,7.064520292274631,2.4627889517431325,1.543274142416565,1.026686117737193,2.4376567392386015,1.2144684425433854
18,0.7128935662588181,7.969652951705481,2.588060284506597,1.6627343259328284,1.5155208997259701,3.0026146785303496,1.9421935718798053
19,0.7128935662588181,8.482413545441043,3.0729658773734334,2.300334110521265,2.4682806120845187,3.999285539421137,1.942593503054809
