Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize700//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize800//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize900//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize1000//
0,0.6504345553325972,0.16654514692045827,0.11926696643716758,0.3667672883866375,1.021998319119154,0.4711626920086869,0.7110676198334361,1.1111144456432123,1.1459225730451152,1.681856458650229,1.6141572861524078
1,0.6504345553325972,1.9391681663093001,0.11926696643716758,0.3667672883866375,1.021998319119154,0.4711626920086869,0.7110676198334361,1.1111144456432123,1.1459225730451152,1.681856458650229,1.6141572861524078
2,0.6504345553325972,2.7761769815959525,1.220618002556416,0.3667672883866375,1.021998319119154,0.4711626920086869,0.7110676198334361,1.1111144456432123,1.1459225730451152,1.681856458650229,1.6141572861524078
3,0.6504345553325972,4.042051928641439,2.189105301923519,1.4970692937317738,1.021998319119154,0.4711626920086869,0.7110676198334361,1.1111144456432123,1.1459225730451152,1.681856458650229,1.6141572861524078
4,0.6504345553325972,5.976648165260209,3.0187970928273202,1.902735938442236,1.6366494724488165,0.4711626920086869,0.7110676198334361,1.1111144456432123,1.1459225730451152,1.681856458650229,1.6141572861524078
5,0.6504345553325972,8.09391001746906,4.506690076559743,2.9223120456460414,2.1605535606925805,0.9546123399786144,0.7110676198334361,1.1111144456432123,1.1459225730451152,1.681856458650229,1.6141572861524078
6,1.2976807567251167,10.472096007805689,6.0909105657134806,3.948809330653906,2.7345177743615587,1.2542925044250306,1.1894832467665095,1.1111144456432123,1.1459225730451152,1.681856458650229,1.6141572861524078
7,1.5211020056609295,12.879612336885376,8.622546765219068,5.3166920623796,3.50372182914771,2.0919942965152547,1.6702171083693744,1.2278772624719922,1.1459225730451152,1.681856458650229,1.6141572861524078
8,1.8904370399387977,17.927377148567963,12.304991855720315,7.858874296287937,5.6484052069945765,3.44070403622996,1.7750569591883714,1.636011134592711,1.4138479240358162,1.681856458650229,1.6141572861524078
9,2.336436310501766,21.5225879567568,15.495360414921722,11.282653729224515,7.95604231899273,4.964878811930342,2.1371444586800474,2.1883878996515382,1.5020188639465684,1.9128691896672392,1.6141572861524078
10,3.304302949881662,25.05479054803603,20.030593518133898,14.78060595049224,9.882068548371437,7.6883311111280825,2.9052428279644023,3.1608231723840285,1.857608581207551,2.2122261180901304,1.3599093108999745
11,4.353883616192255,29.191679240340935,23.607370599580317,18.719949239059183,13.258281982476964,10.624237272198808,4.725859677630376,4.976434779224704,2.9686457320807387,2.6567119697222754,1.4961185925293115
12,6.349817659127667,32.91085991316518,27.785584681815166,22.479253710280872,16.873621111859773,14.074462304567668,6.302155420872839,7.542702945224606,4.68312104741459,3.376916902669269,1.7656943144352355
13,7.853581157091829,37.109787773673446,32.79236667518172,26.93694175997753,20.99513913740761,17.31953609819719,7.952412756835968,9.762245834697916,6.379323168101292,4.293840500438499,3.0343979894237063
14,10.123844426354072,41.30592429529851,36.5819120093239,31.744261649521665,25.263963997888535,22.17869751246103,10.48957343803504,12.406355915987376,8.807249138467823,6.49368646258617,4.486646889349521
15,12.785216152357574,45.3394998188242,41.322575227642574,36.4091224547687,30.13903157887654,27.45911637778768,12.905920881697364,16.28068552916112,11.565180529874125,8.996029170794039,6.729107401509041
16,16.382712863760272,49.57734778729306,44.82469750411833,41.03656611735961,34.095202631320696,31.060791432985337,15.497397106991032,20.158750906006667,15.715688848676907,11.780964629274811,9.424626501883054
17,20.343318183281674,52.84101837711872,49.01460242502316,45.44297218975795,38.5228973245637,35.48131851266006,19.49048223307649,25.648060921949327,19.990934675003217,15.503794781163807,13.175395360066569
18,24.326716195570274,55.67923663334332,52.39159121989183,49.036976481801354,43.13095815183711,39.3881465880823,23.256396363477393,29.54933085534862,24.74005890148563,19.834393024265033,16.092154094573743
19,28.01010953551808,58.859379198989316,55.62956298091814,52.66951808309845,47.543545343339744,43.2888846132113,27.841562060009363,35.29752148095097,29.35101193806976,24.69215334797245,20.211782811222132
20,31.580375010178628,61.52035979735187,58.75818312580724,56.19071128780756,51.322757868639634,47.674397977585585,31.20809903311852,40.36647238462215,33.91614613631848,29.777536844401904,25.292271644819913
21,35.21588150982155,64.24152884920714,61.98259637339712,59.071420982732135,55.01959920020924,51.78671893690806,34.317812343181735,44.493267044557804,38.55438023154696,34.2604268288914,29.899261598762344
22,38.671180126166874,66.51175893919246,64.59368547039819,61.98723121851288,57.92782829371836,55.40461856971083,37.997696810191535,48.034133890363776,42.34364852505009,38.51153331670303,33.988529571254105
23,41.95165685592822,68.64058939954222,67.12416261866038,64.77579770786338,60.79745894446618,58.66710519738394,41.46805084542997,52.009724369079976,46.003963415304874,42.41231294674844,38.4701450708285
24,45.07686040516674,70.47330229456763,69.14069709424899,67.15478831799315,63.355920380568854,61.89283916135494,45.44398117573011,55.74853400293297,50.1738529028152,46.72858638437374,42.324739192631945
25,48.39983251259616,72.09626212706452,71.09552757137384,69.15089032559165,65.82367012800754,64.70938570123134,49.03075126140675,58.64251550610092,53.70419911568853,50.398611738682476,47.07619407020603
26,51.80807284839094,73.36051702430144,72.93834235911955,71.30623607550423,68.1796067722068,67.15536193700069,52.63726490540475,61.539660487707835,57.259349832857986,54.064792709368206,50.930737098416124
27,54.67074377142729,74.57718371398458,74.7228056342728,73.22491346985636,70.41607648958563,69.51949062268956,55.70250230252755,64.17365140680991,60.3486635147558,57.53777793670909,54.38535340996364
28,57.39636918063829,75.64464720868838,76.18699156442248,75.01108696502511,72.39168547199904,71.65950279374766,58.510392300446526,66.75337008613532,63.15352831929539,60.945258966145246,57.61298634156141
29,60.36527384129793,76.54253395909889,77.5472141628917,76.60681264831875,74.27198666336963,73.55342748482512,61.00515933682965,68.94603181168534,65.70865252081491,63.782711154411246,60.80204487442767
30,62.92916743817184,77.43882448291586,78.77875598906267,78.08237470771044,75.98048164915302,75.25976509621916,63.35821892352039,70.8908012556412,68.15522123843688,65.98461171101694,63.58624144374922
31,65.20938449922073,78.37192764906462,80.02584739561271,79.31522611104974,77.52229571362389,76.86555077635845,65.75663222183476,72.87278803605426,70.36167170537624,68.56027520070323,66.39826882807488
32,67.48382836078095,79.14802832577959,81.05688045616985,80.57356228585,78.91070400851497,78.26508580769348,67.66757392332688,74.70482456364351,72.41338620272761,70.92468985789839,68.70757788240252
33,69.3787616523274,79.87890645336735,82.1245848953408,81.70642442274905,80.1813831164085,79.59414441140015,69.87101477359792,76.32209740344877,74.28564793470377,72.88283763391878,70.79119766556627
34,71.22163419131246,80.5647128162516,82.96506436901926,82.70397218796924,81.3543475029842,80.917544630456,71.51888320715359,77.90856796724073,76.04561175428219,74.8444660628057,72.84262674985575
35,73.00421630458762,81.19640139520946,83.77414377249485,83.60904722218038,82.42623065081935,82.06099871883566,73.22586219213015,79.31343615822104,77.62014202005146,76.49065253777898,74.71258535863807
36,74.50010991056637,81.6917560739069,84.50824039018569,84.3798871411548,83.37655456477574,83.07821565909119,74.75963810068644,80.60883987082678,78.96606184818572,77.96927819910059,76.29009248682075
37,76.01118011848112,82.31200009958647,85.16996045827915,85.11014205041143,84.26741113634772,84.0027795677908,76.17312819056447,81.76579080783007,80.30633473909232,79.37759816217667,77.75668811987431
38,77.30164119788697,82.79176549714089,85.77335059075007,85.83258313399119,85.04374590432816,84.87925674744132,77.46101870764802,82.82137405837665,81.45378782090597,80.77137469565211,79.19345048743347
39,78.55330597073038,83.20598017438319,86.366695940222,86.52062525048262,85.81922417855807,85.65911298620246,78.68151551473225,83.75687286021765,82.55371139528489,81.98946109519873,80.61320039981186
40,79.8186288062746,83.6499635429297,86.88729667216451,87.07581295287494,86.46271994007515,86.41389022331855,79.92899859902735,84.6069605085964,83.53840537723154,83.01861454994463,81.75215653333096
41,80.91678698172073,84.04010211318986,87.3485536505715,87.70876924853359,87.11157730602909,87.06543265780704,80.9481380291704,85.45854404916446,84.39471427850131,83.99405556171159,82.77795218722306
42,81.94480231541907,84.45038447153972,87.80156267883865,88.21571941588766,87.72027818951253,87.6566418471403,81.96419578892203,86.20554872843306,85.20551513787932,84.94647751943073,83.7358103301315
43,82.9687637548581,84.83519814586232,88.24952252519392,88.68982675924951,88.30191995856755,88.2560292037454,82.9175805018105,86.88018452616653,85.9707747047376,85.74503533686303,84.57142227642876
44,83.85639563893062,85.13769057234235,88.58796079177102,89.1295120152108,88.79021707854771,88.76594489843053,83.76936349431516,87.49822413471182,86.67730866296891,86.5276265268198,85.41131376855066
