Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//
0,0.01774472208508711,0.0,7.85593080533228E-4,0.035485920362333084,0.06898897986407473,0.01190236105097946,0.19539057211645935
1,0.01774472208508711,0.09117105495293185,7.85593080533228E-4,0.035485920362333084,0.06898897986407473,0.01190236105097946,0.19539057211645935
2,0.01774472208508711,0.4807148404008311,0.030048562455884432,0.035485920362333084,0.06898897986407473,0.01190236105097946,0.19539057211645935
3,0.31525672472197064,1.07395769862966,0.10901028610057788,0.3483128334652659,0.06898897986407473,0.01190236105097946,0.19539057211645935
4,0.506818803248315,2.0188020454440143,0.6199931143822397,0.5297377698722376,0.13437079278360153,0.01190236105097946,0.19539057211645935
5,1.0715618462722476,3.850246189331083,1.0774318269403647,0.8449176089064352,0.20250833046716998,0.04613783373480849,0.19539057211645935
6,1.4469173528226127,6.187870748479146,2.147608591059225,1.3210424649519195,0.3727672577218172,0.2644906985922547,0.41251569635750746
7,2.6883517593938255,8.188220854960981,4.000116480044823,2.3238699994320102,1.0907869452706982,0.45381637337433667,0.45407896277689686
8,3.73238477321976,10.632397708000829,5.786167460294285,3.5336223301325687,1.956072876397585,0.9476057166373872,0.6390381028432625
9,5.167109286509507,13.015707545623211,7.831999032717715,5.26002625328558,3.222189664755952,1.5451240475691592,0.8004265085363983
10,7.663248396974702,14.957270527399544,10.872907026486883,6.825587158683597,4.752490984460794,2.9450943590911702,1.2657779061115915
11,9.942160791226998,17.13718966807956,13.044228344698963,8.979833664698251,6.817694817175428,4.388512086850225,1.7902241772967387
12,12.499318900163177,18.84337889370044,15.435220915352845,11.47611425068989,8.489656367788502,6.113486372820438,2.688303590860518
13,14.764123870498397,20.814600062866365,16.936022490400283,13.43410755514678,10.331793478533443,8.283511975610459,3.654529872003372
14,16.927166172190965,22.450781601551864,19.101727012761977,15.43332914053582,12.910588598274087,11.067751381966511,5.438780689667005
15,18.25585613821067,24.593660223259736,20.62802644169264,18.2820577059773,14.829552731813472,12.927248844185202,7.283956567777309
16,20.59170282077857,26.893178557897933,22.320657452193654,20.21790432704689,16.742960601425086,14.946142074848668,9.09302089021254
17,22.83585745867593,28.240910481893184,24.50397502824286,21.364458984891083,17.968748636314736,17.05798126776919,11.295377669106605
18,24.145938151592613,29.645504637422203,26.491400378148466,22.531424632831325,20.398307746832554,19.26758943182659,13.32289379297689
19,25.73438435545982,31.394347709333548,27.377242427513103,24.314499076832274,21.98940630058693,20.58818001994915,15.318904562421826
20,26.912430255609447,33.06245584115273,29.024344784914664,25.61314048122239,23.62055631956144,22.1260426799399,17.201036783986375
21,28.465646743472085,34.32868330405615,30.531628720924235,26.689261528255038,25.255421206479276,23.946221165118335,19.027168466709483
22,29.197878868021643,36.02036973963932,31.33511910779093,28.087544317060452,26.774647294097075,26.123967156513505,20.18522606713454
23,30.535022932702848,36.668106739902186,32.61677994992163,29.642459654217788,27.895652629821033,27.820955354406046,21.260828324015524
24,31.747611887398037,37.78589301662773,34.05505904420272,31.060712370595766,29.348726974859897,28.916605991585666,22.485240107526632
25,33.20479271652352,38.9171602123339,35.37097179931426,32.49584703380579,31.00483641436175,30.3420161397819,24.1248579440793
26,34.54738311215095,40.32251195212308,36.69930914619462,33.67077870770596,32.182218288463936,31.433773931881966,25.397453204785453
27,35.82172053256251,41.15634623282367,37.621957830037836,34.87010724895835,33.36771219260998,33.179114343600936,26.669382092802408
28,36.73425667956499,42.428981196644415,38.20702951591327,36.08150713039575,34.62015446280798,34.63787741877268,28.013203980173728
29,37.29570258571197,43.09601422509205,38.98769749358804,37.42712456094439,35.54354746208775,36.199252450156635,28.886706289062886
30,38.65663652199074,44.280822558321205,40.31942010021517,38.26866274548915,36.59736198915347,36.8470204239926,29.685115144450812
