Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize700//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize800//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize900//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize1000//
0,3.4890454632266894,1.5902568601538924,2.116399805806479,3.269318440339148,4.07626365517609,4.276562776378042,4.795723666291739,5.460782021283112,5.701765541080691,6.125869726199671,6.8368151090525675
1,3.4890454632266894,10.887416917845247,2.116399805806479,3.269318440339148,4.07626365517609,4.276562776378042,4.795723666291739,5.460782021283112,5.701765541080691,6.125869726199671,6.8368151090525675
2,3.4890454632266894,18.072651556933803,7.053906257862902,3.269318440339148,4.07626365517609,4.276562776378042,4.795723666291739,5.460782021283112,5.701765541080691,6.125869726199671,6.8368151090525675
3,6.839101000150976,23.695714285548807,13.248979279448287,7.76834982687321,4.07626365517609,4.276562776378042,4.795723666291739,5.460782021283112,5.701765541080691,6.125869726199671,6.8368151090525675
4,13.041223124751076,27.964905094465024,20.144954125753408,12.961214387250475,6.866799105315727,4.276562776378042,4.795723666291739,5.460782021283112,5.701765541080691,6.125869726199671,6.8368151090525675
5,18.160843421947206,32.3378851046952,24.812098493466365,18.91654704007675,11.816527838796132,6.453098499111648,4.815175615183048,5.460782021283112,5.701765541080691,6.125869726199671,6.8368151090525675
6,23.51164554264608,35.45019118102213,29.08840433474878,23.260206340671154,17.538957826680356,11.558122760667212,6.615867369208322,5.460782021283112,5.701765541080691,6.125869726199671,6.8368151090525675
7,28.40759692924657,38.852773208781876,33.479529222258485,27.937200962768067,22.869562428360506,16.376963579542878,10.109028117840243,7.646197893684007,5.701765541080691,6.125869726199671,6.8368151090525675
8,32.792572031737144,41.939196853453765,37.399149413635634,32.879651369305485,28.517451425024483,20.907640763230265,15.17121107340185,12.030833966166783,7.765559378782388,6.125869726199671,6.8368151090525675
9,36.204849290020164,44.48576248459771,40.6542701150399,36.988780640028885,32.95196342281557,26.343779667322043,19.00873039536909,16.189152097413427,11.844546731467572,7.604969174380294,6.8368151090525675
10,39.824786741312806,46.86401720324137,43.93240260181935,40.91728621434559,36.46216540013376,30.120278850604727,22.66262119231812,21.404228483348724,16.740389112424072,12.048461941078823,8.364338608107413
