Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,3.083797244987052E-4,0.0,0.0,0.0
16,0.0,0.0,0.0,3.1417816579199496E-4,7.498540736170951E-5,0.0,0.0
17,0.0,0.0,0.0,3.1417816579199507E-4,7.498540736170952E-5,0.0,0.0
18,8.694564232721984E-7,0.0,4.334771007159767E-4,0.008941346760733255,7.498540736170955E-5,3.0002553576569937E-4,0.0
19,8.694564232721984E-7,0.0,0.0010118452402420263,0.008992630828173701,7.498540736170952E-5,3.000255357656995E-4,0.0
20,7.301088204646907E-4,4.2572725108347E-5,0.0010693972437273488,0.009206726162649729,2.093386181075532E-4,3.0002553576569937E-4,0.0
21,0.0018349897706028194,3.062611473205193E-4,0.0015501829668070617,0.009215994087859662,1.3435321074584363E-4,3.86275907507036E-4,1.1231862821337546E-4
22,0.002537092937498263,0.00883267024413973,0.004811003727575911,0.00962626804420914,4.567424699112778E-4,5.905679820970443E-4,1.1231862821337549E-4
