Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//
0,55.69464513871698,47.6767179303259,53.402948175370405,56.3101670207119,58.07145613450052,59.66446121483246,60.623368091481346
1,55.69464513871698,49.93628871924457,53.402948175370405,56.3101670207119,58.07145613450052,59.66446121483246,60.623368091481346
2,55.69464513871698,50.03548626958313,53.23829715008146,56.3101670207119,58.07145613450052,59.66446121483246,60.623368091481346
3,54.810757469973915,49.09986663235162,52.84957589760859,55.51001297266607,58.07145613450052,59.66446121483246,60.623368091481346
4,53.990873878631774,50.273251454072465,52.140219099254715,54.235495382262386,56.517938949874846,59.66446121483246,60.623368091481346
5,53.00075617740858,51.932091427767716,52.69484464607914,53.02271168289091,55.3971586928652,58.207353217691804,60.59412213417795
6,53.57749349436466,53.56484457113708,54.01224340164325,52.88623925089762,54.591974715549185,57.14313156300682,59.418518400175216
7,54.78125288835369,55.29050240376221,55.60761268275572,54.009346723123755,54.62208099427915,55.89595975802379,58.047893882011905
8,56.27974401763905,56.87540063853075,57.42690463809035,55.84556412687329,55.68327471305391,55.746139180677446,56.90344326097221
9,57.931951352317746,58.748562049440956,59.55936251200391,58.12925552289007,56.99153748884637,56.172609304123164,56.81962958979134
10,59.87892726231547,60.57083121041995,61.014190778594546,60.04588110465535,58.68523679328392,57.85278476051746,57.272405424044095
11,61.545595913531635,62.1994498926043,62.39842139833499,62.00332820137988,60.628291642983456,59.36808714444556,58.0309605933898
12,63.31628049088957,63.98944759266333,63.914876607742144,63.488698609286345,62.227486903343745,60.87719303654433,58.84614158161212
13,64.7069952562956,65.34547168299058,65.28968500497447,64.95523256793349,64.0441160455087,62.290709069295325,60.34295607466822
14,66.15335238448199,66.620903328709,66.6130093618869,66.51677661080075,65.45428137572317,63.85210844493061,61.79152564388228
15,67.45036392630585,67.85138703412579,67.90034716840115,67.77815061625144,66.9789147797353,65.45266684717497,62.96976358767692
16,68.74535353256786,68.94574491383948,69.02308544434811,69.182206174027,68.34713400524616,66.85637108966021,64.33931543879238
17,69.91656140062524,69.9380823210594,70.08323655638189,70.38436625712997,69.65839797808366,68.37262883900908,65.62428749349594
18,70.84320327271637,70.79453558002237,71.12139708395073,71.41605788096727,70.76109262736145,69.60656278661834,66.57832247055433
19,71.92742765732697,71.60995759803843,72.1257135664867,72.2223980670505,71.68166554657967,70.73761910392128,67.6519939688967
20,72.80163250233295,72.2649849295428,72.87599612719937,73.27024269286699,72.59278305229114,71.71998406685415,68.60121314088099
21,73.635271606472,72.94192168078995,73.61092335309299,73.96738830644524,73.2801113609062,72.7049108844499,69.53191058033124
22,74.43628419440068,73.53613088899402,74.31724272942937,74.82136171682501,74.05719358489591,73.48516977269175,70.566354674622
23,75.2048779286957,74.21260998141013,75.06140924654254,75.58387546152767,74.69606301927536,74.28776307020557,71.53492296000013
24,75.88980556471738,74.73956951247774,75.67962813123611,76.14554397962023,75.37979563197382,75.04466716366036,72.26233255850721
25,76.51235550775007,75.29492643639848,76.21012309070369,76.65054071589219,76.01760461722111,75.65978059445939,72.98748852144394
26,77.13067444908154,75.87409638447669,76.70107294009388,77.18989191518995,76.59738981386043,76.38616890638714,73.69164832026522
27,77.6211871250826,76.41114632604265,77.22766323626185,77.61952445520329,77.16962521224814,76.87751014181495,74.3456127521494
28,78.07863529655482,76.81507084753505,77.80381365574522,78.08216615347646,77.6933539925312,77.30852571735086,74.99543121246309
29,78.56446780203454,77.21951384679738,78.20034007319701,78.56519690400337,78.19683047300953,77.75241851057724,75.62643740268906
30,78.98867792834642,77.61949810746962,78.61775147733736,79.05926765502495,78.66576478784725,78.25146497263128,76.19910073180682
31,79.36311218319656,77.97492025686931,79.00729436278644,79.399984184944,79.09430655218748,78.69471482302757,76.7105287660439
32,79.7232700169402,78.28920588154526,79.390618081898,79.77501692384148,79.53753978928518,79.07704771014117,77.2168028054914
33,80.08769312316615,78.66285518071726,79.68886731769558,80.08792038213359,79.93891327598493,79.4451335720513,77.75938629713771
34,80.40496210536054,79.03154889377055,79.99276341460775,80.38636307788674,80.28929522406558,79.81514980352739,78.21507875576111
35,80.69843288956696,79.35695646793937,80.31852421584932,80.70225450764374,80.60501242933321,80.15645156443814,78.61223363276736
36,81.0118768333187,79.63127692339579,80.62794076420585,80.96499724234957,80.93782009653698,80.47586908376809,79.03042381284092
37,81.28694462495682,79.9503223193878,80.98330430535094,81.27785443204685,81.24021382736993,80.79064241948318,79.38646200207855
38,81.55704018824177,80.2190565600313,81.24294315311961,81.55298480714336,81.4830790721414,81.13106526792183,79.71048539792054
39,81.83607150313779,80.49138292779179,81.50868024090028,81.80098132169617,81.74720290745636,81.4067882147916,80.00720837508045
40,82.13778570951456,80.78209607723356,81.7537330816792,82.05801345400846,82.00318983782591,81.65128441017433,80.33237403915838
41,82.3148256992852,81.0119440182126,82.02951740603838,82.29146746307023,82.2843554107811,81.9559366463609,80.61849963995684
42,82.52929114052998,81.27932079542714,82.22614568255669,82.51836285344076,82.52106755458401,82.26918187490853,80.97721718935574
43,82.7146430574993,81.48859888920448,82.47452655929271,82.74065255846787,82.76162072952826,82.48654829443095,81.25231283466923
44,82.91466263437344,81.75629052387181,82.66760180841506,82.98643031031868,82.98450567864839,82.75075377306347,81.4779314662666
45,83.13061955302798,81.98792561064242,82.89488176636398,83.20749340992434,83.21677868457792,82.9361286248265,81.6856625353547
46,83.35807163379975,82.11219796108318,83.10375518808587,83.42368673206724,83.41060509633829,83.12824055503181,81.92845352862899
47,83.53590102842784,82.28285856817547,83.29679961397393,83.6055667282832,83.6063341365703,83.32251949150618,82.12023702591807
48,83.71763015687168,82.47524747829219,83.4897944359281,83.79743497643116,83.82326651394168,83.53199463194171,82.29468590089563
49,83.89431889831077,82.64060836836721,83.65411394694368,83.95638835371884,83.99268775485488,83.70199987486353,82.52221530629078
50,84.07613469932043,82.80542342797204,83.7824811369017,84.15560726717986,84.17720343089032,83.89108170493921,82.7033377663777
51,84.24253206324606,82.90298118099557,83.9629859449263,84.29114124674065,84.35406886753476,84.06846783312403,82.8959839256415
52,84.38532666548777,83.07809299543264,84.10901535906177,84.46101605409788,84.48030057508348,84.22994248748334,83.0841206437086
53,84.54000158432233,83.18233676904045,84.26517737569695,84.59763963019446,84.61872752330893,84.42420368624968,83.26044210410883
54,84.67903589780599,83.33097079928302,84.40500091234041,84.73723863386077,84.76893298892864,84.57327624288283,83.43564369740749
55,84.80665844979605,83.46080613528206,84.57600309932153,84.88242359383557,84.9340802003774,84.7096506541688,83.60713502080769
56,84.94812778612838,83.58191489007527,84.71443059898384,85.0407788278597,85.08637565377973,84.8602093781828,83.80961786229216
57,85.11431466727291,83.7198233645009,84.80952585546238,85.20932171767633,85.22662436846925,84.98628964080038,84.00076039136
58,85.27152175006137,83.83533198013994,84.94582855395515,85.34067760594193,85.35504844837945,85.16102781648982,84.14789482286618
59,85.37954878724362,83.94974554057642,85.08317496285338,85.48150094478954,85.49376957454002,85.30709659386807,84.37034574190957
60,85.51197530946203,84.06930630318301,85.24512782011884,85.60170949921812,85.6440337993266,85.43536258965935,84.55545204436456
61,85.64994982487472,84.20484383605934,85.33328620241663,85.74403807866153,85.78285302330131,85.55558111696554,84.67695667237477
62,85.7653027617769,84.34554725424059,85.44901087979918,85.84386529744225,85.93314086012224,85.6904793895013,84.80150437050195
63,85.88575485706359,84.49531951737723,85.59320796204175,85.96289959253679,86.06357665182217,85.82537502207245,84.91625600201587
64,86.02567801828442,84.61933421021331,85.68580670148138,86.11171443083857,86.18288786279054,85.94830964870943,85.02528678106538
65,86.14316910453475,84.72372634016719,85.8150346293304,86.22165806216074,86.33722485676249,86.06046866430948,85.14666161737108
66,86.26200431900243,84.82784525647894,85.9319777039063,86.35390248163573,86.45493479725835,86.18219017566491,85.30082471008855
67,86.39401845753491,84.92156708765616,86.04419553269042,86.46759347487347,86.58299304823707,86.30592162883087,85.40569554756757
68,86.54175051486558,85.03596722017838,86.16507249594655,86.56523089871254,86.70294469224437,86.43645282735307,85.53323659418172
69,86.64100341348993,85.17770663839916,86.26155846237678,86.66480146505909,86.82542923134594,86.54228925107178,85.64736247314292
70,86.71788223536431,85.27802122595037,86.34893150993348,86.77755571939173,86.9292190086501,86.64532963034449,85.77929877223991
71,86.79909971322823,85.38492412061238,86.47380186870728,86.88282929345608,87.04701156638475,86.7611248561101,85.86308539648246
72,86.89475146189592,85.48912039588059,86.57880804775958,86.98636936254056,87.16375107317299,86.87974346703741,85.95613116062371
73,86.9899235501576,85.59396277454078,86.6687341209813,87.1069601036831,87.28376972873608,87.00307097455975,86.04523737343008
74,87.10500620039193,85.66960367421837,86.77857205569399,87.20068572961749,87.38869366962965,87.11393357645848,86.15712926993898
75,87.20497509060384,85.73177066622812,86.88249595289238,87.28391692077552,87.50417818249512,87.22786204016067,86.29678335044306
76,87.29467613948005,85.81793338137648,86.9829200743352,87.34865559343399,87.60694170342742,87.32690709127979,86.38979498828587
77,87.40471738842518,85.92009474363002,87.07891116286395,87.42513890772851,87.71396514083091,87.42863379786412,86.45944936536323
78,87.50799311907492,86.00456453986281,87.16695608381477,87.5084211815917,87.82327820570846,87.52841676111409,86.55454378228254
79,87.60131922786508,86.0735498923165,87.26208139871501,87.61801773398172,87.91638565266346,87.65215418725036,86.66630272372448
80,87.70139375446993,86.1617895471706,87.37101100526993,87.70950278533265,88.0040741630803,87.75614561086023,86.7542209970407
81,87.78377466555204,86.24000309940949,87.46074924230115,87.79258114136226,88.11211903737733,87.86711591736322,86.86951013425882
82,87.85352576589734,86.32680412457293,87.54514873082087,87.88929605655588,88.19331875907469,87.96958791574625,86.95975927078746
83,87.96415631537383,86.4142232372905,87.63054823853483,87.98136878546217,88.27623320484892,88.06679476707771,87.05467508021754
84,88.07142463830341,86.49683497179515,87.72484515927994,88.06890639305418,88.34977110003494,88.14899359657639,87.1402490349168
85,88.15748569281924,86.58101639953355,87.82781847861584,88.16602331738451,88.44154366899198,88.24522898353794,87.22790044453309
86,88.23987880374219,86.6580907380933,87.91552164551963,88.24927260700161,88.51667142935491,88.33701769907377,87.31101958231692
87,88.35347081992788,86.71984977577573,88.00996015518761,88.30685714413843,88.59160090525243,88.4303016475791,87.40256224291379
88,88.42310303664692,86.77039882939683,88.09969154042,88.37783041412999,88.67131089033775,88.52322325131531,87.4846203189065
89,88.50881489437623,86.8565475017114,88.18454086119901,88.47121345519524,88.76704613301301,88.59309088006312,87.5692643660677
90,88.61101862025146,86.91124428768042,88.27793761062156,88.55523240433862,88.84528970298302,88.67614155653928,87.65672493701263
91,88.682941868072,86.9840950098709,88.37319941891076,88.63121907367201,88.92934870863617,88.76381035754687,87.73126073282434
92,88.76885693829043,87.05991036377411,88.46382015399946,88.72543544746769,89.01774523668615,88.84089638316757,87.79588724874861
93,88.86148819163247,87.11003178642315,88.54708731102188,88.79312984923982,89.09792354530627,88.91584466247897,87.88855845159101
94,88.94891245086326,87.16718121952051,88.62121290259961,88.89061139085325,89.1802268458646,89.00627975171008,87.9617576892523
95,89.02493518540538,87.21289933905823,88.69553891280371,88.9799904495305,89.24577239991598,89.08318411440959,88.03394275465335
96,89.09525161526561,87.26931712579578,88.7648870809261,89.06722963426952,89.32265758837177,89.17231675882603,88.09174056057851
97,89.16123445828133,87.33363029372107,88.83236391401964,89.15057157513041,89.4028328744091,89.25835245656626,88.15001335578852
98,89.23012053832161,87.37819407268654,88.92068388531484,89.23757064947817,89.48551034206307,89.31986897152889,88.23498716458181
99,89.31074369982089,87.45450673677446,88.9976244224502,89.34552841801137,89.56222307730339,89.39874643549537,88.31306525895585
100,89.38915728189556,87.48965114997344,89.07485424817631,89.42385746867515,89.63373291436375,89.48131870336722,88.38528660661959
101,89.4747312097916,87.5484425535268,89.12629427142991,89.48178736388748,89.72025412244719,89.54290849538883,88.46514253138123
102,89.54804035644064,87.61074821779702,89.18986407863646,89.55024466696861,89.79741700870177,89.64519869178878,88.53486442417105
103,89.62426167107824,87.6730692104657,89.25867053702204,89.61601860193416,89.89017267903246,89.72512319939949,88.60870177091832
104,89.69973213604355,87.73309788843936,89.31992294657398,89.70022593730461,89.96047197588848,89.80564972698559,88.66973684078475
105,89.78253336828392,87.77444856265302,89.38639827302649,89.76522387714961,90.03168396995619,89.87836402795199,88.73621513348102
106,89.85350321867045,87.81690264232506,89.45586669042937,89.83547138696626,90.10289808449585,89.95572575999176,88.82285877238256
107,89.91245091023399,87.86623072540392,89.5307833619813,89.90354375696839,90.1737519308529,90.0481399943885,88.89908735112542
108,89.98868501665754,87.91391249299902,89.61075634080639,89.96409736882703,90.23830849142527,90.12398341189964,88.96642996708282
109,90.05360943478986,87.94244755041746,89.67301384656247,90.03518480489177,90.28222247015448,90.18150538707546,89.04223055862616
110,90.11892378917986,88.01960839540516,89.73807252896658,90.1170208498914,90.33073040602038,90.25109138894791,89.1261575165712
111,90.18289472463476,88.09285518629916,89.81068600641925,90.17334041958843,90.38154025799072,90.31355667941716,89.1943262544851
112,90.23764178932787,88.14880191951177,89.8971051907235,90.22897778145308,90.41756970460094,90.37687317080442,89.25265713230704
113,90.30236592856114,88.21116633983439,89.96998449707317,90.30337400711451,90.48873701580729,90.45209623168962,89.3255766363356
114,90.37226726290102,88.24856415865634,90.02794140270974,90.36888550349806,90.56039172557858,90.53404073868039,89.38357765186483
115,90.42154996412808,88.30285763996682,90.10016391200477,90.43121611542664,90.62769974215499,90.59092992230094,89.46256257641527
116,90.49019438092228,88.34404952819975,90.16467803310358,90.4933320756185,90.7159918754704,90.65853753649468,89.53659990708344
117,90.55981571798404,88.36632452597041,90.22144948193632,90.55048317089884,90.78496828187254,90.7130355009321,89.61220970968286
118,90.6199384071821,88.4247523546553,90.2696970463115,90.60818386888619,90.84486183603305,90.77661919111922,89.6767208941133
119,90.68028428309312,88.4738578586999,90.32900376668924,90.66914748163592,90.89725815993158,90.85055916186631,89.73524714364484
120,90.7355439846799,88.52689887362918,90.37797671412224,90.72471595379926,90.95755833435517,90.90842198837679,89.80283648966056
121,90.8015380922462,88.58440496221112,90.43016754203465,90.78919688069946,91.01608518213254,90.9680695184756,89.87458464424142
122,90.85751276208683,88.61805998364389,90.48280772927532,90.85504032077785,91.0689752095595,91.03442952415537,89.93283030434333
123,90.92486987045746,88.66849601544722,90.54664725070043,90.91409274564757,91.12546549793636,91.09321512961249,89.98432421023814
124,90.98064190348865,88.72426468462963,90.59697082344125,90.9642902122491,91.19251345638583,91.15924123866972,90.04620558069766
125,91.03468289810404,88.76706460038487,90.6544710545357,91.02936673835953,91.25876549138637,91.22208527255376,90.10424795911389
126,91.10968028399313,88.80965567769307,90.72407600766515,91.08765675240758,91.32299650397081,91.28579585828378,90.16000762505227
127,91.15835336184647,88.86919199123926,90.7770907159796,91.151149204916,91.39080277075804,91.35671784484144,90.22370649302923
128,91.21096177491364,88.92038250120638,90.8459436050188,91.21105663511007,91.45068132242638,91.40996726032927,90.28287808923396
129,91.27100190304152,88.97310269275519,90.902630427046,91.27424451104827,91.51369195492728,91.46132010470221,90.35088887303809
130,91.33906444746323,89.00552678213559,90.95658963306268,91.3271807499933,91.57798188149047,91.51926991498867,90.41748747760502
131,91.3876544618415,89.00996060266388,91.01931427449429,91.38736750422831,91.62928917605427,91.56962481754645,90.47120431660703
132,91.44271333459135,89.02885226183783,91.07034880771874,91.44133273037457,91.69041314901449,91.63305504439549,90.53040018373699
133,91.50066798097784,89.08806234213132,91.11477418875076,91.49992469149154,91.7442433650654,91.69646296951238,90.59146460592964
134,91.55340896831103,89.1498548215756,91.16163124298927,91.556760519502,91.80655857108901,91.75543134358894,90.64167603797554
135,91.60161022802784,89.1999999901872,91.2206870424814,91.6003992008078,91.87195796487686,91.80619094999662,90.68723925054991
136,91.64656933617184,89.24589784598484,91.27428475099062,91.65079943675248,91.91499946465287,91.8579183232397,90.74309641510551
137,91.70463593979498,89.30615674521236,91.33551404745036,91.6931662753151,91.96850196214737,91.91505455782509,90.78886090064856
138,91.73400034593023,89.33506775029132,91.38389938291085,91.73856428592485,92.01850421388068,91.9661593555857,90.82751279236437
139,91.78409907420122,89.39211422186916,91.4252327506907,91.78993260427431,92.07226390026464,92.02907833187463,90.88293854819575
140,91.82219595040092,89.42563807372599,91.46314206774538,91.84326617034307,92.11117025162638,92.0839449204435,90.95786633453083
141,91.87359778256588,89.47115969471194,91.51840950637735,91.89862664167876,92.16115023026731,92.1268056900073,91.00182464414978
142,91.91426475803499,89.51281582217723,91.55698547542943,91.96616039810866,92.20759711881205,92.2008213040222,91.05030029453928
143,91.95600971186559,89.55045187218238,91.61389624931194,92.02998941769992,92.25240845310147,92.24606560399293,91.10333809777875
144,92.00080060526997,89.60080662687237,91.65730159170259,92.08429976613554,92.30056520245168,92.29758122271498,91.15470468479636
145,92.05538808412904,89.65801053796443,91.69155811049559,92.12101150855531,92.3460833161675,92.34608026352352,91.21228627477105
146,92.10093424262067,89.70003056888154,91.75260924719292,92.17656668617421,92.39496959336006,92.3895915364916,91.25161074771823
147,92.1493229605472,89.74844030550456,91.79777372393653,92.24115765386253,92.44632205034087,92.42977731957939,91.30471603364319
148,92.18697585710254,89.80078694015243,91.84080039841488,92.29616730422624,92.49989231706004,92.46831928794516,91.35119940791307
149,92.23418655756052,89.8513764777252,91.89058844260101,92.35212292083122,92.56036200205072,92.5219463117138,91.41031791121978
150,92.28430341047726,89.8907617994536,91.94395615885597,92.40561897179064,92.61455277478886,92.57318580416737,91.46337880251735
151,92.32428499538209,89.94669282695973,91.97795303473809,92.44902615385149,92.67445442134112,92.61825852807586,91.50744166399234
152,92.37960398019833,89.98940025173404,92.01068524544796,92.4970109804377,92.72279606084234,92.66435202677884,91.55225135688293
153,92.424325660002,90.0328804769128,92.03818056461492,92.54416143164336,92.77745716232144,92.71165849587011,91.5988639755312
154,92.4701125107003,90.06933115685048,92.07132208354001,92.59629056374665,92.81933873571957,92.75588254417268,91.64618215458825
155,92.51874743693314,90.07929417643021,92.1016110084058,92.64325378982473,92.86431503223167,92.81001868826776,91.68929496871738
156,92.56176689661078,90.1156699295774,92.12799753121033,92.68820159570174,92.91109907945912,92.85385998535503,91.74232717274118
157,92.60711409903,90.16057641969157,92.1667453441538,92.7354086700565,92.96275144014346,92.90792586519063,91.7868963026649
158,92.64938904466389,90.1957989537052,92.20309015713596,92.77763435734282,93.01083287623545,92.96193393339934,91.83044816123956
159,92.68795112114348,90.23592507656039,92.25618436391122,92.82530145641795,93.05678409317363,93.01346091694364,91.88196366927112
160,92.72480478703106,90.29204359109627,92.3021676152663,92.86640518265314,93.09705162507764,93.07311428144465,91.92415031368405
161,92.76128660024466,90.35408128035345,92.35165056351421,92.90737301710264,93.13356451650752,93.11534987000628,91.96892026564501
162,92.80933423403539,90.41020119768437,92.39865969432246,92.96459770606869,93.17756991400404,93.16547213167122,92.02866339144147
163,92.85617474160522,90.45403932624069,92.44738757298963,93.01383776764119,93.21989797240686,93.20965544325388,92.06595386089661
