Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize700//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize800//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize900//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize1000//
0,36.6722968258141,29.06616885231672,33.99895847438254,37.148759553356676,38.484730789498876,40.100602293685526,41.12030728673042,43.13226146641543,43.411339854520946,44.322369692430044,44.6310999585212
1,36.6722968258141,41.4790649754479,33.99895847438254,37.148759553356676,38.484730789498876,40.100602293685526,41.12030728673042,43.13226146641543,43.411339854520946,44.322369692430044,44.6310999585212
2,36.6722968258141,45.89090845793491,43.7992593548068,37.148759553356676,38.484730789498876,40.100602293685526,41.12030728673042,43.13226146641543,43.411339854520946,44.322369692430044,44.6310999585212
3,43.51633942299205,49.56404606179983,49.560273179602675,43.846691616428394,38.484730789498876,40.100602293685526,41.12030728673042,43.13226146641543,43.411339854520946,44.322369692430044,44.6310999585212
4,49.953239077073256,53.43041543521066,53.35016442062715,49.467458051899065,44.30832627964386,40.100602293685526,41.12030728673042,43.13226146641543,43.411339854520946,44.322369692430044,44.6310999585212
5,53.819061324324004,57.379052095462455,56.867980254183855,53.83575584850843,50.467626214914105,44.85035099911828,41.19262929633322,43.13226146641543,43.411339854520946,44.322369692430044,44.6310999585212
6,56.81637592534688,60.658602269067096,59.511927544910435,57.557970730404364,53.969757865734216,50.45893590233922,45.9787797225063,43.13226146641543,43.411339854520946,44.322369692430044,44.6310999585212
7,59.59151586523277,63.879263960188226,63.000817401178274,60.97078024314925,57.17455786185022,53.694808867557434,50.883158617727645,46.84365855965159,43.411339854520946,44.322369692430044,44.6310999585212
8,63.49141500377925,66.54032592753069,65.77580113994982,64.21994851926198,60.69468014895135,57.48697085971891,54.54368717897277,51.04177136214144,46.59622713128066,44.322369692430044,44.6310999585212
9,66.78390990452237,68.51152462044254,68.26501163282272,67.06304408292837,64.05297652303376,60.6159966578244,57.8446952051,54.966965685062796,51.508600462096176,47.010046223571244,44.6310999585212
10,69.48684505850923,70.5223680872794,70.52347942392494,69.46090030038178,66.99669375090754,64.12489570007962,60.70540962358827,59.05937526830225,55.263859876402954,51.493988699613254,47.6294043135329
11,71.62386008767169,72.10066100544749,72.23591806956395,71.51782538729424,69.62792998149219,67.46976034714906,62.93054029000519,62.01323799835413,58.38631272701241,54.99267285467233,52.32749615581459
