Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize700//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize800//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize900//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize1000//
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0016852306058160766,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.14484014860901276,0.0016852306058160766,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.14484014860901276,0.0016852306058160766,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.14484014860901276,0.3825206046617376,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.14484014860901276,0.3825206046617376,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.051232606733473796,0.0,0.14484014860901276,0.3825206046617376,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.05123260680586826,0.0,0.14484014860901276,0.41255339309952666,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.5184674543518042,0.0,0.14484014860901276,0.7256506006732106,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.59064924809485,0.0,0.14484014860901276,0.7256506006732106,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.5187080160168863,0.0,0.14484014860901276,0.7256506006732106,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.5654404188809462,1.119844529491325E-4,0.14484014860901276,0.7256506006732106,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.5669337952899386,1.1198628603541486E-4,0.14484014860901276,0.7972996822240712,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.5732462690587403,4.357842297725873E-4,0.14484014860901276,0.8118298814373225,0.04605502783889731,0.0,0.0,0.0,0.0,0.0
32,0.0,0.7589954258297075,4.358006243168941E-4,0.14484014860901276,0.8137335871893185,0.04605502783889731,0.0,0.07895141995492483,0.0,0.0,0.0
33,0.0,0.7603175109704443,0.031653187097133856,0.14484014860901276,0.8214545351070142,0.04605502783889731,0.0,0.07895141995492483,0.0,0.0,0.0
34,0.0,0.8353298263386411,0.031812305002734104,0.14484014860901276,0.8478586173825874,0.04605502783889731,0.0,0.07903330872778923,0.0,0.0,0.002697968736072212
35,0.0,0.8963519645648893,0.14278495293075608,0.14484014860901276,0.853214308126933,0.04605615511895107,0.0,0.07903330872778923,0.0,0.0,0.0042202892009073805
36,0.0,0.9130496092649426,0.14323579213339313,0.18829087555979762,0.9274503501341534,0.04605615511895107,0.0,0.07992609534555092,0.0,0.0,0.0042202892009073805
37,0.0,1.109787969018594,0.14331365956409187,0.18829549039337112,0.9603302369317741,0.04605615511895107,0.0,0.08006637256376668,0.0,0.0,0.004220822173857171
38,0.0,1.472184348678766,0.14333301821053052,0.2921366183911177,1.0057452378740988,0.04605615511895107,0.0,0.0806216655637209,0.0,0.0,0.004220837519778069
39,0.0,1.8362144233014805,0.14354300054517852,0.30419101622212413,1.0177169939363806,0.04605615511895107,0.0,0.16428601643788998,0.0,0.0,0.00634053730067847
40,0.0,1.8746558358414378,0.14406599160274045,0.640612786016737,1.005916129336632,0.04605615511895107,0.0,0.2447267796992284,0.0,0.0,0.006340537370898575
41,0.0,2.0579880958226187,0.14425392718021535,0.7146310921997243,0.9610307643972033,0.04605615511895107,0.0,0.2452962237922329,0.0,0.0,0.012350372780197032
42,0.0,2.2959715921128647,0.19912778815005566,1.011517795780753,0.9636471355701236,0.046056715863387616,0.0,0.24551510232408524,0.0,1.0682948620607805E-7,0.014460630196020055
43,0.0,2.6238969527630904,0.23911125630827018,1.086462016882476,1.0071431555718264,0.08188822354689075,0.0,0.2479884528179807,2.511768951747962E-4,9.687977012924398E-4,0.014462319422583442
44,5.013453800038226E-7,2.6392367731309188,0.2898203585528817,1.218298554481331,1.0305114471822818,0.08188822354689075,0.0,0.24866678390797606,2.511768951747962E-4,9.6879770129244E-4,0.017917865419429416
45,5.013453800038226E-7,2.967070517295798,0.3549685558434251,1.2207015816087479,1.0983061286536575,0.08189861261451466,0.0,0.2487837056403674,2.511768951747962E-4,9.687977012924398E-4,0.024233506316538575
46,0.011776204257513193,3.7984547139924154,0.38791026818308644,1.212092599574564,1.109772795513242,0.08189926086377194,0.0,0.24885571073778257,2.511768951747962E-4,0.02436003102585928,0.022241729970366404
47,0.01319213775954387,3.8756152788783425,0.4830121199726463,1.2215428065485516,1.1551512627434068,0.08192560335750751,0.0,0.2502693374770161,2.511768951747962E-4,0.042909497765063885,0.020383096572330214
48,0.031699957106978593,4.153288409193668,0.6087920613444645,1.3201032986733503,1.192409261036813,0.0824692030465751,0.0,0.2504074076571688,2.511768951747962E-4,0.05975256419850718,0.025462927058442025
49,0.034242512644426015,4.592776840639061,0.6200822194483488,1.3520527119583114,1.1934635010714087,0.10389817692691058,1.1348641180552178E-9,0.2504577479527222,0.1387176191478435,0.10256667866229867,0.026360291748147992
50,0.0926659618344321,5.152937201744706,0.8235991022152498,1.3669751378643027,1.2154724606643144,0.1627571985188315,1.1348641180552178E-9,0.4677721596269128,0.22093835626906377,0.11018136541071917,0.03168137285271374
51,0.16171112690249095,5.455383812247618,0.8481599702928858,1.3349303519572788,1.3622319044510784,0.17665416071177198,1.1348641180552178E-9,0.47088747798578123,0.22093887956216895,0.11019862893501836,0.04882770041964297
52,0.20571649165210829,5.32986066870637,0.9094139202946602,1.2907630980689673,1.3663815672833004,0.20787393094023632,1.2051922134018958E-9,0.4755949460150584,0.22093919450423832,0.11513243130994771,0.05723339830064765
53,0.19621310008679882,5.341726857137862,1.006592990715595,1.2985103366858308,1.399107622517703,0.22004853810148145,0.0030727879757703235,0.4758113936079368,0.22548855123847017,0.1943332873890038,0.08644024335802185
54,0.24331458831838973,5.387315586204192,1.0494165673726852,1.3325459927743895,1.429126699757148,0.2670393222622048,0.0030727879757703235,0.5051279719026822,0.22550776468967304,0.22952977649561573,0.1604751438118721
55,0.36124586134222003,5.608365390924938,1.0675087147305269,1.9502977857620865,1.4377049505399249,0.5235459082932397,0.0030727994450282727,0.515967001147811,0.23084030394408045,0.2295689928366159,0.2093840648359644
56,0.4171171336941829,5.89509959672118,1.094642447385488,2.0248544657866336,1.4441063411977229,0.5303818508103977,0.051204320266256674,0.5165125494109861,0.2471251217399883,0.2911430114239019,0.30128297540821464
57,0.4559840439425866,5.969228649083448,1.1095896310529625,2.1832227364763614,1.4735729010077954,0.58119111069777,0.051204320266256674,0.51905402622608,0.2513227759745221,0.30654161596764934,0.40183488306770704
58,0.5778302099035961,6.5314037230881725,1.183425181619703,2.463237508502575,1.5543172459759376,0.7412162155772664,0.06296750325448477,0.5337735531167143,0.25756871265473363,0.30981807837878633,0.4805219477904959
