Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize700//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize800//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize900//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize1000//
0,12.605809140421757,10.220268964590742,11.720621822157131,12.607734611807903,13.240982268259666,13.622459264373273,14.019769899498291,14.321382734428527,14.52410007713436,14.897383675567887,15.035608165602515
1,12.605809140421757,12.004487093931683,11.720621822157131,12.607734611807903,13.240982268259666,13.622459264373273,14.019769899498291,14.321382734428527,14.52410007713436,14.897383675567887,15.035608165602515
2,12.605809140421757,12.807158121353996,12.60576018714193,12.607734611807903,13.240982268259666,13.622459264373273,14.019769899498291,14.321382734428527,14.52410007713436,14.897383675567887,15.035608165602515
3,13.025323510697499,13.414365773847475,13.217061247546551,13.147911299714506,13.240982268259666,13.622459264373273,14.019769899498291,14.321382734428527,14.52410007713436,14.897383675567887,15.035608165602515
4,13.390637068643597,14.208176168499124,13.832576666528782,13.469889730330163,13.546955537918317,13.622459264373273,14.019769899498291,14.321382734428527,14.52410007713436,14.897383675567887,15.035608165602515
5,13.807308264342938,15.186050947460172,14.53623725451384,13.975646153085078,13.84316384147718,13.78873564624748,14.033982373908295,14.321382734428527,14.52410007713436,14.897383675567887,15.035608165602515
6,14.426410255339263,16.180295802342417,15.390959481774873,14.658632666377148,14.176189504574054,13.962398016271647,14.23589808482108,14.321382734428527,14.52410007713436,14.897383675567887,15.035608165602515
7,15.165047226650037,17.19346102255893,16.342713438875872,15.4950283260906,14.774144105816422,14.21951249445164,14.291947182956537,14.311577604148026,14.52410007713436,14.897383675567887,15.035608165602515
8,15.998068046566228,18.229299035411653,17.35173711334075,16.49445995217123,15.57562174677904,14.774434154603567,14.515191534518223,14.356997606816924,14.516568246961675,14.897383675567887,15.035608165602515
9,16.810260622839586,19.109356741526227,18.34654723715526,17.520976664043594,16.506781893525247,15.543071524553124,14.885635680008063,14.516299401234287,14.484584333024056,14.812126121380386,15.035608165602515
