Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize700//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize800//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize900//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize1000//
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.1746030937175978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.1746030937175978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.3019822267467468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.6446805029007849,0.0,0.08595741327277108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,1.1751836968201788,0.0,0.08595741327277108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,1.6609845903150473,0.0,0.2436838680783458,0.0,0.0,0.060424398579092924,0.0,0.0,0.0,0.0
17,0.0,1.6609845903150473,0.1694655019413923,0.5237474122754266,0.0,0.0,0.060424398579092924,0.0,0.0,0.0,0.0
18,0.0,1.8214226449788657,0.5005978399622348,0.8414895085989067,0.0,0.0,0.060424398579092924,0.1806944081092037,0.0,0.0,0.0
19,0.0,2.0125840414478695,0.5005978399622348,1.0235317620031819,0.0,0.0,0.060424398579092924,0.3384208629147784,0.0,0.0,0.0
20,0.0,2.1725204448790807,1.160890516953333,1.496455344646947,0.0,0.31545290961114936,0.060424398579092924,0.49614731772035314,0.0,0.0,0.0
21,0.0,2.1725204448790807,1.505557821610512,1.496455344646947,0.23874733507375903,0.50024596326391,0.060424398579092924,0.4993534236955902,0.14509766030624816,0.05853523234681981,0.0
22,0.0,2.3310309887911886,1.6822781810361538,1.6591380653892782,0.23874733507375903,0.657964245384331,0.060424398579092924,0.6056649436520501,0.14509766030624816,0.21167462521709648,0.0
23,0.0,2.3310309887911886,1.8400046358417286,1.6632535772445889,0.23874733507375903,1.0116610249368576,0.5261910818315352,0.6312643118983442,0.3091776420976357,0.21167462521709648,0.0
24,0.1577264548055747,2.358083940766938,1.8342392373950849,1.7277744019849601,0.5683865450763155,1.0116610249368576,0.6017187213685262,0.6429088847491848,0.4493161911554093,0.21167462521709648,0.3154529096111494
25,0.1577264548055747,2.359465577615727,1.9919656922006597,1.895951831924074,0.5683865450763155,1.2873578729045954,0.8584196128416386,0.6429088847491848,0.6008382864590265,0.4743234710501314,0.4731793644167241
26,0.1913725236585906,2.5184302357943844,1.9951280448409727,2.115585552417788,0.5683865450763155,1.2873578729045954,1.0536192312566797,0.642929094941376,0.6983894904596295,0.8194922802161714,0.657990203044489
27,0.1913725236585906,2.5272792147492336,2.3100192378312787,2.2667253372129683,0.5684482516658069,1.317395764803035,1.2422235415122054,0.8006555497469506,0.6983894904596295,0.9772187350217463,0.657990203044489
28,0.3761833622863554,2.5272792147492336,2.310019269856342,2.5508441660973817,0.899221229042421,1.5257049594289165,1.3951107922811903,0.9782095079143652,0.6983894904596295,0.9857809624780868,1.3128936859899047
29,0.4121026572287113,2.5272792147492336,2.553016966387729,2.550845418320545,0.9096778157877022,1.6861103044317947,1.3960318579086284,1.043281747828442,0.7101030269771408,1.1034866543349302,1.5254171312278189
30,0.7280608023881635,2.557375513400915,2.553016966387729,2.5546369549232857,0.9096778157877022,1.6903483056918662,1.580842696536393,1.0536684616566894,0.8893736221004456,1.1034866543349302,1.5254171312278189
31,0.7280608023881634,2.7152091802666285,2.553016966387729,2.5546369549232857,0.9926705243649583,1.7159147794099388,1.7248183755682525,1.0536684616566894,0.8893736221004456,1.1034866543349302,1.905933463009819
32,0.7280608023881635,2.6851128816149465,2.553016966387729,2.5546369549232857,0.9926705243649583,1.7229244698205435,1.8213455450521756,1.05722019966882,0.8898743727315142,1.469590068954578,2.064858977741056
33,0.7280608023881634,2.6876128237636516,2.6817389906584683,2.5546369549232857,0.9926705243649583,1.7242470448426528,1.8380715310052431,1.374943464076266,0.8898743727315142,1.6709046382231043,2.064858977741056
34,0.7280608023881634,2.6876128237636516,2.6817389906584683,2.7395874027142324,0.9926705243649583,1.7242470448426528,1.8380715310052431,1.3876493772305687,1.0558155248549994,1.6817805472632972,2.298674934454696
35,0.8151912874961541,2.846869921288822,2.8484656751172763,2.7395874027142324,0.994231544685341,1.7465292511685973,1.8380715310052431,1.548838042404458,1.0558155248549994,1.6817805472632972,2.4564011268986032
36,0.8151912874961541,2.847900709422147,2.8520398064305836,2.739687906649475,1.133370396262252,1.7480533627374915,1.8716506490611147,1.745339304983211,1.2405257305418325,1.6817805472632972,2.7527470045336075
37,0.9729333329476076,2.847900709422147,2.8872377009794534,2.739687906649475,1.1229138095169708,1.7475698311273034,1.8716506490611147,1.745339304983211,1.4813618378693778,1.7268988363797386,2.7527470045336075
38,0.9729333329476076,2.8478814070518816,2.8784219966174382,2.742398818578532,1.152808932231163,1.7287851512674361,2.11357777383963,1.747559123360112,1.4813618378693778,1.7268988363797386,2.7819466700103135
39,0.9729333329476076,2.869756505488724,2.878498157232802,2.7970960510843597,1.152808932231163,1.7334990088734976,2.271304228645205,1.7664959109073806,1.4997185094729644,1.7268988363797386,2.8554590323441333
40,0.9729333329476076,2.871351548756254,2.8791415766401154,2.7970960510843597,1.152808932231163,1.7219020931894895,2.4553196287147863,1.9487099959749505,1.4997185094729644,1.7268988363797386,2.8559579072970034
41,0.9729333329476078,2.871687118564871,2.9004620930473695,2.7985413628945466,1.152808932231163,1.725692827659418,2.6144338499430058,1.9500551501525347,1.4997185094729644,1.745302453625241,2.8559579072970034
42,0.9729333329476078,2.8717235393352527,2.9010772353148364,2.798573571480652,1.152808932231163,1.7415279704622824,2.622717726666993,1.942122866704811,1.500069896081618,1.7686186082575526,2.8559579072970034
43,0.9729333329476078,2.873210517022951,2.9079195138283973,2.803349761467613,1.152808932231163,1.741126160220669,2.734940474804919,1.9428161439672835,1.501810923651576,1.7686186082575526,2.8559595513452676
44,0.9729333329476078,2.8974942580041363,2.9069598950790674,2.8162083103043343,1.152808932231163,1.7496263172508704,2.734940474804919,1.951319781467466,1.5082611662929708,1.7686186082575526,2.856587310016994
45,0.9849645130049214,2.8993424297265316,2.914822505282085,2.816516977661304,1.152808932231163,1.7675766622361195,2.7458589153843853,1.9556525079934162,1.508356922404204,1.7686186082575526,2.872402090040035
46,0.9849645130049214,2.920131404058239,2.9174592093331553,2.8558325469171724,1.152808932231163,1.7964349434726155,2.9105331078760757,1.957908695899089,1.5555535400742848,1.7686186082575526,2.9192764073748454
47,0.9849645130049214,2.9336376344592803,2.927000437089217,2.8692147717024863,1.152808932231163,1.9650713402128432,2.9524283875258703,2.1320513350812296,1.5558656882686424,1.7686186082575526,2.9192764073748454
48,0.9849645130049214,2.9549217064290167,2.94276541869293,2.868878162980012,1.1528097524070477,2.020950441870841,2.9525212724047147,2.1406802616895906,1.5681512417813928,1.7686186082575526,2.919284366375112
49,0.9849645130049214,2.972183251078931,2.9717266361489267,2.877073512294757,1.1532001714489004,2.079486591779674,2.9525212724047147,2.165580573521252,1.574258904643438,1.7885390575653426,2.9192843663751122
50,0.9849645130049214,2.9932918751058324,2.9876767207011166,2.8820888747863096,1.1532003763053098,2.111015622316871,2.9619698831209984,2.1677983276452055,1.5764037373261657,1.7885390575653426,2.919284366375112
51,0.9849645130049214,2.995095938218172,3.030828758701788,2.8972509346596698,1.1657298911041691,2.138841854731342,3.0160565921986393,2.1696401223859443,1.5859608612584501,1.7916657469370563,2.943820331166195
52,0.9849645130049214,3.009490970430382,3.0533812668111358,2.904500107041772,1.166001528221678,2.1966249970817846,3.016193245198423,2.181127377109684,1.5859608612584501,1.7916657469370563,2.9448212661429514
