Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize700//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize800//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize900//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize1000//
0,0.01774472208508711,0.0,7.85593080533228E-4,0.035485920362333084,0.06898897986407473,0.01190236105097946,0.19539057211645935,0.14577691290996184,0.05390786552706572,0.14353408705697407,0.13130421188268426
1,0.01774472208508711,0.09117105495293185,7.85593080533228E-4,0.035485920362333084,0.06898897986407473,0.01190236105097946,0.19539057211645935,0.14577691290996184,0.05390786552706572,0.14353408705697407,0.13130421188268426
2,0.01774472208508711,0.4807148404008311,0.030048562455884432,0.035485920362333084,0.06898897986407473,0.01190236105097946,0.19539057211645935,0.14577691290996184,0.05390786552706572,0.14353408705697407,0.13130421188268426
3,0.31525672472197064,1.07395769862966,0.10901028610057788,0.3483128334652659,0.06898897986407473,0.01190236105097946,0.19539057211645935,0.14577691290996184,0.05390786552706572,0.14353408705697407,0.13130421188268426
4,0.506818803248315,2.0188020454440143,0.6199931143822397,0.5297377698722376,0.13437079278360153,0.01190236105097946,0.19539057211645935,0.14577691290996184,0.05390786552706572,0.14353408705697407,0.13130421188268426
5,1.0715618462722476,3.850246189331083,1.0774318269403647,0.8449176089064352,0.20250833046716998,0.04613783373480849,0.19539057211645935,0.14577691290996184,0.05390786552706572,0.14353408705697407,0.13130421188268426
6,1.4469173528226127,6.187870748479146,2.147608591059225,1.3210424649519195,0.3727672577218172,0.2644906985922547,0.41251569635750746,0.14577691290996184,0.05390786552706572,0.14353408705697407,0.13130421188268426
7,2.6883517593938255,8.188220854960981,4.000116480044823,2.3238699994320102,1.0907869452706982,0.45381637337433667,0.45407896277689686,0.2623137788814332,0.05390786552706572,0.14353408705697407,0.13130421188268426
8,3.73238477321976,10.632397708000829,5.786167460294285,3.5336223301325687,1.956072876397585,0.9476057166373872,0.6390381028432625,0.5757340851529208,0.1359971864103539,0.14353408705697407,0.13130421188268426
9,5.167109286509507,13.015707545623211,7.831999032717715,5.26002625328558,3.222189664755952,1.5451240475691592,0.8004265085363983,0.6473067693328814,0.18854037260034195,0.14825504668425302,0.13130421188268426
