Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize700//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize800//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize900//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize1000//
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0014652993418918818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0014652993418918818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0014652993418918818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.04515433906764382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0462880709930176,0.0014981795436629012,0.027813759991113456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.06195102030429969,0.014631410817424322,0.03913665822613641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.1533403429643283,0.05965547546897675,0.03913665822613641,3.173318140264265E-4,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.19185334185348032,0.09349092798928081,0.03913665822613641,3.173318140264265E-4,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.4108625138034076,0.21544256668133477,0.040364251497447705,0.05377395661671679,0.0,0.0,0.03547099523494991,0.0,0.0,0.0
18,0.0,0.6690061286628542,0.22274815406603646,0.11787567214386463,0.057074547279324844,3.724565622155562E-4,0.0,0.03547099523494991,0.0,0.0,0.0
19,0.0,0.8131437896838398,0.3612129274173152,0.12641003736515966,0.08336192698151691,0.01645224049836479,0.0026331743555676047,0.05378435793021668,0.022112917924662665,0.04334965242982509,0.0
20,0.0,1.2101326379874164,0.5043723195634069,0.23071480292206978,0.2457102955941238,0.016805507644559407,0.0026331743555676047,0.06760034661415919,0.022112917924662665,0.04334965242982509,0.0
21,0.0,1.8648023185483982,0.8133230249705655,0.5011504573992654,0.34108034640352236,0.04727456231685464,0.0026331743555676047,0.0803133857368957,0.02369880308133989,0.04334965242982508,0.0
22,0.014536059537218066,2.7364482638768983,1.0484649925630871,0.6753175966171533,0.4225781218826002,0.08243341553425002,0.0026331743555676047,0.10397891409422168,0.024033008162784378,0.04334965242982508,0.0
23,0.02260216972065019,3.447284389397145,1.4379484603914112,0.967381564752327,0.5525946429447344,0.2190913766690487,0.011843287252817856,0.2967129899051566,0.02748795038025047,0.04921903058696853,0.013286222785427099
24,0.02260216972065019,4.028776029435346,2.0937616430924426,1.3669266938298645,0.8849112008121388,0.29950783728721597,0.05205909301727719,0.49675862031144785,0.08981328417743906,0.05290527624212761,0.05096360807767015
25,0.03595890745025469,4.72618359098301,2.907833634665189,1.9186259537280121,1.232518444765176,0.41805104689674344,0.05205909301727719,0.5595066581003217,0.17559781385938883,0.05290527624212761,0.0673807547221866
26,0.11032259653155772,5.52371575858415,4.012528534846773,2.243455342790894,1.7855606511674234,0.7454701543212885,0.06311226179687082,0.6521370133055211,0.33653285285439616,0.0881550895821964,0.08418781532295534
27,0.13161385404084872,6.801902010408057,4.849755448170154,2.9868991619911465,2.662562894914439,1.4047967480043067,0.14485550275873094,0.9623053373430545,0.528985342913556,0.25101515182312406,0.20885793379323064
28,0.1784454607588455,7.390466531437225,5.872378221230001,3.8947979257747622,3.5982252937588934,2.2329835942169076,0.2627641260075977,1.3388120522539173,0.977488167777752,0.34987336935864666,0.32516909814764633
29,0.3330235959942499,8.676149957110972,6.97680113653349,4.915044982707825,4.291035668727973,2.959374906332627,0.4800242129540859,1.7251815917788003,1.2621912158093778,0.622097569369062,0.4127735159923519
30,0.48035223834289725,9.607104014878459,8.005110320921016,5.75250061913637,5.225333350546397,3.786395269032545,0.5727315906475552,2.116366059831915,1.9004912783068868,0.9854646207660512,0.635932235809658
31,0.846738810343858,10.32484210732883,9.052604420723734,6.786140421449686,5.875584678942193,4.540864219548716,0.8870207952333466,2.9230321984890937,2.512876234895029,1.3599877812872851,0.8488077987154485
32,1.1492282210309512,11.418499598829047,10.025667280102626,7.875807044979298,7.140320841477532,5.420721070518138,1.487207067016016,3.7258618694432455,2.8143179834839125,2.1129845298326817,1.4725879361036822
33,1.8507168399940381,12.532780212241605,11.095357117709806,9.133510335293732,8.202681218076869,6.50120801618876,1.8190891399420726,4.463417178411495,3.429617362243849,2.5706314166490167,1.9990886898885853
34,2.1886893709302666,13.23256390903225,12.061612695783433,10.329719906255635,9.436907524179839,7.722214590551374,2.09741120186951,5.26552815316054,4.146871112813084,3.3307732525741964,2.582749650228841
35,2.722721673350246,14.228525050237579,13.16142691831787,11.42235482325963,10.315434718433591,8.524065634526128,2.455185385736436,6.275904378099102,5.090272413370222,4.115945917545383,3.2566342795501866
36,3.2875329897801784,15.344649133343873,14.45009256756645,12.769172214973098,11.538218713131998,9.653853744069345,2.6475796645059098,7.61196231520715,6.09343201846729,5.184927240084954,3.893179350021423
37,3.7331660068785877,16.090849168644816,15.4569779896731,13.480134924043663,12.662470152454459,10.969564313577552,3.37541705510235,8.663504266511946,6.946234835902137,6.1972776228732815,4.888644158939014
38,4.421514102994498,16.88129066107893,16.26840650387287,14.807156378164981,13.726952992561243,12.26570064049902,4.439169630053941,9.606366590768769,7.916324413789284,7.440634217164593,5.77218007596093
39,5.5086751606271225,17.56182353543721,17.537224148088935,15.879014618991366,14.774410037106293,13.271073719444338,5.248065682596561,10.640864725657117,9.264410522990751,8.42911170302258,6.572385722674548
40,6.417539597745275,18.335996561503702,18.154357476030196,16.942970947548364,15.745202174072704,14.460220779042574,6.300887600259253,11.768991013159706,10.089380470357717,9.43046655086696,7.626362983234089
41,7.219756125590582,19.081128729431345,19.281016356047754,17.864414461644223,17.1055873477814,15.692575898722355,7.200616407437459,12.786902544663478,11.651526521089295,10.289448647175536,8.707310128887904
42,8.444317035184854,20.028143611002843,20.01946565144352,18.633006573579944,18.250311968307738,16.60947654019851,8.179356478808954,14.199033490608958,12.862076999896022,11.491187978145932,9.703627047642659
43,9.120843025043307,20.837838291676974,20.86338240930531,19.705408016212257,19.284291476891806,17.627661822263796,9.184550471691455,15.07261668181075,14.218937615411708,12.667268188332741,10.750983341672427
44,10.021704945345205,21.353318957306268,21.79577997851879,20.775496736281298,20.3308442184604,18.4512658709864,10.094102211648075,16.213841177774295,15.472245522796864,13.825708660245137,11.906977806504644
45,10.882909010757444,22.243716602343095,22.918089584726726,21.840858890214598,21.4291440274701,19.2408451332389,10.894916365995805,17.35450031164096,16.667921155817588,15.050407617793232,13.158747360252917
46,11.826042392711292,22.990400748217237,23.739991460167925,23.036885664536417,22.353465160952585,20.558826994549634,11.927974551651166,18.34190516546324,17.813364770781487,16.093619574760652,14.330551468266053
47,12.88500443685078,23.478118065079883,24.59036678050378,23.985593088392285,23.368204192148642,21.48863559362421,13.099688667958869,19.29350911016717,18.97968788687732,17.522322030065872,15.38217042348647
48,13.740204734862724,24.161678813343546,25.402666428124622,24.942524645766973,24.28080586616031,22.47681242817827,14.05842493121791,20.26300473777222,20.002049288952286,18.641639444841573,16.618546455207632
49,14.468364267496762,24.80687591357479,26.04188654066844,25.8408529606451,25.20580966766329,23.43037925641237,14.999754346079625,21.278058948027656,21.15864081191591,19.732907803037907,17.79548900733584
50,15.36257608551243,25.33569651361145,26.613014438623043,26.64470572684518,26.13414531531121,24.294079745629862,15.973211276150327,22.20948294404204,22.370390655263005,20.76281728603695,18.9189405074701
51,16.55312689696178,25.946882906228343,27.568394992007743,27.581524319305544,27.029118096666387,25.216638477097288,17.0822059302992,23.273478048472263,23.298874246621185,21.713292182680007,20.12978019544942
52,17.525512619360118,26.45617551329108,28.37640442429441,28.40771142347679,27.78461356500255,26.09287902912774,18.02317959355777,24.38113987423484,24.337953791360874,22.938226984633978,21.33463308927094
