Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize700//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize800//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize900//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize1000//
0,33.350787662397195,25.892902901394326,30.55856465570683,33.390076371152446,34.48127331162406,36.32258540819299,37.18691679631523,37.16524184377942,38.84526945867245,39.504714906236956,40.35582160659314
1,33.350787662397195,26.71309398129442,30.55856465570683,33.390076371152446,34.48127331162406,36.32258540819299,37.18691679631523,37.16524184377942,38.84526945867245,39.504714906236956,40.35582160659314
2,33.350787662397195,27.47183509780694,29.859810186165518,33.390076371152446,34.48127331162406,36.32258540819299,37.18691679631523,37.16524184377942,38.84526945867245,39.504714906236956,40.35582160659314
3,31.99600340788173,28.438477870069352,30.044827877212054,32.24810826397754,34.48127331162406,36.32258540819299,37.18691679631523,37.16524184377942,38.84526945867245,39.504714906236956,40.35582160659314
4,30.59899922727344,30.42138392349825,30.726814133996093,30.794400248782942,33.06836799761456,36.32258540819299,37.18691679631523,37.16524184377942,38.84526945867245,39.504714906236956,40.35582160659314
5,30.88597789322533,32.46328323636799,32.5923680093923,30.93212932510811,31.878157814964776,34.77407190093264,37.1299031445908,37.16524184377942,38.84526945867245,39.504714906236956,40.35582160659314
6,32.3269780596189,34.21038853202017,33.978626228367645,31.6959313413107,31.654436026245993,33.13920509322238,35.72597378815976,37.16524184377942,38.84526945867245,39.504714906236956,40.35582160659314
7,34.45521880699563,35.75124828484421,35.861979745150315,33.61091303121227,32.75125450238784,32.97341769637978,33.66543627534281,35.70644698092106,38.84526945867245,39.504714906236956,40.35582160659314
8,36.39969073770881,37.27936936478688,37.4996828225348,35.84183971432032,34.70018657460523,33.82457295763954,33.52733355088161,34.15975381397285,36.777967580615176,39.504714906236956,40.35582160659314
9,38.13381482441371,38.77197294443009,39.28882729691821,37.65242379732431,36.60480926858718,35.31276589176084,33.62878302354166,33.46361849023103,34.744733394292034,37.4865747542034,40.35582160659314
10,39.924901732305244,40.621401267710105,41.01726569935072,39.309380938646896,38.38328452791465,36.891175690812766,34.791225229664555,34.45890990025615,33.940891518709314,35.53522910995797,38.01737380763223
11,41.77746813811506,41.80715574127506,42.55422281372448,41.15134418848748,40.07167591911309,38.50093023570266,36.23021449651168,36.0392168316764,33.81607723431828,34.48514955360953,35.717104007997825
12,43.25882904977996,43.155594197336626,43.92201919848663,42.83470542971139,41.72387502724867,40.29296010068185,37.524402174466026,37.238145423600656,35.51881132096216,34.39756582059408,34.75280524138874
13,44.82994118131229,44.392993559324594,44.93246624121569,44.12523412052152,43.4825481722345,42.136513452039196,38.89919000495402,39.213466294461874,37.08765096251992,35.20999016999875,35.007980951594995
14,46.277445624390225,45.55084179222075,46.233671749034166,45.66000384553644,45.12790774370916,43.55792046404622,40.30294427635845,40.916410464653005,38.55180173218975,36.64360343981976,35.993404207499104
15,47.504887542026765,46.648485218064145,47.42741954422001,46.87787090650604,46.337796278499034,45.220588031026615,41.93689487104161,42.64955576930979,40.10978985842568,38.16893557478182,37.56104237752079
16,48.696425013911615,47.67940623636592,48.55143421476274,48.02658117036079,47.54872326127477,46.61034707163205,43.34494911683519,44.18716341520952,41.856450761138056,39.5128617323402,39.223115976802546
17,49.88324724458328,48.52787577136761,49.56341212896826,49.11110856448808,48.630575099026665,47.64427538530075,44.64888949221162,45.767600271058726,43.34357794678671,41.13975522153477,40.89775384765628
18,51.05098279398773,49.44056333253853,50.43486409835132,49.9402445185813,49.79350876725973,48.86690006389779,45.850324954950494,47.14675977500236,44.88578697685727,42.78145708433757,42.40804823854138
19,52.02184421220926,50.285177206504336,51.35636954355388,51.02662534281153,50.86769929205591,49.85083370451361,47.15581566373194,48.38204842775197,46.233653911913976,44.31091930238032,43.83529233421005
20,52.90105761399705,51.08853407060154,52.20874875581074,51.8721776994506,51.97353055770304,50.93978288900395,48.23211516013365,49.58143833309721,47.532350936955574,45.83303720840183,45.317103103672224
21,53.69175098239356,51.95776071991132,53.065008231722864,52.7221888753032,52.91897196203883,51.9976132803183,49.174598350250456,50.4543688482445,48.97086464881408,46.931755619160946,46.68698323837189
22,54.436658815773384,52.757040298984094,53.82111965162433,53.46131908608023,53.734891916011975,52.95532257992297,50.0032035027143,51.54799817593999,49.962056117082945,48.26486051525882,47.88043342546798
23,55.15731332294686,53.37720039786875,54.585324152758915,54.265512346553244,54.46023853600131,53.74869129317975,50.829593937470754,52.47301107203835,51.16357090950308,49.4140757229076,49.0369468587872
24,55.93430025273722,54.021527312440966,55.207025602799355,55.09182653044529,55.17618617939479,54.49497644827924,51.72205661078242,53.37000892107473,52.15744904970663,50.4889894926315,50.13937943888753
25,56.54291186691881,54.69235026484001,55.862534620582196,55.71682148263779,55.86940960692978,55.19730472425082,52.67495307391884,54.22032020095355,52.96757741186745,51.44060601565562,51.23357968107766
26,57.173711255260116,55.153555744714666,56.42421354046064,56.39439361981374,56.47795867660579,55.82947722751834,53.50682963825911,55.09228523172373,53.828053358549596,52.37907280246416,52.13004893143558
27,57.76996130776995,55.708230300280746,57.062443568218804,57.039440821989565,57.12760032690265,56.45111510189199,54.28345567242169,55.87657930999437,54.58148911025133,53.144809695146165,53.12928633812582
28,58.26989288468153,56.23265645798598,57.62468973800032,57.55346234145611,57.684736360626964,57.09125488780305,54.982043008242506,56.625645130345895,55.37303071919148,53.859172504505516,53.91685138645755
29,58.8163124053715,56.697571195426214,58.0977372998803,58.13557898106888,58.1677336853655,57.657904264767865,55.57291569248671,57.1585451008909,56.12465365459557,54.671133758655685,54.7509734158342
30,59.32785703504075,57.17169104559886,58.50703920152288,58.72127586390938,58.62395178897985,58.174318332124955,56.22495791371169,57.73163798581707,56.78852280769798,55.44607422913307,55.46960604322509
31,59.81197279789344,57.60406694542003,58.90902807763669,59.18631066681635,59.13937904673895,58.71055830492832,56.79092988348017,58.29264225459293,57.44448458403141,56.057333237823606,56.196205180888995
32,60.29207878123602,58.02097720870285,59.35627696726783,59.76184107215068,59.64728226228815,59.22027196510976,57.345381044152845,58.73991257787392,58.01955513872768,56.7134874834249,56.96203382134307
33,60.69247218134479,58.423141055249594,59.76533713394632,60.21963145950333,60.09200630463778,59.70635282820993,57.905202997966185,59.18247795540813,58.60132462185758,57.374852866475514,57.53958122487673
34,61.088301350140675,58.81206878248243,60.15378795609194,60.58576565170875,60.48662073419679,60.11266787156821,58.38604814990006,59.688171569064544,59.15319416439061,57.918957863579465,58.1118117319916
35,61.490557046669196,59.24141641361131,60.543608563428194,60.906147130549506,60.897992388484255,60.543712184771756,58.856658110873504,60.107807377340485,59.61208342752269,58.477191840301124,58.610153602235215
36,61.792643524426026,59.68391867498997,60.8814351854423,61.25119279576128,61.32108766685456,60.93613279717025,59.31177315582899,60.54560012763771,60.082944170990785,58.98096383639415,59.07434915747133
37,62.103991795254785,60.08775739052816,61.204777547061106,61.60203030015218,61.718326311544594,61.3839788976165,59.76726077542842,60.98744841230492,60.552967351413976,59.45039866330589,59.59236108281104
38,62.43462916229886,60.429836594158395,61.598540689448846,61.91122548466369,62.05992470240685,61.74909079075531,60.202455900843454,61.370076513452474,61.02487095888595,59.84877614422363,60.07804148886755
39,62.71493676892745,60.80428515346205,61.88521286078903,62.22323203509165,62.39627854447972,62.09126816914714,60.58116370896018,61.79481660640976,61.42304908391713,60.28493617598165,60.498818437361464
40,62.9555408310935,61.11039025348867,62.17726725307288,62.56664265175368,62.7117901771729,62.40338020418531,60.9681155162399,62.13817079857563,61.757421141635035,60.746543413985876,60.95491008800005
41,63.20406310670131,61.39948904091405,62.426206762086245,62.93268983724195,63.01115544337302,62.70168230728156,61.37022882723371,62.492894246214334,62.08653802811078,61.20141189572153,61.346144084222665
42,63.464388312666784,61.715897784853816,62.69124495486575,63.321524760222644,63.29060087259889,62.96463771792021,61.669821493364154,62.81636571971849,62.40419573622158,61.57492881277462,61.684917814943674
43,63.705094663658315,61.99952319097643,62.96330048119194,63.61809954524579,63.57209462077172,63.24726179833634,61.986798862698244,63.12463108314479,62.667403089756846,61.91563063982512,61.99017357798668
44,63.93857294672362,62.31063553153747,63.20895332902066,63.90275271639825,63.87353948135579,63.53230575306771,62.27476941750789,63.39900515462292,63.000807780338356,62.295272954731104,62.27239565347917
45,64.17240524993952,62.558823440114466,63.43964023069519,64.15052054885355,64.08689561472961,63.765265900434606,62.57404852359383,63.67035385903739,63.33730901729895,62.62602722435196,62.542625980339736
46,64.44113658493545,62.80269080294936,63.690360702048366,64.36042072442874,64.31213554664872,64.0041090516287,62.856763940942606,63.94781196153127,63.62821468369635,62.91040360836725,62.85260426760666
47,64.69064178598956,63.01059465223888,63.932559977735494,64.60778899873822,64.57746031567261,64.26361712744759,63.09991671030386,64.26137583271148,63.86244565060163,63.1966235322073,63.17691076468801
48,64.8838733097009,63.297809684309556,64.13007676345171,64.82024516534413,64.8323723878375,64.45911426104718,63.3696088226515,64.56416731193411,64.13005827561243,63.51114984440653,63.488467565087156
49,65.08326733132549,63.58350664369746,64.36253046625981,64.99566438533336,65.13892786073293,64.69254739764423,63.59083742413812,64.78376799745686,64.36976710898502,63.82722250093653,63.767298817027275
50,65.30706483390993,63.780330047834646,64.60065074186831,65.22639812715747,65.42898657692355,64.9067914837232,63.84421345451729,65.00710058315983,64.56579918079152,64.08489711284798,64.03497245214707
51,65.51829982068473,64.01577065861818,64.80542580583537,65.37603123037239,65.66339242147936,65.14884816659935,64.05621396241729,65.20927616231789,64.78290073131313,64.3140622058143,64.27381097107008
52,65.72668355494609,64.25377389065858,65.02277738225392,65.60482032169261,65.8848749128199,65.34320032978485,64.29434304747036,65.41375929070166,65.00572279960375,64.51377840835913,64.55039533465272
53,65.88642828298124,64.44737975860458,65.21682040274634,65.76275465838364,66.08536696955316,65.57980045362247,64.52798245796468,65.6199841941557,65.25188564291908,64.76292080014176,64.73767930080693
54,66.03465010804611,64.67119844421026,65.44644007363082,65.95777123407848,66.3031306382,65.7867433278014,64.74181494509217,65.79494326380927,65.5114192976567,64.97239534643252,64.95728431811122
55,66.25638203020497,64.8957441769837,65.60561450656871,66.14259513640971,66.5429706587677,65.98598855250557,64.93722475007911,65.96063136988347,65.72210099224992,65.20140202377357,65.17241616120982
56,66.4403906830905,65.1462201370968,65.8346689326517,66.30315305820386,66.74141302136115,66.18600985599471,65.137348441278,66.23570629032591,65.92509806466698,65.40323566956579,65.35392320215209
57,66.6243071152243,65.37502851933051,66.00445120385211,66.45694919283078,66.91377361151014,66.35102054725651,65.3437500966905,66.38630990544166,66.14568082728353,65.65586567462698,65.58832821304317
58,66.78945732192074,65.55150554372534,66.18837276188424,66.63892768538717,67.14305653036985,66.52474112873625,65.5485822945839,66.56003747255419,66.35989922032701,65.8379691650101,65.79676311272718
59,66.97395628448281,65.7468615683039,66.32792270519342,66.80537534411647,67.30850486605631,66.69014824636875,65.7249559062284,66.71237209160093,66.52269080030096,66.00879056851471,66.00804568206108
60,67.13441847514633,65.9183982618165,66.47022307739218,66.9785069879574,67.4673983447692,66.83681689737857,65.90665919839212,66.87650448312966,66.66656729781235,66.18638848150783,66.18974924795695
61,67.27177706875185,66.11096996657216,66.64103168485521,67.13749848445497,67.63739624299652,66.99667243807957,66.05924431713942,67.0337640268796,66.83445891209816,66.4048231884569,66.38951766800517
62,67.44049189990517,66.34946932227916,66.80461815198551,67.3073841844482,67.79528936532986,67.14992764869038,66.21621903365495,67.23116926346712,66.98690788516087,66.55738806857995,66.53539105331676
63,67.53881975200193,66.55690901666735,67.0026715750825,67.47626913632149,67.9526570322176,67.3102143166731,66.40771569494486,67.38227277425109,67.13455425283347,66.70957994468931,66.67923290048856
