,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//-RHC,data//output//runtimePerformance//NSGA2//SolutionSetSize200//-RHC
1,1.56,1.44
2,2.0,1.0
3,2.0,1.0
4,2.0,1.0
5,2.0,1.0
6,1.98,1.02
7,1.96,1.04
8,1.94,1.06
9,1.72,1.28
10,1.52,1.48
11,1.3,1.7
12,1.22,1.78
13,1.12,1.88
14,1.1,1.9
15,1.08,1.92
16,1.06,1.94
17,1.04,1.96
18,1.04,1.96
19,1.04,1.96
20,1.04,1.96
21,1.04,1.96
22,1.04,1.96
23,1.04,1.96
24,1.04,1.96
25,1.04,1.96
26,1.04,1.96
27,1.04,1.96
28,1.04,1.96
29,1.04,1.96
30,1.04,1.96
31,1.04,1.96
32,1.04,1.96
33,1.04,1.96
34,1.04,1.96
35,1.04,1.96
36,1.04,1.96
37,1.04,1.96
38,1.04,1.96
39,1.04,1.96
40,1.04,1.96
41,1.04,1.96
42,1.04,1.96
43,1.06,1.94
44,1.06,1.94
45,1.06,1.94
46,1.06,1.94
47,1.06,1.94
48,1.06,1.94
49,1.06,1.94
50,1.06,1.94
51,1.06,1.94
