,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//-RHC,data//output//runtimePerformance//NSGA2//SolutionSetSize200//-RHC
1,2.0,2.0
2,2.0,2.0
3,2.0,2.0
4,2.0,2.0
5,2.0,2.0
6,2.0,2.0
7,2.0,2.0
8,2.0,2.0
9,2.0,2.0
10,2.0,2.0
11,2.0,2.0
12,2.0,2.0
13,2.0,2.0
14,2.0,2.0
15,1.98,2.0
16,1.98,2.0
17,1.96,2.0
18,1.96,1.98
19,1.94,1.98
20,1.86,1.98
21,1.82,1.98
22,1.66,1.98
23,1.54,1.98
24,1.48,1.98
25,1.44,2.0
26,1.34,2.0
27,1.22,2.0
28,1.16,2.0
29,1.12,2.0
30,1.12,2.0
31,1.1,2.0
32,1.08,2.0
33,1.1,2.0
34,1.08,2.0
35,1.08,2.0
36,1.08,2.0
37,1.08,2.0
38,1.08,2.0
39,1.08,2.0
40,1.08,2.0
41,1.08,2.0
42,1.08,2.0
43,1.08,2.0
44,1.08,2.0
45,1.08,2.0
46,1.08,2.0
47,1.08,2.0
48,1.08,2.0
49,1.08,2.0
50,1.08,2.0
51,1.08,2.0
