,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//-RHC,data//output//runtimePerformance//NSGA2//SolutionSetSize200//-RHC
1,2.0,1.98
2,2.0,1.0
3,2.0,1.0
4,2.0,1.0
5,2.0,1.0
6,2.0,1.02
7,2.0,1.04
8,1.96,1.08
9,1.88,1.38
10,1.84,1.56
11,1.64,1.74
12,1.38,1.86
13,1.3,1.9
14,1.18,1.92
15,1.12,1.94
16,1.1,1.96
17,1.08,1.96
18,1.04,1.96
19,1.04,1.96
20,1.04,1.96
21,1.04,1.96
22,1.04,1.96
23,1.04,1.96
24,1.06,1.96
25,1.06,1.96
26,1.04,1.96
27,1.04,1.96
28,1.06,1.96
29,1.04,1.96
30,1.04,1.96
31,1.06,1.96
32,1.06,1.96
33,1.08,1.96
34,1.08,1.96
35,1.08,1.96
36,1.08,1.96
37,1.08,1.96
38,1.08,1.96
39,1.08,1.96
40,1.08,1.96
41,1.08,1.96
42,1.08,1.96
43,1.08,1.96
44,1.08,1.96
45,1.08,1.94
46,1.08,1.94
47,1.08,1.94
48,1.1,1.94
49,1.1,1.94
50,1.1,1.94
51,1.08,1.94
