Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
0,43.964765813914,43.96388812878536,43.962635766244,43.97219113858141
1,46.334315384311786,46.331155111920104,46.32583956952495,46.31730948379968
2,47.58475166992872,47.52025361984749,47.53020309198471,47.66635429586587
3,48.429499049017956,48.40329702737521,48.397536765128216,48.47051186892321
4,50.54727109811743,49.831359924389005,49.772118065868426,49.29705131847472
5,51.67241974637398,50.25783045250953,50.74502882109963,50.25465692727023
6,53.552427920024876,51.50839120224547,52.0622246924896,51.327853902610464
7,54.316707636164935,51.881672557320066,52.97255194493554,52.456990907739495
8,55.966328931394806,53.01010641486614,54.178788567644155,53.61130378063564
9,56.63498734929476,53.34958685690478,55.02503142902491,54.742918605999854
10,58.09503330859572,54.384073703069014,56.143358038144214,55.83422989951447
11,58.68551938276869,54.688613537953245,56.92640484077262,56.86253498928173
12,60.00092500976443,55.64666642470962,57.95178786418163,57.846138936764
13,60.530490597249674,55.92480788499707,58.68618442977998,58.7710375443424
14,61.7142045204894,56.81321558433609,59.65270126161608,59.639398573234125
15,62.18884557479242,57.06957797920296,60.34252839763541,60.45370239958373
16,63.24472414154725,57.905365614933544,61.2375322534603,61.22046689621632
17,63.67589694235955,58.14426180104291,61.87860148552575,61.94408545286128
18,64.6231213306628,58.92850324240569,62.711447113665585,62.627222663322826
19,65.01360774778662,59.157452702134556,63.306449776804854,63.28053735168046
20,65.85211495822021,59.902313791375285,64.08643345387945,63.886238320834806
21,66.22034414863873,60.11753088902619,64.64564951557428,64.47325415543317
22,66.9685882239426,60.82418609499984,65.36543733477905,65.03482804574736
23,67.29723608405418,61.023371638035655,65.88419289981432,65.55789735547042
24,67.96988461315182,61.692997428800915,66.54852929537495,66.0656446224265
25,68.29319781715515,61.886928436763874,67.02957996875115,66.55100048312974
26,68.89091602662553,62.529498656913624,67.6502136333201,67.0136925893188
27,69.17221232100749,62.71498521759078,68.09869216813274,67.46507297614123
28,69.70946355969642,63.31536870593434,68.66912048499817,67.8981155648508
29,69.99966716997714,63.49513078593244,69.07842776535155,68.3074870559899
30,70.47049443991286,64.0715475541627,69.60543681629873,68.71532594455988
31,70.71139345917629,64.23987255256972,69.98633415782469,69.11157494859809
32,71.13384553800216,64.78005576563167,70.4714070917527,69.4839497070271
33,71.38006729064243,64.94547733915951,70.82042360900779,69.85703939045061
34,71.76118054297837,65.46524807998095,71.26856497698796,70.2178234739755
35,71.9657785608301,65.62160882581796,71.594991604349,70.55725043718724
36,72.3057704342401,66.11606367772157,72.01115887832874,70.8978529189
37,72.51548833212986,66.26792630861574,72.31361078192569,71.22859014299719
38,72.82685175808598,66.73873097779484,72.69281291855677,71.5425126651442
39,73.00671777617305,66.88622716412114,72.97073916632837,71.85751282788952
40,73.28620322256651,67.3328289910775,73.32232974183033,72.16638218540062
41,73.46793606326317,67.47505561749763,73.58289129849786,72.46099466197488
42,73.7287193600092,67.89871386279559,73.90513002720289,72.75544873289978
43,73.88532629485941,68.03654402476984,74.14599343913217,73.04119787872675
44,74.12311456290308,68.4374104308455,74.44658472066827,73.31251626434572
45,74.2817310287362,68.56833585176486,74.67069442804701,73.58513779337126
46,74.50184911503462,68.94855790243587,74.94557358661936,73.85291088226235
47,74.64126483636343,69.07265500692901,75.1539778346284,74.10644938757213
48,74.84533251167332,69.43293557394293,75.41311829622485,74.36167639375246
49,74.9871027050521,69.55475335060986,75.60511128341844,74.61292221555658
50,75.18140232411957,69.89779025442435,75.84488901995044,74.84653905700101
51,75.3053425070434,70.01422233721952,76.02575664977745,75.08579702359971
52,75.48383598111397,70.34163085551698,76.24653360329714,75.3196068312284
53,75.60858552146435,70.45132658877502,76.41547180365873,75.54151895204934
54,75.77625052971,70.75908489295364,76.6207339828918,75.76688100625523
55,75.89008331648202,70.86538475912327,76.77880126162468,75.98810159280188
56,76.04885464891508,71.1563490935838,76.97223631340064,76.19556273626408
57,76.16319764125402,71.25827758358169,77.12048230003653,76.40953471774041
58,76.31305941405591,71.53587540829506,77.30184454263033,76.61967268022606
59,76.4157612872038,71.63520066527114,77.44160822599838,76.81765805719745
