Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
0,56.9996462861184,56.31043414595035
1,62.38017978748635,61.694019681820244
2,65.25682227114348,65.09742260553323
3,67.09831955646113,67.43489742183517
4,69.60712455554516,69.58258669113116
5,71.66541937540792,71.52568492326054
6,74.1801231638953,73.96041775740859
7,76.04699062077854,75.91383148406247
8,78.45261859478717,77.62635015279119
9,80.15864047202852,79.53430161066001
10,82.05787048026026,81.23964367757306
11,83.16121418588,82.35568590508737
12,84.80856209321051,83.47985219903826
13,85.86277583799229,84.52512437082217
14,87.24496521237015,85.45408889677037
15,88.23504249413905,86.24189574753153
16,89.32245153291434,87.00887661814882
17,89.93883827003394,87.58810123037979
18,90.6911001788728,88.04015903705026
19,91.25254843545171,88.47443503254087
20,91.87672613858469,88.90561728019743
21,92.30524388902286,89.31295138219485
22,92.77754021735572,89.65319452584706
23,93.12485558387084,89.97443899552096
24,93.53831266251589,90.30712092292846
25,93.83090926952636,90.61400724675177
26,94.12183418324149,90.92157978088808
27,94.34533282191225,91.23395282930427
28,94.57663793436167,91.50666851506305
29,94.81364782137742,91.79882362806767
30,95.04136017776426,92.04238600586477
31,95.2534679227905,92.27775729737905
32,95.4630039834557,92.48025294932864
33,95.61305663384786,92.70363201169963
34,95.79093483836428,92.88856572911476
35,95.92848144977202,93.07472731700747
36,96.07860486047431,93.25656013690299
37,96.1916072020097,93.42558191216538
38,96.30864764289511,93.57394634886639
39,96.40451808598024,93.71268225728129
40,96.5103792856796,93.82477123918902
41,96.59741186927164,93.97613623684487
42,96.69699546237047,94.11325322402571
43,96.7641279645956,94.22601756961284
44,96.84302866860969,94.33395907541444
45,96.92028006757201,94.44407255127722
46,96.98636754136112,94.54866079896863
47,97.05478755902448,94.67235266866538
48,97.11408788122236,94.77373844651903
49,97.1711470019463,94.87086042666316
50,97.22128974820488,94.96311791448156
51,97.2570634498554,95.03959630364976
52,97.2998284873311,95.10649128103829
53,97.34187653357674,95.18947927684634
54,97.37725011548144,95.26507188348359
55,97.41712448246176,95.32341570128366
56,97.45206255411857,95.38640438940715
57,97.48691329326518,95.46369954163418
58,97.51981476038962,95.54720537222927
59,97.54931897415862,95.61920751054267
60,97.58828319325949,95.66801269372168
61,97.61489286472415,95.71230120278845
62,97.64117088129439,95.76235693907726
63,97.66672157212928,95.79659344254479
64,97.6897913695471,95.84037879693493
65,97.71340173759248,95.87736044667588
66,97.7389375536375,95.91712752900534
67,97.75945984546209,95.95088628634132
68,97.78074169989272,95.98131926249742
69,97.80435712813272,96.01132413552357
70,97.8247392530832,96.04234095260823
71,97.84189547650259,96.06411263204197
72,97.85713714513395,96.08723301050101
73,97.87180669182996,96.10979473848124
74,97.88790507863597,96.12922298688024
75,97.90201234618486,96.15077116520396
76,97.91785729478659,96.16918058588477
77,97.93386877100066,96.19036832451064
78,97.94857029948962,96.20607422721112
79,97.9628611764014,96.21992315278301
80,97.97907835858554,96.23371294986165
81,97.9936908779883,96.24875287730382
82,98.00459087408078,96.26438462868637
83,98.0148030410818,96.28015631157517
84,98.02449564016698,96.29654964755083
85,98.03395315232133,96.31024571217695
86,98.04228057467128,96.32136592056042
87,98.05046348630941,96.33215542663176
88,98.05884390184023,96.34386361882912
89,98.06880675083903,96.354216012021
90,98.07940370958471,96.36747388378926
91,98.08955767533357,96.3762533586277
92,98.09838380956727,96.38471640394938
93,98.1065062840172,96.39440948321949
94,98.11334807021565,96.40451498205988
95,98.120061370113,96.41358458683794
96,98.12563125941745,96.42230057542474
97,98.13139513220871,96.43257900985719
98,98.1397003623053,96.44031598191366
99,98.14626789198005,96.44784380849893
100,98.15243869186122,96.45887275205325
101,98.15886946557217,96.47069254929119
102,98.16399646271199,96.49248261989034
103,98.17077470469145,96.5096762995312
104,98.17605580200319,96.52197537188496
105,98.18126415296352,96.53212235088913
106,98.18641816216048,96.53896568639716
107,98.19182053648878,96.5491082048277
108,98.19599054377214,96.55777273575117
109,98.2014285463402,96.56477557792854
110,98.20608463287716,96.57504706856922
111,98.21057928611084,96.58233402183438
112,98.21557215021895,96.58871863960044
113,98.2193851761921,96.59475195428668
114,98.22359138625694,96.60519548341965
115,98.2270470955156,96.60981203365021
116,98.23057077111446,96.61532540031095
117,98.23429349139174,96.62008025095857
118,98.23815025626538,96.62505408576693
119,98.24213162682229,96.62945132168197
120,98.24531737125584,96.63270795993184
121,98.24925428433453,96.63640418012535
122,98.2523721923719,96.63982576100884
123,98.25590829597559,96.64309919928631
124,98.25925201309494,96.6458188206448
125,98.26200031470829,96.64895189247495
126,98.26506391700784,96.6516532152498
127,98.26833662902581,96.65512788128315
128,98.2711488390158,96.65781017513505
129,98.2743333657333,96.66126333325576
130,98.27690605113135,96.66430501441134
131,98.27942943785212,96.66704337478193
132,98.28245469736578,96.66975620944069
133,98.28496717568349,96.67213910480058
134,98.28765834771545,96.67547410904513
135,98.29057180980402,96.67789727461009
136,98.29336892491021,96.6801072837407
137,98.29555855169774,96.68231932087822
138,98.29805442491349,96.68434313319312
139,98.30073391646239,96.68628441252949
140,98.30337280322117,96.68844286726352
141,98.30567856858234,96.6902491665747
142,98.30759659402878,96.69204306206687
143,98.3097029846836,96.69386821896903
144,98.3115810632012,96.69580744377396
145,98.31372301991064,96.6974426754367
146,98.31653199493434,96.69908217880287
147,98.3186646208247,96.70087549557246
148,98.32070639694611,96.70265287299517
149,98.32251380309214,96.70438572476806
150,98.3242569367747,96.70602659593463
151,98.32628928418032,96.70757388791996
152,98.32804943822536,96.70903348067328
153,98.3297131824292,96.71043078556892
154,98.3314828908138,96.71177442967937
155,98.33301335233055,96.71334873378636
156,98.33495924388943,96.71465217024611
157,98.33679559107689,96.7160136453684
158,98.33860766871658,96.71750910215684
159,98.34013112359192,96.71871065275539
160,98.3419036119711,96.71994232713017
161,98.34410448810783,96.721101431416
162,98.34586201668094,96.72234294911297
163,98.3474315339469,96.72349337913126
164,98.34881402214872,96.72468709867285
165,98.3501264609317,96.72585561558101
166,98.35140349549597,96.72714416375915
167,98.35300072639383,96.72831461446529
168,98.35433079387224,96.72956878337996
169,98.35560782005973,96.73062906226306
170,98.35676442039697,96.73167046250813
171,98.35807084234992,96.7325879567741
172,98.35966689005933,96.73356141379169
173,98.36088507873123,96.734546909773
174,98.36215286731608,96.735466813973
175,98.36340830771242,96.73641142658605
176,98.36458294809403,96.73734652836634
177,98.36561259481263,96.73822616976344
178,98.3669957982785,96.73932534023466
179,98.36865321395797,96.74012026642498
180,98.36979477480601,96.74092153157325
181,98.37111482502597,96.74182276311552
182,98.3724250629933,96.74263332904277
183,98.37382113717351,96.74359748337027
184,98.37492395974074,96.7445071210359
185,98.375989712841,96.74535432412259
186,98.37703838478909,96.74615600767744
187,98.37796816901552,96.74691872643396
188,98.37891081991526,96.74764913430913
189,98.38019447884976,96.74838016337132
190,98.38128146703068,96.74906809775904
191,98.38233232298434,96.74979111951798
192,98.38325119583448,96.75049781440887
193,98.38425601156064,96.75122529259941
194,98.3851034508237,96.75191655968705
195,98.38607316279014,96.75257489523491
196,98.3869554203051,96.7532073895065
197,98.38854875650657,96.75391794797987
198,98.38949008384135,96.754573740957
199,98.39072157611999,96.75518304987412
200,98.3920953960548,96.75583009818538
201,98.39296553693622,96.75641241576614
202,98.39371060312264,96.75701874813316
203,98.3945903747625,96.7576403837323
204,98.39541295611836,96.75834456114953
205,98.396339081564,96.75897892460762
206,98.39732202737031,96.75955497569863
207,98.39820637131103,96.76012934077708
208,98.39904429798682,96.76073508049413
209,98.39996973312726,96.76127833531729
210,98.40076030433201,96.76182052812074
211,98.40159142282664,96.762354545351
212,98.40240717031644,96.76288671353669
213,98.40310708499537,96.76344273868858
214,98.40386590290923,96.76395805816105
215,98.40481751080839,96.76453195483451
216,98.40558689028128,96.76511275449708
217,98.40635088600654,96.76559200175546
218,98.40722842633537,96.76610523552374
219,98.40789192152616,96.76657610140848
220,98.4086244197339,96.76705413548704
221,98.40967635194067,96.76753837578846
222,98.41051016963002,96.76799983922825
223,98.41113450199553,96.76845404183057
224,98.41175798502502,96.76893100020229
225,98.41263009038687,96.76939852923589
226,98.41327577347977,96.76986430217137
227,98.41401225419868,96.77032840554095
228,98.41486784334539,96.77081751840038
229,98.41567165084223,96.7712460014548
230,98.41644209345658,96.77169234782995
231,98.4170583101853,96.77209307251962
232,98.41768605219075,96.77248497976085
233,98.4182192874569,96.77291445968761
234,98.4188759488261,96.7733232531541
235,98.41959050698209,96.77372542885877
236,98.42022208753542,96.77412134924427
237,98.42084233056865,96.77452472982654
238,98.42142488708208,96.77495358979444
239,98.42197018113127,96.77533766928927
240,98.42259920248573,96.77578618659996
241,98.42330607702037,96.77621457373873
242,98.42409299725504,96.77657470412807
243,98.42478761368316,96.77693441562091
244,98.42529663892317,96.77731134624521
245,98.42582586956917,96.7776533365092
246,98.42651477435331,96.77801363083157
247,98.4272707447765,96.778378324927
248,98.42777195012852,96.77874113907271
249,98.42845336523611,96.77910367052401
250,98.4289543110607,96.7794537703111
251,98.42946058570242,96.77978522674393
252,98.42994961332478,96.78011783841576
253,98.43045750768005,96.78045498993419
254,98.4309845343009,96.78076426835159
255,98.43151987762405,96.7811037811018
256,98.4320832227904,96.78143309858606
