Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
0,52.331842508805,52.73826799670047,53.17973699301483,52.38209253139618
1,55.91702176783594,55.9437690321666,56.6766676882446,55.62827424328211
2,57.20754840301908,57.87608270229303,58.27920760223495,58.17395809938471
3,58.794752903749185,59.16357694297293,59.59619363054877,59.35781648422933
4,61.821579615713304,61.30236873814589,61.51251406477824,60.950376899235906
5,63.98154207426059,62.026193086562564,62.99531608507149,62.66824631962062
6,66.17909475866736,63.76124736751779,64.65876301832502,64.49760761805908
7,67.30940285964155,64.29672128944848,65.78371156781611,66.34753703350476
8,69.15593542410278,65.6416573899896,67.22273726982273,68.6001667359389
9,69.88506421223575,66.3153063399879,68.51553850541215,71.0245373661938
10,71.90484661394808,67.99061580396697,69.9464068331836,73.39743977392875
11,72.69891596009404,68.52887482849246,71.15222509537499,75.3682637438512
12,74.64617358659348,69.64107503730192,72.27556309236003,76.83739269699385
13,75.19822119300619,70.31694577399759,73.36269396035213,78.41452367676874
14,76.80133818861377,71.23234253077574,75.132291111725,79.969546920319
15,77.29581058147558,71.63230841765849,76.2344966391633,80.9402864025175
16,78.95368349301008,72.41907777223334,77.54019228157671,82.15093297516277
17,79.49911772282283,72.98048380241637,78.66477001704794,83.08207481322582
18,80.74574276212904,73.46789010597661,79.56368567808633,83.89657565828382
19,81.09725849385643,73.69660228333628,80.45438133397602,84.73372159007796
20,82.05314660058346,74.51985735474153,81.44211121738533,85.3966960035293
21,82.25842920727638,74.79212870875932,82.17299377200827,85.96558021571106
22,82.99124740022587,75.51674883959794,83.0768273698808,86.5754799860602
23,83.29431118627977,75.79395132670211,83.82525936942224,87.01550711228244
24,84.09753209946277,76.32566835935172,84.52245529658798,87.3617633329625
25,84.41541823380904,76.51730260720043,85.1338881070331,87.77015825471189
26,85.00402214302689,76.95662555219357,85.77106094856045,88.11595944005538
27,85.35940653241714,77.15276859995618,86.24547899071878,88.41067229389256
28,85.88120697270722,77.6901948684202,86.82763745427057,88.79840209597955
29,86.16362697919573,78.0019042532102,87.19235388534996,89.0395083899551
30,86.67032915803266,78.48019849842954,87.63012815972792,89.38429800695096
31,86.9275609110208,78.7097632651465,88.18682868447142,89.64915424002224
32,87.30942040080217,79.38997418161009,88.72089389936978,89.8310230757529
33,87.55536863818622,79.53795673889847,89.04086911547712,89.99372162407595
34,87.90035271149395,80.05716924104652,89.48556906788423,90.20319753304365
35,88.02304465643876,80.17674250958426,89.82591046029526,90.35363136527829
36,88.44354027516879,80.70414973222628,90.1269061232501,90.49673332512121
37,88.61023506717007,80.78766603072708,90.33504222014972,90.65818956862364
38,88.84072418786486,81.32471397486414,90.5802958603463,90.76978124420225
39,89.0333370445655,81.49203348097083,90.92477746931236,90.90532001928932
40,89.31793344351672,81.9078253152272,91.18590725925826,91.01906044920334
41,89.46979894591986,82.07996291488159,91.51883694966499,91.15846003784868
42,89.70664158156725,82.51009745580716,91.69850959680915,91.25472190731291
43,89.81207552582914,82.67185903254355,91.92540892217345,91.33148838170473
44,89.99223555269465,83.10779119000303,92.1271059037282,91.4312938256892
45,90.11268891525853,83.19022676535965,92.27391448671277,91.50655004020484
46,90.32927381694967,83.50018529758981,92.40817380464527,91.56827597561973
47,90.40505324820525,83.62850198992854,92.6242700491912,91.64432898902997
48,90.58763130257552,83.92701604281999,92.82086060437503,91.72901015917729
49,90.6274572357458,84.03260267447698,92.9564030909241,91.77824177878118
50,90.73553204912298,84.23856111971256,93.05835000032424,91.83440492055315
51,90.83817944182529,84.36309363222549,93.14682570580617,91.89675553409327
52,90.94798916617447,84.67334880263736,93.27699764979542,91.96074355085955
53,91.00071937170352,84.7764502902664,93.35914663958903,92.02270129183802
54,91.14874810893282,85.00017899301643,93.45783114551823,92.06570648344133
