Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize50//,data//output//runtimePerformance//NSGA2//SolutionSetSize100//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize300//,data//output//runtimePerformance//NSGA2//SolutionSetSize400//,data//output//runtimePerformance//NSGA2//SolutionSetSize500//
0,9.900091375038603,10.19579119262958,11.76790550052828,12.636103364816773,13.236766002844503,13.68519407691582
1,12.715159758419661,11.571423655720041,11.76790550052828,12.636103364816773,13.236766002844503,13.68519407691582
2,15.461471456893252,13.092058561872605,13.200389740896323,12.636103364816773,13.236766002844503,13.68519407691582
3,18.080206951005447,14.575622836544554,13.200389740896323,13.990596412167672,13.236766002844503,13.68519407691582
4,20.571001424111294,16.08316265471943,14.781141345615302,13.990596412167672,14.586945264597281,13.68519407691582
5,22.940366502262624,17.656138280648243,14.781141345615302,13.990596412167672,14.586945264597281,15.000328117210866
6,25.02558150766642,19.300499152106166,16.435835366256494,15.668588803626827,14.586945264597281,15.000328117210866
7,26.838155022526387,20.8174264589645,16.435835366256494,15.668588803626827,14.586945264597281,15.000328117210866
8,28.562643199664617,22.34699080701177,18.183381599472757,15.668588803626827,16.29027555967535,15.000328117210866
9,30.230947816863345,23.81314278066597,18.183381599472757,17.377227410868123,16.29027555967535,15.000328117210866
10,31.81183193416007,25.216500817913683,19.961689402429823,17.377227410868123,16.29027555967535,16.678897982900118
11,33.29821865680603,26.49753288165446,19.961689402429823,17.377227410868123,16.29027555967535,16.678897982900118
12,34.74893783096005,27.702674667142155,21.779278716726164,19.181587697472583,18.049032368197203,16.678897982900118
13,36.15412436394149,28.844465354099395,21.779278716726164,19.181587697472583,18.049032368197203,16.678897982900118
14,37.442730404697365,30.00512745034315,23.58406776322081,19.181587697472583,18.049032368197203,16.678897982900118
15,38.71235827189956,31.094324369362546,23.58406776322081,21.091720105297536,18.049032368197203,18.493190247841575
16,39.89171997075386,32.17583222890411,25.209455439058317,21.091720105297536,19.951043304234563,18.493190247841575
17,41.00574515299873,33.2762267675382,25.209455439058317,21.091720105297536,19.951043304234563,18.493190247841575
18,42.056527155320055,34.414771792517136,26.763625084046048,22.980941683512594,19.951043304234563,18.493190247841575
19,43.02187772341586,35.45847758641988,26.763625084046048,22.980941683512594,19.951043304234563,18.493190247841575
20,43.939710986800584,36.528884294011725,28.161112004740755,22.980941683512594,21.912100873333536,20.39773007374207
21,44.80972186781264,37.54936379680147,28.161112004740755,24.824388301159185,21.912100873333536,20.39773007374207
22,45.61845025238289,38.54364792299322,29.495925835401398,24.824388301159185,21.912100873333536,20.39773007374207
23,46.401344173542824,39.46002151364534,29.495925835401398,24.824388301159185,21.912100873333536,20.39773007374207
24,47.16690444642212,40.361700792210264,30.839050464828503,26.54317373853629,23.90570340432194,20.39773007374207
25,47.86371440773218,41.25288044059245,30.839050464828503,26.54317373853629,23.90570340432194,22.40864906256745
26,48.48131494687916,42.084621751498226,32.124704462330016,26.54317373853629,23.90570340432194,22.40864906256745
27,49.101224712268746,42.89279196981928,32.124704462330016,28.16618360821551,23.90570340432194,22.40864906256745
28,49.72244594757032,43.68941618300508,33.379265246110805,28.16618360821551,25.794686160195646,22.40864906256745
29,50.288765166235535,44.45005576824419,33.379265246110805,28.16618360821551,25.794686160195646,22.40864906256745
30,50.8573561218045,45.1958630519274,34.62955871398648,29.609120411357186,25.794686160195646,24.417211381802495
31,51.38935911798794,45.905688825166095,34.62955871398648,29.609120411357186,25.794686160195646,24.417211381802495
32,51.94094816685887,46.59211079087671,35.865765769043676,29.609120411357186,27.479649836847436,24.417211381802495
33,52.469866367214095,47.26556740545463,35.865765769043676,30.977235097356928,27.479649836847436,24.417211381802495
34,52.958589724980826,47.9000961697672,37.15110089957642,30.977235097356928,27.479649836847436,24.417211381802495
35,53.40968955777766,48.487629128564535,37.15110089957642,30.977235097356928,27.479649836847436,26.261512433708834
36,53.88684664790777,49.07167338864182,38.388641095141416,32.31076022893538,29.091491281036888,26.261512433708834
37,54.33276019263129,49.62112946241384,38.388641095141416,32.31076022893538,29.091491281036888,26.261512433708834
38,54.77325956061923,50.1562500318102,39.62248835880513,32.31076022893538,29.091491281036888,26.261512433708834
39,55.18544390009429,50.698780967941815,39.62248835880513,33.64832153638959,29.091491281036888,26.261512433708834
40,55.59140937387646,51.18340562100349,40.79693407006648,33.64832153638959,30.638736366518707,28.006285174345273
41,55.982041042029124,51.66769911753505,40.79693407006648,33.64832153638959,30.638736366518707,28.006285174345273
42,56.3737603122912,52.141269520460405,41.91445548357066,35.030212520568334,30.638736366518707,28.006285174345273
43,56.76435157175658,52.62273763335333,41.91445548357066,35.030212520568334,30.638736366518707,28.006285174345273
44,57.14318055501281,53.085538578677536,43.0024861193331,35.030212520568334,31.98826601670087,28.006285174345273
45,57.51159871824618,53.545161931075896,43.0024861193331,36.4030961246003,31.98826601670087,29.622975177577974
46,57.87414889574514,53.99175105344514,44.04096591885885,36.4030961246003,31.98826601670087,29.622975177577974
47,58.253665836889894,54.419667087160576,44.04096591885885,36.4030961246003,31.98826601670087,29.622975177577974
48,58.603222465420416,54.837749096554994,45.055785989313826,37.76858006538552,33.33568892230557,29.622975177577974
49,58.95016340342719,55.225468759773506,45.055785989313826,37.76858006538552,33.33568892230557,29.622975177577974
50,59.30937963282084,55.62480002164503,46.011241824057926,37.76858006538552,33.33568892230557,31.119177667157985
51,59.678265929815,56.007575675188214,46.011241824057926,39.100470540801545,33.33568892230557,31.119177667157985
52,60.02787916189141,56.36154258979313,46.94289761685162,39.100470540801545,34.68373804264126,31.119177667157985
53,60.37048999395574,56.71667696296433,46.94289761685162,39.100470540801545,34.68373804264126,31.119177667157985
54,60.67150120491174,57.081379505108565,47.83845948525864,40.41272826418397,34.68373804264126,31.119177667157985
