Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize50//,data//output//runtimePerformance//NSGA2//SolutionSetSize100//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize300//,data//output//runtimePerformance//NSGA2//SolutionSetSize400//,data//output//runtimePerformance//NSGA2//SolutionSetSize500//
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.002688161470715352,0.0,0.0,0.0,0.0,0.0
11,0.009805012000171181,0.0,0.0,0.0,0.0,0.0
12,0.01890643505781733,6.7881014161078725E-6,0.0,0.0,0.0,0.0
13,0.06254083304540045,6.7881014161078725E-6,0.0,0.0,0.0,0.0
14,0.13752080725141919,5.65529520935254E-4,0.0,0.0,0.0,0.0
15,0.2524394583313975,8.028205949705553E-4,0.0,0.0,0.0,0.0
16,0.35871909899329285,0.0010266896682459546,0.0,0.0,0.0,0.0
17,0.46505400422872745,0.008065961664063738,0.0,0.0,0.0,0.0
18,0.680074416927897,0.01648285833324826,0.0,0.0,0.0,0.0
19,0.8876337481070135,0.03044660717904944,0.0,0.0,0.0,0.0
20,1.1737982554547548,0.049536445200969226,0.0,0.0,0.0,0.0
21,1.6523017848140715,0.09505601030667202,0.0,0.0,0.0,0.0
22,1.9263126357324463,0.14880887298661077,0.0,0.0,0.0,0.0
23,2.3941735092065874,0.23733026046698907,0.0,0.0,0.0,0.0
24,3.0037522745824687,0.3128042780362989,4.731259485906043E-5,0.0,0.0,0.0
25,3.5685778493235056,0.47980568341102575,4.731259485906043E-5,0.0,0.0,0.0
26,4.27913699430929,0.6810464369159178,7.742989964937528E-4,0.0,0.0,0.0
27,5.1239936351526705,0.9317293936547542,7.742989964937528E-4,0.0,0.0,0.0
28,6.023452530895259,1.257108667619997,0.0019097159744329252,0.0,0.0,0.0
29,7.286990331658169,1.5866146917226085,0.0019097159744329252,0.0,0.0,0.0
30,8.063876977971713,2.089851754632373,0.005066489285201187,0.0,0.0,0.0
31,9.024282317223674,2.6221862819329798,0.005066489285201187,0.0,0.0,0.0
32,10.031976945377549,3.310459642286925,0.019625844977660498,0.0,0.0,0.0
33,11.216765329497742,3.9950701865271694,0.019625844977660498,4.0674419171386723E-4,0.0,0.0
34,12.423712633310872,4.731965304475085,0.0468026965551403,4.0674419171386723E-4,0.0,0.0
35,13.726496276388097,5.578726930356665,0.0468026965551403,4.0674419171386723E-4,0.0,0.0
36,15.212152996234266,6.433014864624099,0.0974215073563976,5.496120899352214E-4,0.0,0.0
37,16.604494822165037,7.45114225332718,0.0974215073563976,5.496120899352214E-4,0.0,0.0
38,18.139200999795477,8.449850973737416,0.18026122494682062,5.496120899352214E-4,0.0,0.0
39,19.22814107871756,9.374533753282908,0.18026122494682062,0.0043503309708126684,0.0,0.0
40,20.850550812924805,10.289728534766027,0.3227520246936473,0.0043503309708126684,0.0,0.0
41,22.581208428062183,11.263623955399424,0.3227520246936473,0.0043503309708126684,0.0,0.0
42,24.092726843079053,12.140097205401172,0.5029669415636094,0.007283506627174228,0.0,0.0
43,25.66927118610705,13.179096665978502,0.5029669415636094,0.007283506627174228,0.0,0.0
44,27.42064204866135,14.273267176915864,0.8192001127612347,0.007283506627174228,0.001859018372813113,0.0
45,28.806909189093773,15.274012116908164,0.8192001127612347,0.017867182633179976,0.001859018372813113,0.0
46,30.735450387775252,16.34028720803606,1.222948595536633,0.017867182633179976,0.001859018372813113,0.0
47,32.52770651269221,17.36752796746113,1.222948595536633,0.017867182633179976,0.001859018372813113,0.0
48,34.18051446248473,18.461529326450787,1.8933623841709533,0.042766943837881335,0.00339907538039773,0.0
49,35.716807408346014,19.347007284038746,1.8933623841709533,0.042766943837881335,0.00339907538039773,0.0
50,37.29841359120081,20.50592937586055,2.5976697348510287,0.042766943837881335,0.00339907538039773,0.0
51,38.69176946608452,21.472643238024762,2.5976697348510287,0.11753587049109179,0.00339907538039773,0.0
52,40.54094619581034,22.7174312487224,3.3847384960848075,0.11753587049109179,0.005601109064257168,0.0
53,41.88966330255983,23.933658779803864,3.3847384960848075,0.11753587049109179,0.005601109064257168,0.0
54,43.19992154131642,25.108535271953215,4.370723762390124,0.22746727514941356,0.005601109064257168,0.0
55,45.44457164347914,26.44546827296001,4.370723762390124,0.22746727514941356,0.005601109064257168,2.1688849485635838E-4
56,46.90695625173056,27.61273514561584,5.546392886337639,0.22746727514941356,0.012207249269298491,2.1688849485635838E-4
