Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize50//,data//output//runtimePerformance//NSGA2//SolutionSetSize100//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize300//,data//output//runtimePerformance//NSGA2//SolutionSetSize400//,data//output//runtimePerformance//NSGA2//SolutionSetSize500//
0,0.06536310382680179,0.0,0.016344138966195198,0.08000567725822363,0.022079019122001452,0.04865014912675729
1,0.3735871367750957,0.0,0.016344138966195198,0.08000567725822363,0.022079019122001452,0.04865014912675729
2,2.526172892343284,0.08669451278656054,0.20111723576920645,0.08000567725822363,0.022079019122001452,0.04865014912675729
3,8.6413261555631,0.3294969276186853,0.20111723576920645,0.14183651352623167,0.022079019122001452,0.04865014912675729
4,16.718788393245916,1.612808777203324,0.41167412806951975,0.14183651352623167,0.1964101752788315,0.04865014912675729
5,25.388123949067403,4.496927904137529,0.41167412806951975,0.14183651352623167,0.1964101752788315,0.19274401244174544
6,32.52317010610759,9.637176634417381,1.5292766775536588,0.45268935743028266,0.1964101752788315,0.19274401244174544
7,38.586971666598586,14.612104202529624,1.5292766775536588,0.45268935743028266,0.1964101752788315,0.19274401244174544
8,44.20687804562625,19.875211530430768,4.352165073745673,0.45268935743028266,0.8196831580893899,0.19274401244174544
9,49.28591105992421,25.685017193790866,4.352165073745673,2.3811675245426107,0.8196831580893899,0.19274401244174544
10,53.609319158872204,31.020641357457617,8.835405633671348,2.3811675245426107,0.8196831580893899,0.8772728947061276
11,57.23873216363624,35.97309590271325,8.835405633671348,2.3811675245426107,0.8196831580893899,0.8772728947061276
12,60.437585894674854,40.22108496389451,14.838266674586837,5.660866469146774,2.6360832096272184,0.8772728947061276
13,63.41946812848077,44.109440517491564,14.838266674586837,5.660866469146774,2.6360832096272184,0.8772728947061276
14,65.88533451928923,47.51515961996233,22.541669233336236,5.660866469146774,2.6360832096272184,0.8772728947061276
15,68.38644996984394,50.25562227202519,22.541669233336236,11.393703042089042,2.6360832096272184,3.350648989331298
16,70.71275657056414,53.06522160032172,29.00984686046041,11.393703042089042,6.108545324545627,3.350648989331298
17,72.82308555052637,55.726132214391264,29.00984686046041,11.393703042089042,6.108545324545627,3.350648989331298
18,74.7543914484285,58.18918595630698,34.58066723991473,18.22849610445225,6.108545324545627,3.350648989331298
19,76.56987067520583,60.531836364890765,34.58066723991473,18.22849610445225,6.108545324545627,3.350648989331298
20,78.09493007078369,62.663702951780934,39.26531188489838,18.22849610445225,12.40162595668631,7.876109049827601
21,79.55205957094843,64.66174772627618,39.26531188489838,24.639698797453462,12.40162595668631,7.876109049827601
22,80.81695920695198,66.78318328502542,43.51319340265,24.639698797453462,12.40162595668631,7.876109049827601
23,81.97797320022006,68.60192210430804,43.51319340265,24.639698797453462,12.40162595668631,7.876109049827601
24,82.99760181308956,70.44834396384792,47.3933041956179,30.55331086234337,20.08294881411022,7.876109049827601
