Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize50//,data//output//runtimePerformance//NSGA2//SolutionSetSize100//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize300//,data//output//runtimePerformance//NSGA2//SolutionSetSize400//,data//output//runtimePerformance//NSGA2//SolutionSetSize500//
0,54.81913710517008,55.950147621276805,61.53510179087137,64.42802783729786,65.99661747737154,67.50367449893221
1,64.1975642570084,60.661310852594994,61.53510179087137,64.42802783729786,65.99661747737154,67.50367449893221
2,71.50853510879962,65.35409736007432,66.14272888069004,64.42802783729786,65.99661747737154,67.50367449893221
3,76.98055329863547,69.57607459567669,66.14272888069004,69.01132468510154,65.99661747737154,67.50367449893221
4,81.30357762029786,73.47423959090432,70.40073759618942,69.01132468510154,70.07843656057584,67.50367449893221
5,84.49644081635948,76.48480344770287,70.40073759618942,69.01132468510154,70.07843656057584,71.5786801744476
6,86.95889419054359,79.56265922073736,74.36425311368944,73.36148352383293,70.07843656057584,71.5786801744476
7,88.94658498043624,81.95377589500104,74.36425311368944,73.36148352383293,70.07843656057584,71.5786801744476
8,90.60432392107862,84.06696247756265,78.0066585349992,73.36148352383293,74.51007260975294,71.5786801744476
9,91.83248503042898,85.55734621613252,78.0066585349992,77.04549123309177,74.51007260975294,71.5786801744476
10,92.83984417899872,87.02269897912666,80.91109700168403,77.04549123309177,74.51007260975294,75.61259255933172
11,93.66281866943726,88.20487170546403,80.91109700168403,77.04549123309177,74.51007260975294,75.61259255933172
12,94.35422454779682,89.41649179528302,83.30887353030306,80.29469267945984,78.47443957124204,75.61259255933172
13,94.93069031575179,90.4699188871875,83.30887353030306,80.29469267945984,78.47443957124204,75.61259255933172
14,95.40817184003294,91.32690899081798,85.43539672944435,80.29469267945984,78.47443957124204,75.61259255933172
15,95.85043689812781,92.05115075794711,85.43539672944435,82.79426494056261,78.47443957124204,79.2560250443274
16,96.25852747513396,92.72236983015166,87.08749020688937,82.79426494056261,81.27578053907531,79.2560250443274
17,96.56438211767954,93.2522330490547,87.08749020688937,82.79426494056261,81.27578053907531,79.2560250443274
18,96.8187299325385,93.81100104124923,88.60134987898388,84.92979029778317,81.27578053907531,79.2560250443274
19,97.03137830706868,94.27537376855622,88.60134987898388,84.92979029778317,81.27578053907531,79.2560250443274
20,97.20305269272218,94.6737842417921,89.77529737905736,84.92979029778317,83.85818588680372,82.20070991364196
21,97.3631882143895,95.02094863150246,89.77529737905736,86.82712856983889,83.85818588680372,82.20070991364196
22,97.506756816781,95.3630088147339,90.84276229289816,86.82712856983889,83.85818588680372,82.20070991364196
23,97.63435672111223,95.67673649765817,90.84276229289816,86.82712856983889,83.85818588680372,82.20070991364196
24,97.75155791072896,95.95973939749635,91.78599888689216,88.44248798487132,85.99030189391226,82.20070991364196
25,97.85126477229971,96.2172379829134,91.78599888689216,88.44248798487132,85.99030189391226,84.50540352771107
26,97.963925674409,96.45524923974614,92.64013552283032,88.44248798487132,85.99030189391226,84.50540352771107
27,98.05607770521034,96.66622191725608,92.64013552283032,89.77094795188432,85.99030189391226,84.50540352771107
28,98.12881240165423,96.84843349970038,93.3277347429356,89.77094795188432,87.75871146675878,84.50540352771107
29,98.20998065118272,97.0432783340959,93.3277347429356,89.77094795188432,87.75871146675878,84.50540352771107
30,98.27665317119292,97.1946713794369,93.9263866309836,90.83811515262792,87.75871146675878,86.56650024386309
31,98.33060675456291,97.33951086798214,93.9263866309836,90.83811515262792,87.75871146675878,86.56650024386309
32,98.37855709236464,97.47508385199296,94.44827033007545,90.83811515262792,89.31687544950414,86.56650024386309
