Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,11.671433576901148,11.76790550052828,11.722385060687394,12.690218897848034,11.802571217113424,11.748458871976613,11.766359970902057
1,11.671433576901148,11.76790550052828,11.722385060687394,12.690218897848034,11.802571217113424,11.748458871976613,11.766359970902057
2,11.671433576901148,13.200389740896323,13.388102841166774,12.690218897848034,13.399923508215549,13.36056962542239,13.314824254254136
3,11.671433576901148,13.200389740896323,13.388102841166774,13.15559880467079,13.399923508215549,13.36056962542239,13.314824254254136
4,13.086327753293332,14.781141345615302,14.781634575162014,13.439883602128576,14.870968929966768,15.35103766979165,15.888237007659985
5,13.086327753293332,14.781141345615302,14.781634575162014,13.872266503661788,14.870968929966768,15.35103766979165,15.888237007659985
6,14.530305213672854,16.435835366256494,16.122139982926893,14.462280829460278,16.328307978029088,17.315850668159154,18.303090406004106
7,14.530305213672854,16.435835366256494,16.122139982926893,15.213811095771238,16.328307978029088,17.315850668159154,18.303090406004106
8,16.06017004022598,18.183381599472757,17.408301091504843,16.043320035580034,17.729824417931372,19.419465695383447,20.714439896519227
9,16.06017004022598,18.183381599472757,17.408301091504843,16.89241734614079,17.729824417931372,19.419465695383447,20.714439896519227
10,17.60497940154388,19.961689402429823,18.696246118945588,17.70317903825521,19.264258445566988,21.567355294801352,23.16208884558966
11,17.60497940154388,19.961689402429823,18.696246118945588,18.545482776553914,19.264258445566988,21.567355294801352,23.16208884558966
12,19.2339713992422,21.779278716726164,19.963112712904895,19.334909042825714,20.820083974031196,23.650698013850505,25.53246927889458
13,19.2339713992422,21.779278716726164,19.963112712904895,20.06846645459495,20.820083974031196,23.650698013850505,25.53246927889458
14,20.803202032595934,23.58406776322081,21.263467008297106,20.897534891459852,22.334563844989937,25.696593425261,27.78307508094098
15,20.803202032595934,23.58406776322081,21.263467008297106,21.691086453255696,22.334563844989937,25.696593425261,27.78307508094098
16,22.421984352355587,25.209455439058317,22.551351740188043,22.47548690281573,23.751852225177785,27.558919917381022,29.83924039845198
17,22.421984352355587,25.209455439058317,22.551351740188043,23.2404826384237,23.751852225177785,27.558919917381022,29.83924039845198
18,23.988349451063506,26.763625084046048,23.850911102349315,24.002282118944546,25.16211997652696,29.34108026482765,31.754967213506923
19,23.988349451063506,26.763625084046048,23.850911102349315,24.78013614808668,25.16211997652696,29.34108026482765,31.754967213506923
20,25.450756409008232,28.161112004740755,25.025871665336695,25.48441470524919,26.47989193872198,31.019541430658233,33.69685673855298
