Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.5703243641193234,0.6005745162370811,0.31256598708141575,0.7110676198334361,0.3490875252631712,0.25109950291210026,0.3040745716989474
1,0.5703243641193234,0.6005745162370811,0.31256598708141575,0.7110676198334361,0.3490875252631712,0.25109950291210026,0.3040745716989474
2,0.5703243641193234,1.0676306619681273,0.5555814096634392,0.7110676198334361,0.7221829834165905,0.5475806417429151,0.6358206536248101
3,0.5703243641193234,1.0676306619681273,0.5555814096634392,0.7110676198334361,0.7221829834165905,0.5475806417429151,0.6358206536248101
4,0.8153048139326704,2.087326506269297,1.2865877879483902,0.7110676198334361,1.2807762802808866,1.2567619849579061,2.2086317364912094
5,0.8153048139326704,2.087326506269297,1.2865877879483902,0.7110676198334361,1.2807762802808866,1.2567619849579061,2.2086317364912094
6,1.3507021060244413,3.615456971442476,2.1366311123682986,1.1894832467665095,2.4247261481320255,2.983526933865999,5.026811618169175
7,1.3507021060244413,3.615456971442476,2.1366311123682986,1.6702171083693744,2.4247261481320255,2.983526933865999,5.026811618169175
8,2.5568686354356966,6.652851129391263,3.4688335494259084,1.7750569591883714,4.261582927318004,6.219193907390176,10.159245183237509
9,2.5568686354356966,6.652851129391263,3.4688335494259084,2.1371444586800474,4.261582927318004,6.219193907390176,10.159245183237509
10,4.758891102587892,10.464076177794588,6.269367542644012,2.9052428279644023,7.430766554687818,10.331643719108643,16.207312980127867
11,4.758891102587892,10.464076177794588,6.269367542644012,4.725859677630376,7.430766554687818,10.331643719108643,16.207312980127867
12,8.18999265443711,15.254900974378453,9.240688875408356,6.302155420872839,10.708109265262976,15.943407905128531,23.42812052459363
13,8.18999265443711,15.254900974378453,9.240688875408356,7.952412756835968,10.708109265262976,15.943407905128531,23.42812052459363
14,12.491005625785963,21.0723820344829,12.596430735733922,10.48957343803504,14.860060541619491,21.992889050894615,31.06907640013617
15,12.491005625785963,21.0723820344829,12.596430735733922,12.905920881697364,14.860060541619491,21.992889050894615,31.06907640013617
16,17.88090661298677,26.109163980393408,16.38587945551007,15.497397106991032,19.025382525570798,27.86242872305462,38.52029135438126
17,17.88090661298677,26.109163980393408,16.38587945551007,19.49048223307649,19.025382525570798,27.86242872305462,38.52029135438126
18,22.600905661676723,32.09637681023721,21.126691362729638,23.256396363477393,23.79481784236971,34.38826605491557,45.38803286384402
19,22.600905661676723,32.09637681023721,21.126691362729638,27.841562060009363,23.79481784236971,34.38826605491557,45.38803286384402
20,27.682731323562333,37.83133466917519,25.51077891350403,31.20809903311852,28.02724480818229,40.506814049759804,51.895158627002566
21,27.682731323562333,37.83133466917519,25.51077891350403,34.317812343181735,28.02724480818229,40.506814049759804,51.895158627002566
22,32.54452928334242,42.99386274852507,30.297432353132116,37.997696810191535,33.586997995855306,46.3827865761753,57.440506605608135
23,32.54452928334242,42.99386274852507,30.297432353132116,41.46805084542997,33.586997995855306,46.3827865761753,57.440506605608135
24,37.637845504629325,48.62064847860313,35.43248340603658,45.44398117573011,38.022685747782496,51.53884310162374,62.213830455593154
25,37.637845504629325,48.62064847860313,35.43248340603658,49.03075126140675,38.022685747782496,51.53884310162374,62.213830455593154
26,42.358990103872806,53.67350503205357,40.04002571903362,52.63726490540475,42.97560691227032,56.41465550932765,66.53980660756403
27,42.358990103872806,53.67350503205357,40.04002571903362,55.70250230252755,42.97560691227032,56.41465550932765,66.53980660756403
28,47.62721398202451,58.66789103793808,44.61697277872953,58.510392300446526,47.06249283963554,60.95070912974968,70.14476762858321
29,47.62721398202451,58.66789103793808,44.61697277872953,61.00515933682965,47.06249283963554,60.95070912974968,70.14476762858321
30,51.95504591011863,62.903686885278134,48.949487100521736,63.35821892352039,51.11325082964111,65.03957617162467,72.96953543037138
31,51.95504591011863,62.903686885278134,48.949487100521736,65.75663222183476,51.11325082964111,65.03957617162467,72.96953543037138
32,56.44241722433432,66.7894653068998,53.088556064176814,67.66757392332688,54.706775857942304,68.48333586878773,75.20308297909621
33,56.44241722433432,66.7894653068998,53.088556064176814,69.87101477359792,54.706775857942304,68.48333586878773,75.20308297909621
34,59.86296608123271,70.16505335636688,57.00214006099982,71.51888320715359,58.49478860420931,71.58972342264894,77.36523867484141
35,59.86296608123271,70.16505335636688,57.00214006099982,73.22586219213015,58.49478860420931,71.58972342264894,77.36523867484141
36,63.37643710225005,73.11159841219903,60.70068950869156,74.75963810068644,62.112704758015894,74.25757854411206,79.25064199825026
37,63.37643710225005,73.11159841219903,60.70068950869156,76.17312819056447,62.112704758015894,74.25757854411206,79.25064199825026
38,66.56544186469193,75.9613545268112,63.910183025064306,77.46101870764802,65.03652462559748,76.46610144979314,80.94897179041999
39,66.56544186469193,75.9613545268112,63.910183025064306,78.68151551473225,65.03652462559748,76.46610144979314,80.94897179041999
40,69.57065196820267,78.52457233897562,66.89670282147884,79.92899859902735,67.79197990458717,78.51039446015528,82.30970088392013
41,69.57065196820267,78.52457233897562,66.89670282147884,80.9481380291704,67.79197990458717,78.51039446015528,82.30970088392013
42,72.10799132995294,80.79646864773459,69.8994953325815,81.96419578892203,70.49064690354686,80.1341216600735,83.55695605718515
43,72.10799132995294,80.79646864773459,69.8994953325815,82.9175805018105,70.49064690354686,80.1341216600735,83.55695605718515
44,74.41453964400368,82.84468247012973,72.48824002943222,83.76936349431516,72.81408846776749,81.55914808377545,84.53807133336885
45,74.41453964400368,82.84468247012973,72.48824002943222,84.58937035704749,72.81408846776749,81.55914808377545,84.53807133336885
46,76.51096910005897,84.62860597460617,74.81170686784175,85.33945573384877,74.89947635491106,82.79792045786371,85.43734789255868
47,76.51096910005897,84.62860597460617,74.81170686784175,86.01779566991164,74.89947635491106,82.79792045786371,85.43734789255868
48,78.49322451661301,86.22856971506181,76.99201863139164,86.63491045076444,76.69292968954373,83.84798271313568,86.2073064361976
49,78.49322451661301,86.22856971506181,76.99201863139164,87.20424506543311,76.69292968954373,83.84798271313568,86.2073064361976
50,80.18862884292359,87.58204918962625,78.96251807033416,87.78684672250313,78.47529611709834,84.85772391739727,86.91297072713776
51,80.18862884292359,87.58204918962625,78.96251807033416,88.31140773248816,78.47529611709834,84.85772391739727,86.91297072713776
52,81.70048384157836,88.79784562163597,80.82540287501679,88.80004620733526,79.91439532228833,85.85906193764207,87.68379279669439
53,81.70048384157836,88.79784562163597,80.82540287501679,89.23001918378769,79.91439532228833,85.85906193764207,87.68379279669439
54,83.0587247071485,89.775974719463,82.52591679750637,89.65254851635395,81.23032708015545,86.66268203742764,88.31669202139527
55,83.0587247071485,89.775974719463,82.52591679750637,90.06028067222249,81.23032708015545,86.66268203742764,88.31669202139527
56,84.36715676852744,90.64874616776407,84.16980831509288,90.40569961263876,82.4930044641045,87.41542219127507,88.91720315032119
57,84.36715676852744,90.64874616776407,84.16980831509288,90.75153787144282,82.4930044641045,87.41542219127507,88.91720315032119
58,85.54828462221279,91.40610475053785,85.53985638282104,91.06859995584588,83.62366960270975,88.0824546105848,89.45126283670199
59,85.54828462221279,91.40610475053785,85.53985638282104,91.3846810167032,83.62366960270975,88.0824546105848,89.45126283670199
60,86.65200529104553,92.0710298647076,86.77800765546266,91.67283180584603,84.44734356791997,88.72313622518843,89.96569905496024
61,86.65200529104553,92.0710298647076,86.77800765546266,91.94734439133208,84.44734356791997,88.72313622518843,89.96569905496024
62,87.46017658148061,92.68964569841108,87.80210173022661,92.18059743260164,85.33597687406944,89.26255796572777,90.31650748206408
63,87.46017658148061,92.68964569841108,87.80210173022661,92.42240359563425,85.33597687406944,89.26255796572777,90.31650748206408
64,88.28671373772673,93.22150762968708,88.72642074564806,92.68418508110287,86.14682606431825,89.79358087325132,90.73912039201363
65,88.28671373772673,93.22150762968708,88.72642074564806,92.9115490343573,86.14682606431825,89.79358087325132,90.73912039201363
66,89.0171113370986,93.69285970654748,89.61516727531901,93.11534617274722,86.89221806631042,90.31064154990652,91.13007966083121
67,89.0171113370986,93.69285970654748,89.61516727531901,93.31832080338465,86.89221806631042,90.31064154990652,91.13007966083121
68,89.59801272949841,94.10793012179707,90.3880717825642,93.49229036141413,87.57304356947853,90.74258435977443,91.51473226608191
69,89.59801272949841,94.10793012179707,90.3880717825642,93.65806300850517,87.57304356947853,90.74258435977443,91.51473226608191
70,90.18114375848728,94.48538286645945,91.10607258043444,93.82161197611943,88.1943304654215,91.12835444977416,91.85649591918941
71,90.18114375848728,94.48538286645945,91.10607258043444,93.97235032989121,88.1943304654215,91.12835444977416,91.85649591918941
72,90.65713991665709,94.80092505087863,91.75092792151082,94.1189759557041,88.76255023111455,91.50964780508558,92.22096711096442
73,90.65713991665709,94.80092505087863,91.75092792151082,94.26747629705595,88.76255023111455,91.50964780508558,92.22096711096442
74,91.14687493662126,95.10296134123364,92.32653839320743,94.41388134675304,89.34394211225012,91.86581391923114,92.54029184710647
75,91.14687493662126,95.10296134123364,92.32653839320743,94.54731093861201,89.34394211225012,91.86581391923114,92.54029184710647
76,91.589758334547,95.38114809674084,92.85540650294921,94.66356702177275,89.78443552845951,92.16515283431437,92.84083994119347
77,91.589758334547,95.38114809674084,92.85540650294921,94.78643294180615,89.78443552845951,92.16515283431437,92.84083994119347
78,91.98558812996689,95.62919555659266,93.34297330432148,94.91459708200556,90.20704997884593,92.46020346536717,93.11500235852202
79,91.98558812996689,95.62919555659266,93.34297330432148,95.02848281570975,90.20704997884593,92.46020346536717,93.11500235852202
80,92.3801172075373,95.84715719284031,93.77080847246111,95.14051857560021,90.54296280517465,92.75447004287292,93.40298650382816
81,92.3801172075373,95.84715719284031,93.77080847246111,95.2411972676913,90.54296280517465,92.75447004287292,93.40298650382816
82,92.72125503694487,96.03607768599198,94.15566947017969,95.33760526350274,90.97349034854064,93.02013898500533,93.65458126094579
83,92.72125503694487,96.03607768599198,94.15566947017969,95.42864448532737,90.97349034854064,93.02013898500533,93.65458126094579
84,93.04014142206474,96.20721799332807,94.52853879887722,95.51926068250906,91.40152030067316,93.29831324908216,93.85115261265499
85,93.04014142206474,96.20721799332807,94.52853879887722,95.59919811148387,91.40152030067316,93.29831324908216,93.85115261265499
86,93.36094465577823,96.37378301641733,94.85070790450449,95.6691043280788,91.73473744087374,93.55491017729145,94.06455489675639
87,93.36094465577823,96.37378301641733,94.85070790450449,95.75160218094025,91.73473744087374,93.55491017729145,94.06455489675639
88,93.62061694442674,96.51718421554882,95.15660206608877,95.81996267274401,92.07477116294167,93.76691787854114,94.28662400670744
89,93.62061694442674,96.51718421554882,95.15660206608877,95.8969329789109,92.07477116294167,93.76691787854114,94.28662400670744
90,93.86233578000922,96.6550428487163,95.42690502500791,95.96727517411946,92.40460245806075,93.99707885104802,94.46890347037512
91,93.86233578000922,96.6550428487163,95.42690502500791,96.0334062365039,92.40460245806075,93.99707885104802,94.46890347037512
92,94.09523607961123,96.77566622968385,95.68807843800498,96.10116491852638,92.67794574277136,94.20944105310181,94.66589785938308
93,94.09523607961123,96.77566622968385,95.68807843800498,96.1694013694744,92.67794574277136,94.20944105310181,94.66589785938308
94,94.29560456979907,96.90083149217166,95.93022052685684,96.22742654798535,92.95968953049858,94.39697448138197,94.84928183382624
95,94.29560456979907,96.90083149217166,95.93022052685684,96.28543241927801,92.95968953049858,94.39697448138197,94.84928183382624
96,94.4955455196132,97.00024313216795,96.14992632483784,96.34326422724047,93.2217267184758,94.59298242660697,95.00296249622347
97,94.4955455196132,97.00024313216795,96.14992632483784,96.39868536130717,93.2217267184758,94.59298242660697,95.00296249622347
98,94.70533412239007,97.10776913108751,96.36675544706979,96.45029488942659,93.4518322438572,94.76860698466635,95.16841713632569
99,94.70533412239007,97.10776913108751,96.36675544706979,96.50193666471819,93.4518322438572,94.76860698466635,95.16841713632569
100,94.87323203916625,97.19367390343668,96.56534545721492,96.54725788188483,93.58309561946464,94.94122166543904,95.31117851844493
101,94.87323203916625,97.19367390343668,96.56534545721492,96.59102599112492,93.58309561946464,94.94122166543904,95.31117851844493
102,95.0423773410862,97.29027405532905,96.75272245628682,96.63234216546412,93.79285801629105,95.09198454739865,95.48628345524631
103,95.0423773410862,97.29027405532905,96.75272245628682,96.67454971442669,93.79285801629105,95.09198454739865,95.48628345524631
104,95.21157960064761,97.36689074555463,96.92306482843894,96.72375401025663,94.032867448444,95.25519480550798,95.63178384225414
105,95.21157960064761,97.36689074555463,96.92306482843894,96.76606456570565,94.032867448444,95.25519480550798,95.63178384225414
106,95.36976947933351,97.4462379767274,97.08278248853338,96.80441138166604,94.2313112444889,95.39893527319063,95.7602050662259
107,95.36976947933351,97.4462379767274,97.08278248853338,96.83905912624962,94.2313112444889,95.39893527319063,95.7602050662259
108,95.530184356875,97.52278069475648,97.24116133281701,96.87645153223839,94.45001794293685,95.5416430159115,95.89036573700012
109,95.530184356875,97.52278069475648,97.24116133281701,96.9133370331836,94.45001794293685,95.5416430159115,95.89036573700012
110,95.66406193824456,97.58276228428998,97.38164556225273,96.94471982921488,94.66027380163106,95.65766139514481,96.03058813594654
111,95.66406193824456,97.58276228428998,97.38164556225273,96.98482289395666,94.66027380163106,95.65766139514481,96.03058813594654
112,95.78240669356184,97.64545430253729,97.51069114312808,97.02290926748707,94.82785750687138,95.77805117807027,96.14606961627481
