Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,62.81864293310093,62.317035151763825,62.869823061819154,64.2102298803057,62.618579506654434,62.84185072900503,62.67143327152429
1,62.81864293310093,62.317035151763825,62.869823061819154,64.2102298803057,62.618579506654434,62.84185072900503,62.67143327152429
2,62.81864293310093,64.93535783376257,65.78754159953166,64.2102298803057,65.52280145252595,65.80510631200282,65.4060600731853
3,62.81864293310093,64.93535783376257,65.78754159953166,63.63572708068869,65.52280145252595,65.80510631200282,65.4060600731853
4,65.37010165996152,68.19800973049837,68.47209886875463,64.59017191781959,68.30281074240176,69.35409921574231,70.22803155514727
5,65.37010165996152,68.19800973049837,68.47209886875463,65.76200720847656,68.30281074240176,69.35409921574231,70.22803155514727
6,67.87091941193415,71.25985488298932,70.65443174064887,67.18233287909779,70.87812005563124,72.50225836226595,73.50885036209621
7,67.87091941193415,71.25985488298932,70.65443174064887,68.71204728284386,70.87812005563124,72.50225836226595,73.50885036209621
8,70.44446950004081,73.95986175418089,73.14641625802545,70.2019221154676,73.16144641136756,75.14958095029375,76.40136948697862
9,70.44446950004081,73.95986175418089,73.14641625802545,71.6675631203668,73.16144641136756,75.14958095029375,76.40136948697862
10,72.83580772892385,76.2631453878966,74.9899466319377,73.20545076688894,74.9793243995514,77.55373393578897,78.57751030101454
11,72.83580772892385,76.2631453878966,74.9899466319377,74.4673526804549,74.9793243995514,77.55373393578897,78.57751030101454
12,74.80765829489951,78.18247950545378,76.61736560143176,75.59716252908343,76.53642872362536,79.24585633082954,80.35991772283862
13,74.80765829489951,78.18247950545378,76.61736560143176,76.62573564284843,76.53642872362536,79.24585633082954,80.35991772283862
14,76.4579698353202,79.7202671943532,77.98658047976312,77.63973141658508,77.96694829457265,80.7521002531433,81.67409415366073
15,76.4579698353202,79.7202671943532,77.98658047976312,78.42847932420162,77.96694829457265,80.7521002531433,81.67409415366073
