Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize100//,data//output//runtimePerformance//DECMO2//SolutionSetSize100//,data//output//runtimePerformance//DECMO2++//SolutionSetSize100//,data//output//runtimePerformance//SPEA2//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//NSGA2//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//
0,36.19618646604007,35.136496781153966,37.010043371093424,36.06050684283288,34.498223170190954,36.601272403720905,36.94432046518773
1,43.6839937909825,42.64465525565412,43.87237089863298,36.06050684283288,42.83490960718962,44.708325930178304,41.433489323137714
2,50.74524005222122,52.78810441842732,56.29923594771109,44.238669465245906,49.99606696246288,53.15687236174244,43.15981530843943
3,56.82967243297905,61.26823959849676,65.49943507385584,51.6292313668079,55.92581471241309,60.233838621597855,42.35998059335811
4,62.45104925058092,68.4477994296008,73.08394956039255,58.60303845129098,61.2290384877222,66.66087250871531,43.35896624002345
5,67.7135083462208,74.56818917148337,78.67675458379232,65.02885225409247,65.62867223782543,71.97789888472433,46.43753373149594
6,72.85501268201126,79.26475704065386,82.69226279584716,70.52272208520178,70.17749214138277,76.56964171329493,49.22194829205554
7,76.88525371405093,82.54274221558515,85.3092587449944,75.40402483429838,74.53711387778942,80.20134389378859,52.51651761997756
8,80.16189517057212,85.15584226044093,87.05853357450042,79.16604097824033,78.24257613547928,83.17727160735335,55.34791395350649
9,82.92181691511313,86.95881415999102,88.29908208586635,82.21903310428512,81.34077759117925,85.47672762359005,57.05845429446493
10,85.07386376283871,88.34281906472042,89.17504943714216,84.65127468738758,83.97101464467542,87.219023480285,59.12929693946568
11,86.74682575031743,89.23364413544986,89.76552779191312,86.58316970510877,86.04293815763968,88.617587529414,61.33431934958827
12,88.11285553875597,89.94194114843388,90.3465769979545,88.03566659059263,87.7453783161302,89.71812374922906,64.02472702713193
13,89.05159374401481,90.46822987665887,90.75646225759124,89.25864429836038,89.08776867230436,90.62190593995159,65.81055227356981
14,89.81851044240662,90.8822527492154,91.11108494824614,90.15718002158391,90.19360472906085,91.29203118309545,67.67849678184888
15,90.32635881284929,91.20201793653139,91.43170234322649,90.87394116299654,91.03055337150528,91.81559645172959,69.48555582734309
16,90.75486024568477,91.48107964222584,91.63527224142365,91.46483519623611,91.6892313421215,92.17333252528516,71.53544650855032
17,91.1137079463788,91.73731626932475,91.81475301777965,91.92486199943859,92.19433142566216,92.47136929821896,73.37957901370977
18,91.37975564166263,91.97415679597967,91.99761612140581,92.30320999333502,92.58958850181519,92.69879457061745,74.79690861772784
19,91.61536786824347,92.16648455149547,92.14637490892115,92.60472014029746,92.88099307625836,92.90547144404977,76.37847853598353
20,91.80550541918255,92.33232959915236,92.24934173299643,92.83972650660907,93.12589406263652,93.07348401997066,77.74154499160342
21,92.02218686566678,92.44328147777554,92.37528855153215,93.07703383811642,93.343293979029,93.24159592143467,79.12827750696579
22,92.16988289810693,92.58699816647587,92.5215752010155,93.26842437392935,93.51563928625045,93.36512994955295,80.26147500794295
23,92.32364793490557,92.72117251117338,92.64164861829379,93.42909506132831,93.6708616964644,93.46994913054169,81.48549855934847
24,92.43270309204384,92.82712695861505,92.77438703877965,93.55785259560312,93.80413721372996,93.57516971663118,82.45399357280478
25,92.54282837298284,92.95031690456383,92.87981029514215,93.69007409637207,93.91366823023492,93.67077451349833,83.43632114004808
26,92.64364314058038,93.04699211522532,92.95273519882325,93.80057876626798,94.03021334543811,93.7775877692285,84.25484668093942
27,92.71460826204418,93.12168959083537,93.0382500601778,93.90801503767827,94.12554880654369,93.84664776133108,84.94336999437787
28,92.8138876365019,93.18591461110225,93.10969473919394,93.99794274000264,94.2080525503778,93.92230200309582,85.7206498668541
29,92.90256658299543,93.22446062827375,93.13461714837139,94.08646790554131,94.28858377439006,94.01234759353471,86.38966900966811
30,92.91379533998436,93.26247487357362,93.1663626559115,94.15665332665253,94.36077482259546,94.06830850350461,86.95775298215554
31,92.98098947100341,93.35119084167272,93.23451370966241,94.22682950653561,94.43503082737821,94.12844609713851,87.51409438859508
32,93.05700347157129,93.39567278663046,93.2766062160443,94.30274692454218,94.48993669740395,94.16826245627846,88.00757254725075
33,93.1240725973874,93.45925399414428,93.36843258713623,94.35490764423372,94.54703165854478,94.20677726141953,88.43030222713867
34,93.16633389699223,93.52958481248176,93.47235889054963,94.41596145003699,94.59826643091893,94.27129644996087,88.83676283426342
35,93.21437944088225,93.61996233390786,93.56504182684246,94.47471593286234,94.6556659944058,94.31482293141079,89.24644320818227
36,93.27467540503736,93.69621646362859,93.6695612933386,94.53772320614937,94.7072045144615,94.36939125033469,89.56282764660753
37,93.32564521840303,93.77613277751108,93.77249179864387,94.59144144970381,94.76229336319085,94.41058374039552,89.89646728381504
38,93.35577898522286,93.88502668405272,93.88124647763664,94.64139754579291,94.79223481633444,94.4508295694164,90.17860321801943
39,93.39738992592437,93.96567249919788,93.97378005713384,94.68939374669867,94.84207076793871,94.49063549241544,90.44152071420169
40,93.40824682741801,94.04312725939269,94.07888892708219,94.7228276514446,94.8847235660702,94.53851375326242,90.66527739937088
41,93.4622061631494,94.11505682962348,94.15592152576369,94.77304466863082,94.92083400398715,94.59144859382045,90.89991638145969
42,93.51923069781078,94.18325655139836,94.2342438023989,94.82071893683687,94.9623982377169,94.63742096863128,91.11829355121365
43,93.54486462411813,94.24878134064778,94.31475606175144,94.8572276941128,95.00061798107086,94.66812900126041,91.31319481905665
44,93.56617902139875,94.31471277670549,94.38887872770928,94.89844768592076,95.03651004172376,94.70891738813854,91.49908598488697
45,93.55910356017942,94.35467085987479,94.45645774977147,94.92967181789386,95.06416860893545,94.75960801940698,91.6913699143469
46,93.56688749731758,94.41102286663931,94.51032716425719,94.97036980398269,95.102326162054,94.79707457754512,91.81671383511204
47,93.61672666400126,94.47127882089961,94.57560152053478,95.01757860225754,95.13462178690547,94.8281482057906,91.96579705977199
48,93.65305021867218,94.514875887609,94.63723067897136,95.04627688079096,95.1710127594323,94.87948475565118,92.07460623984228
49,93.68147433391616,94.55680375459353,94.6789124016221,95.09363645561137,95.19526033049428,94.88494374046675,92.22417157348532
50,93.67444383314348,94.59677918575036,94.72290319363542,95.12214293742488,95.22870701901793,94.92727391043654,92.33428129530597
51,93.7070405352974,94.63526473492219,94.77229650023911,95.15120724039274,95.25709852180047,94.95510369097907,92.43702808829532
52,93.74760592545981,94.6824034217723,94.81488745343798,95.17953760099999,95.28297186462619,94.97805612904413,92.51187683175537
53,93.77431169041523,94.72248746169895,94.85752527447723,95.21382128728577,95.32374172545516,95.0109140200696,92.61025120148253
54,93.79780111375719,94.77388647613246,94.89138044251443,95.23158757975969,95.35823644134341,95.02808167583105,92.69761699645281
55,93.78701181785522,94.81671908734918,94.9278021467701,95.26899555138691,95.38319498380002,95.05321234355841,92.79243185229213
