Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//
0,11.802571217113424,11.748458871976613,11.766359970902057,11.671433576901148,11.722385060687394,11.76790550052828,11.720621822157131
1,11.802571217113424,11.748458871976613,11.766359970902057,11.671433576901148,11.722385060687394,11.76790550052828,11.720621822157131
2,13.399923508215549,13.36056962542239,13.314824254254136,11.671433576901148,13.388102841166774,13.200389740896323,12.60576018714193
3,13.399923508215549,13.36056962542239,13.314824254254136,11.671433576901148,13.388102841166774,13.200389740896323,13.217061247546551
4,14.870968929966768,15.35103766979165,15.888237007659985,13.086327753293332,14.781634575162014,14.781141345615302,13.832576666528782
5,14.870968929966768,15.35103766979165,15.888237007659985,13.086327753293332,14.781634575162014,14.781141345615302,14.53623725451384
6,16.328307978029088,17.315850668159154,18.303090406004106,14.530305213672854,16.122139982926893,16.435835366256494,15.390959481774873
7,16.328307978029088,17.315850668159154,18.303090406004106,14.530305213672854,16.122139982926893,16.435835366256494,16.342713438875872
8,17.729824417931372,19.419465695383447,20.714439896519227,16.06017004022598,17.408301091504843,18.183381599472757,17.35173711334075
9,17.729824417931372,19.419465695383447,20.714439896519227,16.06017004022598,17.408301091504843,18.183381599472757,18.34654723715526
10,19.264258445566988,21.567355294801352,23.16208884558966,17.60497940154388,18.696246118945588,19.961689402429823,19.423497666606345
11,19.264258445566988,21.567355294801352,23.16208884558966,17.60497940154388,18.696246118945588,19.961689402429823,20.39673007185832
12,20.820083974031196,23.650698013850505,25.53246927889458,19.2339713992422,19.963112712904895,21.779278716726164,21.332633582129866
13,20.820083974031196,23.650698013850505,25.53246927889458,19.2339713992422,19.963112712904895,21.779278716726164,22.22325965059259
14,22.334563844989937,25.696593425261,27.78307508094098,20.803202032595934,21.263467008297106,23.58406776322081,23.051017896928634
15,22.334563844989937,25.696593425261,27.78307508094098,20.803202032595934,21.263467008297106,23.58406776322081,23.880015577626097
16,23.751852225177785,27.558919917381022,29.83924039845198,22.421984352355587,22.551351740188043,25.209455439058317,24.677187110760133
17,23.751852225177785,27.558919917381022,29.83924039845198,22.421984352355587,22.551351740188043,25.209455439058317,25.501477940256883
18,25.16211997652696,29.34108026482765,31.754967213506923,23.988349451063506,23.850911102349315,26.763625084046048,26.275468141512768
19,25.16211997652696,29.34108026482765,31.754967213506923,23.988349451063506,23.850911102349315,26.763625084046048,27.02078762276705
20,26.47989193872198,31.019541430658233,33.69685673855298,25.450756409008232,25.025871665336695,28.161112004740755,27.740340224601358
21,26.47989193872198,31.019541430658233,33.69685673855298,25.450756409008232,25.025871665336695,28.161112004740755,28.466895411067476
22,27.93824416100201,32.582662090496754,35.6006577861918,26.834030341426946,26.235024920599148,29.495925835401398,29.130110285045273
23,27.93824416100201,32.582662090496754,35.6006577861918,26.834030341426946,26.235024920599148,29.495925835401398,29.784398146636175
24,29.241772194905046,34.14438472728861,37.56374370121213,28.222872168214263,27.3820493997506,30.839050464828503,30.387542667398055
25,29.241772194905046,34.14438472728861,37.56374370121213,28.222872168214263,27.3820493997506,30.839050464828503,31.01061064082561
26,30.496542319639865,35.74477575952614,39.52591859910488,29.451772855678026,28.45722807523526,32.124704462330016,31.624466450837904
27,30.496542319639865,35.74477575952614,39.52591859910488,29.451772855678026,28.45722807523526,32.124704462330016,32.20868401253979
28,31.713634309533997,37.38926203773343,41.563828308280605,30.71754530399441,29.5050552930189,33.379265246110805,32.73935731657343
29,31.713634309533997,37.38926203773343,41.563828308280605,30.71754530399441,29.5050552930189,33.379265246110805,33.28724973227477
30,32.89417031026571,39.14866361849928,43.57340684339959,31.940328749562404,30.521827192787256,34.62955871398648,33.81407526709682
31,32.89417031026571,39.14866361849928,43.57340684339959,31.940328749562404,30.521827192787256,34.62955871398648,34.303558554722116
32,34.070154685630705,40.939051289736355,45.70377688207699,33.219529617177365,31.510593575046098,35.865765769043676,34.77168257997938
33,34.070154685630705,40.939051289736355,45.70377688207699,33.219529617177365,31.510593575046098,35.865765769043676,35.25714338351801
34,35.23921323755865,42.83739456618671,47.75639018216192,34.431350709853774,32.46496149029818,37.15110089957642,35.683410953198134
35,35.23921323755865,42.83739456618671,47.75639018216192,34.431350709853774,32.46496149029818,37.15110089957642,36.148362252729676
36,36.4443187483279,44.725702701067796,49.843225755725044,35.67882230032734,33.5067630618857,38.388641095141416,36.58616950570172
37,36.4443187483279,44.725702701067796,49.843225755725044,35.67882230032734,33.5067630618857,38.388641095141416,37.01647979810034
38,37.5876795198144,46.6776681467133,51.81574004943224,36.88358799457422,34.544744335717894,39.62248835880513,37.43179633072429
39,37.5876795198144,46.6776681467133,51.81574004943224,36.88358799457422,34.544744335717894,39.62248835880513,37.86856512650015
40,38.77574610883734,48.519394452884434,53.85763179736401,38.10765466857155,35.67258468828463,40.79693407006648,38.29447916515256
41,38.77574610883734,48.519394452884434,53.85763179736401,38.10765466857155,35.67258468828463,40.79693407006648,38.699501261428935
42,40.00002585703393,50.37384778735974,55.9134928895973,39.33932844366657,36.9014166597354,41.91445548357066,39.075294251564856
43,40.00002585703393,50.37384778735974,55.9134928895973,39.33932844366657,36.9014166597354,41.91445548357066,39.504156002345624
44,41.262416346060206,52.28009773250204,57.92831561722927,40.5162657482083,38.18370818988493,43.0024861193331,39.89597958219384
45,41.262416346060206,52.28009773250204,57.92831561722927,40.5162657482083,38.18370818988493,43.0024861193331,40.283017111768295
46,42.48134556189231,54.06478778442558,59.921089667486164,41.633275386636505,39.51971033142811,44.04096591885885,40.667233829091906
47,42.48134556189231,54.06478778442558,59.921089667486164,41.633275386636505,39.51971033142811,44.04096591885885,41.05863173424438
48,43.701707488007344,55.9593238774586,61.725010012450625,42.70696863942498,40.79256663597,45.055785989313826,41.407682821878375
49,43.701707488007344,55.9593238774586,61.725010012450625,42.70696863942498,40.79256663597,45.055785989313826,41.77059054751784
50,44.9252867797296,57.69591956162915,63.28219284176258,43.77094038400134,41.90715162485084,46.011241824057926,42.15243507423394
51,44.9252867797296,57.69591956162915,63.28219284176258,43.77094038400134,41.90715162485084,46.011241824057926,42.52119324730022
52,46.357738323441644,59.36537599150111,64.7085526487658,44.81124561263862,42.99923726947004,46.94289761685162,42.88850650591215
53,46.357738323441644,59.36537599150111,64.7085526487658,44.81124561263862,42.99923726947004,46.94289761685162,43.24379750559491
54,47.74152419421001,60.939124829983285,65.92848018839142,45.775468242023436,44.03144840050353,47.83845948525864,43.57186383605023
55,47.74152419421001,60.939124829983285,65.92848018839142,45.775468242023436,44.03144840050353,47.83845948525864,43.93861523695883
56,49.05392099374562,62.21809311677227,67.04312001263139,46.711012578657986,45.03221070671335,48.70458573866179,44.26729980554027
57,49.05392099374562,62.21809311677227,67.04312001263139,46.711012578657986,45.03221070671335,48.70458573866179,44.58649714567909
58,50.28085077867923,63.484641185832714,68.02596372900922,47.617759453403195,46.08319368690554,49.52244783042194,44.911479618658504
59,50.28085077867923,63.484641185832714,68.02596372900922,47.617759453403195,46.08319368690554,49.52244783042194,45.24205998760291
60,51.50579201529075,64.5981369136519,68.93534595648187,48.48244506030962,47.16587865406997,50.31471320284949,45.5554987926925
61,51.50579201529075,64.5981369136519,68.93534595648187,48.48244506030962,47.16587865406997,50.31471320284949,45.88309750616446
62,52.80502939384914,65.61323391266812,69.79117712956169,49.29219543628337,48.255041309974345,51.10307758551025,46.19665177447467
63,52.80502939384914,65.61323391266812,69.79117712956169,49.29219543628337,48.255041309974345,51.10307758551025,46.55057254261338
64,53.965579569030304,66.53036392951479,70.59617828182017,50.0459947815791,49.333493775504,51.83560321456512,46.880708896723796
65,53.965579569030304,66.53036392951479,70.59617828182017,50.0459947815791,49.333493775504,51.83560321456512,47.22232584969431
66,55.09236242534789,67.35476613194349,71.36282516176273,50.745910068108,50.336514864193674,52.53804049905115,47.55266309687471
67,55.09236242534789,67.35476613194349,71.36282516176273,50.745910068108,50.336514864193674,52.53804049905115,47.85355943364427
68,56.105638058834316,68.11710190801156,72.14261827259683,51.44094502532357,51.35800820337268,53.23093445543264,48.1473376057003
69,56.105638058834316,68.11710190801156,72.14261827259683,51.44094502532357,51.35800820337268,53.23093445543264,48.42145730687999
70,57.14418759685465,68.86704605515338,72.82808594198815,52.090175717156605,52.329142979653426,53.8746964024454,48.71913284586459
71,57.14418759685465,68.86704605515338,72.82808594198815,52.090175717156605,52.329142979653426,53.8746964024454,49.01508903040448
72,58.1196863672297,69.55678942408768,73.51944319531306,52.70910761670506,53.22251834421177,54.501443133862786,49.347716181038635
73,58.1196863672297,69.55678942408768,73.51944319531306,52.70910761670506,53.22251834421177,54.501443133862786,49.61893208541811
74,59.106294047812575,70.22275620489503,74.15491377869387,53.312260283279315,54.071392380722806,55.09287047731879,49.92966631245769
75,59.106294047812575,70.22275620489503,74.15491377869387,53.312260283279315,54.071392380722806,55.09287047731879,50.22612287132068
76,60.09155152194013,70.86551962750775,74.81539340337419,53.89021155871932,54.90023973651987,55.66973861049122,50.52252320998403
77,60.09155152194013,70.86551962750775,74.81539340337419,53.89021155871932,54.90023973651987,55.66973861049122,50.81873349177487
78,61.09578388746365,71.46140787608807,75.46331845245668,54.455622779274115,55.71386358241354,56.23068832895941,51.07989798609244
79,61.09578388746365,71.46140787608807,75.46331845245668,54.455622779274115,55.71386358241354,56.23068832895941,51.36799273539042
80,61.99328951941998,72.05473325927166,76.08218342807447,55.00509506169741,56.49047157281704,56.785715281394694,51.69776074448561
81,61.99328951941998,72.05473325927166,76.08218342807447,55.00509506169741,56.49047157281704,56.785715281394694,52.007762697763525
82,62.98791521293795,72.70159979781629,76.62977371580253,55.55495384377791,57.21991747036967,57.31947227481276,52.28492554317219
83,62.98791521293795,72.70159979781629,76.62977371580253,55.55495384377791,57.21991747036967,57.31947227481276,52.54136023363237
84,63.867780553906,73.30303539440656,77.17799832540216,56.04333095735513,57.914665071680126,57.849578130988824,52.82537727294239
85,63.867780553906,73.30303539440656,77.17799832540216,56.04333095735513,57.914665071680126,57.849578130988824,53.090717019865075
86,64.65688888410577,73.92069322976732,77.664588210128,56.547446179736035,58.61229873493366,58.35495800899712,53.36898114663062
87,64.65688888410577,73.92069322976732,77.664588210128,56.547446179736035,58.61229873493366,58.35495800899712,53.62443743660528
88,65.39421760379284,74.60017531766391,78.12796042438096,57.00668352891141,59.28069019919311,58.82312629111929,53.88811514796201
89,65.39421760379284,74.60017531766391,78.12796042438096,57.00668352891141,59.28069019919311,58.82312629111929,54.140302320244054
90,66.09918628029199,75.2321475188522,78.53149055709201,57.4548402601384,59.911425633647205,59.289246607433896,54.355229747660616
