Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize300//,data//output//runtimePerformance//DECMO2//SolutionSetSize300//,data//output//runtimePerformance//DECMO2++//SolutionSetSize300//,data//output//runtimePerformance//SPEA2//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//NSGA2//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
0,0.5776672587381156,0.4119155710401897,0.3549594679097166,0.4074811727256267,0.46583330058748734,0.5544589595154488,0.3667672883866375
1,0.5776672587381156,0.4119155710401897,0.3549594679097166,0.4074811727256267,0.46583330058748734,0.5544589595154488,0.3667672883866375
2,0.5776672587381156,0.4119155710401897,0.3549594679097166,0.4074811727256267,0.46583330058748734,0.5544589595154488,0.3667672883866375
3,1.0067709783436254,0.6880359566376061,0.8933466611659703,0.4074811727256267,0.931815128574341,1.047522891123143,1.4970692937317738
4,1.0067709783436254,0.6880359566376061,0.8933466611659703,0.4074811727256267,0.931815128574341,1.047522891123143,1.902735938442236
5,1.0067709783436254,0.6880359566376061,0.8933466611659703,0.4074811727256267,0.931815128574341,1.047522891123143,2.9223120456460414
6,1.7911747070234523,2.2811197843699746,2.997634283826362,0.811634274949849,1.6226041901666315,2.5083596265256505,3.948809330653906
7,1.7911747070234523,2.2811197843699746,2.997634283826362,0.811634274949849,1.6226041901666315,2.5083596265256505,5.3166920623796
8,1.7911747070234523,2.2811197843699746,2.997634283826362,0.811634274949849,1.6226041901666315,2.5083596265256505,7.858874296287937
9,3.538581543663233,5.16286855499528,7.099265568946089,1.9441160556324701,2.8437098815089157,4.764020021858346,11.282653729224515
10,3.538581543663233,5.16286855499528,7.099265568946089,1.9441160556324701,2.8437098815089157,4.764020021858346,14.78060595049224
11,3.538581543663233,5.16286855499528,7.099265568946089,1.9441160556324701,2.8437098815089157,4.764020021858346,18.719949239059183
12,5.572717267733414,8.981974345812095,12.529005358449288,3.977234831096326,5.0886935281699355,8.51349735093876,22.479253710280872
13,5.572717267733414,8.981974345812095,12.529005358449288,3.977234831096326,5.0886935281699355,8.51349735093876,26.93694175997753
14,5.572717267733414,8.981974345812095,12.529005358449288,3.977234831096326,5.0886935281699355,8.51349735093876,31.744261649521665
15,9.579796591221976,14.05377082357098,18.9457691802357,6.692333340337061,7.646058824180867,13.628548703325558,36.4091224547687
16,9.579796591221976,14.05377082357098,18.9457691802357,6.692333340337061,7.646058824180867,13.628548703325558,41.03656611735961
17,9.579796591221976,14.05377082357098,18.9457691802357,6.692333340337061,7.646058824180867,13.628548703325558,45.44297218975795
18,13.336079570315585,20.914832300805198,27.849170317171072,10.884904466475037,10.65208480534842,19.374670187784336,49.036976481801354
19,13.336079570315585,20.914832300805198,27.849170317171072,10.884904466475037,10.65208480534842,19.374670187784336,52.66951808309845
20,13.336079570315585,20.914832300805198,27.849170317171072,10.884904466475037,10.65208480534842,19.374670187784336,56.19071128780756
21,17.818071354946195,27.330820690282646,35.6941308096466,15.868818747456464,14.634094677908246,25.74724427672046,59.071420982732135
22,17.818071354946195,27.330820690282646,35.6941308096466,15.868818747456464,14.634094677908246,25.74724427672046,61.98723121851288
23,17.818071354946195,27.330820690282646,35.6941308096466,15.868818747456464,14.634094677908246,25.74724427672046,64.77579770786338
24,23.125413772120822,34.816975051442455,43.4290358503387,21.340663216196187,19.456196075963287,32.822580191165166,67.15478831799315
25,23.125413772120822,34.816975051442455,43.4290358503387,21.340663216196187,19.456196075963287,32.822580191165166,69.15089032559165
26,23.125413772120822,34.816975051442455,43.4290358503387,21.340663216196187,19.456196075963287,32.822580191165166,71.30623607550423
27,27.90691537798553,41.42563757355771,50.73024399650863,26.461109621692593,24.720679117410686,39.490373349431806,73.22491346985636
28,27.90691537798553,41.42563757355771,50.73024399650863,26.461109621692593,24.720679117410686,39.490373349431806,75.01108696502511
29,27.90691537798553,41.42563757355771,50.73024399650863,26.461109621692593,24.720679117410686,39.490373349431806,76.60681264831875
30,33.358377485402976,47.80544270063106,57.11551766896118,32.10381658042543,30.02545852021629,45.35484077969333,78.08237470771044
31,33.358377485402976,47.80544270063106,57.11551766896118,32.10381658042543,30.02545852021629,45.35484077969333,79.31522611104974
32,33.358377485402976,47.80544270063106,57.11551766896118,32.10381658042543,30.02545852021629,45.35484077969333,80.57356228585
33,38.48510231684962,53.57562137636139,62.67311398399043,37.566666169638275,34.452408264383365,50.9466460732152,81.70642442274905
34,38.48510231684962,53.57562137636139,62.67311398399043,37.566666169638275,34.452408264383365,50.9466460732152,82.70397218796924
35,38.48510231684962,53.57562137636139,62.67311398399043,37.566666169638275,34.452408264383365,50.9466460732152,83.60904722218038
36,43.10538215669865,59.09735809872293,67.7142089715756,42.697726279560754,39.20149562569358,56.43725622137976,84.3798871411548
37,43.10538215669865,59.09735809872293,67.7142089715756,42.697726279560754,39.20149562569358,56.43725622137976,85.11014205041143
38,43.10538215669865,59.09735809872293,67.7142089715756,42.697726279560754,39.20149562569358,56.43725622137976,85.83258313399119
39,47.642630747457225,63.63030354183562,72.01213797774892,47.70825454988981,43.79000359418272,61.035563657938184,86.52062525048262
40,47.642630747457225,63.63030354183562,72.01213797774892,47.70825454988981,43.79000359418272,61.035563657938184,87.07581295287494
41,47.642630747457225,63.63030354183562,72.01213797774892,47.70825454988981,43.79000359418272,61.035563657938184,87.70876924853359
42,52.01978167214924,67.60547671419236,75.46463367908514,52.522570076175114,48.366195210330865,65.57062056657102,88.21571941588766
43,52.01978167214924,67.60547671419236,75.46463367908514,52.522570076175114,48.366195210330865,65.57062056657102,88.68982675924951
44,52.01978167214924,67.60547671419236,75.46463367908514,52.522570076175114,48.366195210330865,65.57062056657102,89.1295120152108
45,55.65812673533102,71.26976313275294,78.23132454386341,56.851805178055734,52.957173962124095,69.80821059787917,89.51327098372346
46,55.65812673533102,71.26976313275294,78.23132454386341,56.851805178055734,52.957173962124095,69.80821059787917,89.88825169906352
47,55.65812673533102,71.26976313275294,78.23132454386341,56.851805178055734,52.957173962124095,69.80821059787917,90.2739472394948
48,59.58449148182676,74.42791959845351,80.59087916008473,61.046283932670875,57.10326641005003,73.26552463084958,90.57824427359755
49,59.58449148182676,74.42791959845351,80.59087916008473,61.046283932670875,57.10326641005003,73.26552463084958,90.8635588544774
50,59.58449148182676,74.42791959845351,80.59087916008473,61.046283932670875,57.10326641005003,73.26552463084958,91.16200279929079
