Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize300//,data//output//runtimePerformance//DECMO2//SolutionSetSize300//,data//output//runtimePerformance//DECMO2++//SolutionSetSize300//,data//output//runtimePerformance//SPEA2//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//NSGA2//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.09448808304611672
10,0.0,0.0,0.0,0.0,0.0,0.0,0.14128678128556052
11,0.0,0.0,0.0,0.0,0.0,0.0,0.2415583639715744
12,0.0,0.0,0.0,0.0,0.0,0.0,0.3233963861041135
13,0.0,0.0,0.0,0.0,0.0,0.0,0.6031550063435972
14,0.0,0.0,0.0,0.0,0.0,0.0,0.7549099999803075
15,0.0,0.0,0.0,0.0,0.0,0.0,1.1436907305172554
16,0.0,0.0,0.0,0.0,0.0,0.0,1.7650337895504888
17,0.0,0.0,0.0,0.0,0.0,0.0,2.697054258428314
18,0.0,0.0,0.034188437363368254,0.0,0.0,0.0,3.7951639891579347
19,0.0,0.0,0.034188437363368254,0.0,0.0,0.0,4.9825270952532055
20,0.0,0.0,0.034188437363368254,0.0,0.0,0.0,6.4309026064473365
21,0.0,0.0013374699089746785,0.27571792013212204,0.0,0.0,0.0,7.781671148352731
22,0.0,0.0013374699089746785,0.27571792013212204,0.0,0.0,0.0,9.499656277616044
23,0.0,0.0013374699089746785,0.27571792013212204,0.0,0.0,0.0,11.198584688693016
24,0.0,0.1482554124264092,0.7507498013827189,0.0,0.0,0.0,13.152817476749416
25,0.0,0.1482554124264092,0.7507498013827189,0.0,0.0,0.0,14.675002507838208
