Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.3490875252631712,0.25109950291210026,0.3040745716989474
1,0.3490875252631712,0.25109950291210026,0.3040745716989474
2,0.7221829834165905,0.5475806417429151,0.6358206536248101
3,0.7221829834165905,0.5475806417429151,0.6358206536248101
4,1.2807762802808866,1.2567619849579061,2.2086317364912094
5,1.2807762802808866,1.2567619849579061,2.2086317364912094
6,2.4247261481320255,2.983526933865999,5.026811618169175
7,2.4247261481320255,2.983526933865999,5.026811618169175
8,4.261582927318004,6.219193907390176,10.159245183237509
9,4.261582927318004,6.219193907390176,10.159245183237509
10,7.430766554687818,10.331643719108643,16.207312980127867
11,7.430766554687818,10.331643719108643,16.207312980127867
12,10.708109265262976,15.943407905128531,23.42812052459363
13,10.708109265262976,15.943407905128531,23.42812052459363
14,14.860060541619491,21.992889050894615,31.06907640013617
15,14.860060541619491,21.992889050894615,31.06907640013617
16,19.025382525570798,27.86242872305462,38.52029135438126
17,19.025382525570798,27.86242872305462,38.52029135438126
18,23.79481784236971,34.38826605491557,45.38803286384402
19,23.79481784236971,34.38826605491557,45.38803286384402
20,28.02724480818229,40.506814049759804,51.895158627002566
21,28.02724480818229,40.506814049759804,51.895158627002566
22,33.586997995855306,46.3827865761753,57.440506605608135
23,33.586997995855306,46.3827865761753,57.440506605608135
24,38.022685747782496,51.53884310162374,62.213830455593154
25,38.022685747782496,51.53884310162374,62.213830455593154
26,42.97560691227032,56.41465550932765,66.53980660756403
27,42.97560691227032,56.41465550932765,66.53980660756403
28,47.06249283963554,60.95070912974968,70.14476762858321
29,47.06249283963554,60.95070912974968,70.14476762858321
30,51.11325082964111,65.03957617162467,72.96953543037138
31,51.11325082964111,65.03957617162467,72.96953543037138
32,54.706775857942304,68.48333586878773,75.20308297909621
33,54.706775857942304,68.48333586878773,75.20308297909621
34,58.49478860420931,71.58972342264894,77.36523867484141
35,58.49478860420931,71.58972342264894,77.36523867484141
36,62.112704758015894,74.25757854411206,79.25064199825026
37,62.112704758015894,74.25757854411206,79.25064199825026
38,65.03652462559748,76.46610144979314,80.94897179041999
39,65.03652462559748,76.46610144979314,80.94897179041999
40,67.79197990458717,78.51039446015528,82.30970088392013
41,67.79197990458717,78.51039446015528,82.30970088392013
42,70.49064690354686,80.1341216600735,83.55695605718515
43,70.49064690354686,80.1341216600735,83.55695605718515
44,72.81408846776749,81.55914808377545,84.53807133336885
45,72.81408846776749,81.55914808377545,84.53807133336885
46,74.89947635491106,82.79792045786371,85.43734789255868
47,74.89947635491106,82.79792045786371,85.43734789255868
48,76.69292968954373,83.84798271313568,86.2073064361976
49,76.69292968954373,83.84798271313568,86.2073064361976
50,78.47529611709834,84.85772391739727,86.91297072713776
51,78.47529611709834,84.85772391739727,86.91297072713776
52,79.91439532228833,85.85906193764207,87.68379279669439
53,79.91439532228833,85.85906193764207,87.68379279669439
54,81.23032708015545,86.66268203742764,88.31669202139527
55,81.23032708015545,86.66268203742764,88.31669202139527
56,82.4930044641045,87.41542219127507,88.91720315032119
57,82.4930044641045,87.41542219127507,88.91720315032119
58,83.62366960270975,88.0824546105848,89.45126283670199
59,83.62366960270975,88.0824546105848,89.45126283670199
60,84.44734356791997,88.72313622518843,89.96569905496024
61,84.44734356791997,88.72313622518843,89.96569905496024
62,85.33597687406944,89.26255796572777,90.31650748206408
63,85.33597687406944,89.26255796572777,90.31650748206408
64,86.14682606431825,89.79358087325132,90.73912039201363
65,86.14682606431825,89.79358087325132,90.73912039201363
66,86.89221806631042,90.31064154990652,91.13007966083121
67,86.89221806631042,90.31064154990652,91.13007966083121
68,87.57304356947853,90.74258435977443,91.51473226608191
69,87.57304356947853,90.74258435977443,91.51473226608191
70,88.1943304654215,91.12835444977416,91.85649591918941
71,88.1943304654215,91.12835444977416,91.85649591918941
72,88.76255023111455,91.50964780508558,92.22096711096442
73,88.76255023111455,91.50964780508558,92.22096711096442
74,89.34394211225012,91.86581391923114,92.54029184710647
75,89.34394211225012,91.86581391923114,92.54029184710647
76,89.78443552845951,92.16515283431437,92.84083994119347
77,89.78443552845951,92.16515283431437,92.84083994119347
78,90.20704997884593,92.46020346536717,93.11500235852202
79,90.20704997884593,92.46020346536717,93.11500235852202
80,90.54296280517465,92.75447004287292,93.40298650382816
81,90.54296280517465,92.75447004287292,93.40298650382816
82,90.97349034854064,93.02013898500533,93.65458126094579
83,90.97349034854064,93.02013898500533,93.65458126094579
84,91.40152030067316,93.29831324908216,93.85115261265499
85,91.40152030067316,93.29831324908216,93.85115261265499
86,91.73473744087374,93.55491017729145,94.06455489675639
87,91.73473744087374,93.55491017729145,94.06455489675639
88,92.07477116294167,93.76691787854114,94.28662400670744
89,92.07477116294167,93.76691787854114,94.28662400670744
90,92.40460245806075,93.99707885104802,94.46890347037512
91,92.40460245806075,93.99707885104802,94.46890347037512
92,92.67794574277136,94.20944105310181,94.66589785938308
93,92.67794574277136,94.20944105310181,94.66589785938308
94,92.95968953049858,94.39697448138197,94.84928183382624
95,92.95968953049858,94.39697448138197,94.84928183382624
96,93.2217267184758,94.59298242660697,95.00296249622347
97,93.2217267184758,94.59298242660697,95.00296249622347
98,93.4518322438572,94.76860698466635,95.16841713632569
99,93.4518322438572,94.76860698466635,95.16841713632569
100,93.58309561946464,94.94122166543904,95.31117851844493
101,93.58309561946464,94.94122166543904,95.31117851844493
102,93.79285801629105,95.09198454739865,95.48628345524631
103,93.79285801629105,95.09198454739865,95.48628345524631
104,94.032867448444,95.25519480550798,95.63178384225414
105,94.032867448444,95.25519480550798,95.63178384225414
106,94.2313112444889,95.39893527319063,95.7602050662259
107,94.2313112444889,95.39893527319063,95.7602050662259
108,94.45001794293685,95.5416430159115,95.89036573700012
109,94.45001794293685,95.5416430159115,95.89036573700012
110,94.66027380163106,95.65766139514481,96.03058813594654
111,94.66027380163106,95.65766139514481,96.03058813594654
112,94.82785750687138,95.77805117807027,96.14606961627481
113,94.82785750687138,95.77805117807027,96.14606961627481
114,94.99772251508517,95.91872225617719,96.238081722575
115,94.99772251508517,95.91872225617719,96.238081722575
116,95.13448215703778,96.04215133735116,96.38049427342163
117,95.13448215703778,96.04215133735116,96.38049427342163
118,95.30165517441229,96.16521711503188,96.50539132525189
119,95.30165517441229,96.16521711503188,96.50539132525189
120,95.40992390511266,96.26094543280033,96.59279104676862
121,95.40992390511266,96.26094543280033,96.59279104676862
122,95.56304341048883,96.36949397567611,96.68010703529545
123,95.56304341048883,96.36949397567611,96.68010703529545
124,95.71222636750431,96.45212204431466,96.75973481450485
125,95.71222636750431,96.45212204431466,96.75973481450485
126,95.85353533596376,96.54453056997518,96.8399269069481
127,95.85353533596376,96.54453056997518,96.8399269069481
128,95.96316907294185,96.62649644029315,96.91379917755664
129,95.96316907294185,96.62649644029315,96.91379917755664
130,96.08849264446351,96.72203310809086,97.00571474924453
131,96.08849264446351,96.72203310809086,97.00571474924453
132,96.20115277184149,96.79785400693137,97.09306662907015
133,96.20115277184149,96.79785400693137,97.09306662907015
134,96.3122475187453,96.87764047806438,97.16009401966595
135,96.3122475187453,96.87764047806438,97.16009401966595
136,96.42542048826219,96.96708624978613,97.229696563498
137,96.42542048826219,96.96708624978613,97.229696563498
138,96.53073914481747,97.037675805001,97.29955359509887
139,96.53073914481747,97.037675805001,97.29955359509887
140,96.59449474315213,97.10779013350941,97.3477753561902
141,96.59449474315213,97.10779013350941,97.3477753561902
142,96.68573379109462,97.17532379978037,97.42974423073456
143,96.68573379109462,97.17532379978037,97.42974423073456
144,96.7756643959871,97.24524870815023,97.47058070545788
145,96.7756643959871,97.24524870815023,97.47058070545788
146,96.87024502482909,97.31010459944422,97.54421578024066
147,96.87024502482909,97.31010459944422,97.54421578024066
148,96.95330499742303,97.36765013560856,97.58997653057713
149,96.95330499742303,97.36765013560856,97.58997653057713
150,97.03720968000371,97.4337000306483,97.65057117963303
151,97.03720968000371,97.4337000306483,97.65057117963303
152,97.10846782112101,97.48940285281573,97.71090781973453
153,97.10846782112101,97.48940285281573,97.71090781973453
154,97.17732976293334,97.54217206404465,97.76183041446302
155,97.17732976293334,97.54217206404465,97.76183041446302
156,97.2389104795801,97.61219481846659,97.8152931562293
157,97.2389104795801,97.61219481846659,97.8152931562293
158,97.29732055005368,97.67654727708947,97.8594976785466
159,97.29732055005368,97.67654727708947,97.8594976785466
160,97.32081272031931,97.71856773566003,97.90105106835712
161,97.32081272031931,97.71856773566003,97.90105106835712
162,97.39037182539714,97.77362403885948,97.94694897547902
163,97.39037182539714,97.77362403885948,97.94694897547902
164,97.45837796559023,97.84116372389099,97.97819817327462
165,97.45837796559023,97.84116372389099,97.97819817327462
166,97.5120037929985,97.89056283354115,98.02941679548758
167,97.5120037929985,97.89056283354115,98.02941679548758
168,97.5640431394917,97.94883608661408,98.0615401712156
169,97.5640431394917,97.94883608661408,98.0615401712156
170,97.61634673769441,97.98975780435046,98.09983768906146
171,97.61634673769441,97.98975780435046,98.09983768906146
172,97.67082493040273,98.03201227835548,98.1407189294737
173,97.67082493040273,98.03201227835548,98.1407189294737
174,97.715806474679,98.0687220406855,98.17098632555206
175,97.715806474679,98.0687220406855,98.17098632555206
176,97.75718326573019,98.1062966047508,98.20308291609177
177,97.75718326573019,98.1062966047508,98.20308291609177
178,97.79199857255324,98.15173334393353,98.2390181358209
179,97.79199857255324,98.15173334393353,98.2390181358209
180,97.80325585139924,98.20445929160954,98.27216298087512
181,97.80325585139924,98.20445929160954,98.27216298087512
182,97.85013799028339,98.23058316522359,98.30864419406943
183,97.85013799028339,98.23058316522359,98.30864419406943
