Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.10115841178719401,0.0,0.0,0.0
10,0.0,0.0,0.0,0.10115841178719401,0.0,0.0,0.0
11,0.0,0.0,0.0,0.10115841178719404,0.0,0.0,0.0
12,0.0,0.0,0.0,0.10115841178719404,0.0,0.0,0.0
13,0.0,0.0,0.0,0.168492346149517,0.0,0.0,0.0
14,0.0,0.0,0.0,0.168492346149517,0.0,0.11920272296671389,0.07430419411148954
15,0.0,0.0,0.0,0.16849234614951702,0.0,0.11920272296671389,0.07430419411148954
16,0.0,0.0,0.0,0.22081089525077036,0.0,0.11920272296671389,0.5262145260491673
17,0.0,0.0,0.0,0.2242535338367433,0.0,0.11920272296671389,0.5262145260491673
18,0.0,0.0,0.0,0.4203621151722295,0.0,0.17244436618709674,1.8420575143877282
19,0.0,0.0,0.0,0.4686833627301342,0.0,0.17244436618709674,1.8420575143877282
20,0.06653595308149038,0.0,0.0,0.630075001170302,0.014093954955991474,0.3926268657572192,3.373948514289108
21,0.06653595308149038,0.0,0.0,0.7628374193833969,0.014093954955991474,0.3926268657572192,3.373948514289108
22,0.1544472969348554,0.04360037445686211,0.0,1.1212845176013642,0.014093954955991474,0.9799755190246227,7.272956502287223
23,0.1544472969348554,0.04360037445686211,0.0,1.6456688442050071,0.014093954955991474,0.9799755190246227,7.272956502287223
