Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,43.79870349025755,45.61536400535669,46.06212906872081,60.161597596545455,46.427569947762485,45.670756458771194,46.184754056805076
1,43.79870349025755,45.61536400535669,46.06212906872081,60.161597596545455,46.427569947762485,45.670756458771194,46.184754056805076
2,43.79870349025755,53.698496262990666,53.859685888955646,60.161597596545455,53.6981282206496,53.379985901771335,53.354057481345585
3,43.79870349025755,53.698496262990666,53.859685888955646,60.161597596545455,53.6981282206496,53.379985901771335,53.354057481345585
4,52.01177502399006,62.20965831842845,59.99646780198689,60.161597596545455,59.83348907917435,62.59149525169169,64.11696284698051
5,52.01177502399006,62.20965831842845,59.99646780198689,60.143216640075046,59.83348907917435,62.59149525169169,64.11696284698051
6,59.44110478391901,69.48295968313893,64.38355059653884,57.419522444415726,65.87970167407084,70.51058620064599,73.0387503120669
7,59.44110478391901,69.48295968313893,64.38355059653884,57.32904114256505,65.87970167407084,70.51058620064599,73.0387503120669
8,65.8681528824688,75.20603789664315,68.75637830489262,55.51422516416816,70.92211069761774,77.27088792341831,79.34065119145399
9,65.8681528824688,75.20603789664315,68.75637830489262,55.36184870165641,70.92211069761774,77.27088792341831,79.34065119145399
10,71.54055900712095,79.64257337181031,72.64552506304184,56.04208482680948,75.38276592095224,82.09525536648518,83.75930355825054
11,71.54055900712095,79.64257337181031,72.64552506304184,55.69594224869312,75.38276592095224,82.09525536648518,83.75930355825054
12,76.1885272726602,83.13252726874282,76.74485720988618,57.37042794834316,78.95756372654311,85.51996377349968,87.05749363622584
13,76.1885272726602,83.13252726874282,76.74485720988618,58.98960317781644,78.95756372654311,85.51996377349968,87.05749363622584
14,80.095818769892,85.68651958323453,80.44725676129984,61.416491904965945,82.1252944031116,88.0919072156397,89.16853083580516
15,80.095818769892,85.68651958323453,80.44725676129984,63.09502669309366,82.1252944031116,88.0919072156397,89.16853083580516
16,83.50909674869108,87.78299417358593,83.29647043613726,64.05831272377873,84.85182850407165,89.88540336434683,90.62574401347338
17,83.50909674869108,87.78299417358593,83.29647043613726,65.34204979794345,84.85182850407165,89.88540336434683,90.62574401347338
18,86.00684237348692,89.36642672131013,85.89876947277854,66.67106877583646,87.00039496917388,91.09436270504811,91.61364103678677
19,86.00684237348692,89.36642672131013,85.89876947277854,68.47573103776693,87.00039496917388,91.09436270504811,91.61364103678677
20,88.10481437959518,90.65976215128723,87.82809221832863,69.42919904226824,88.6228370178443,91.95884787613994,92.28872182912549
21,88.10481437959518,90.65976215128723,87.82809221832863,70.74314778291954,88.6228370178443,91.95884787613994,92.28872182912549
22,89.74222199002541,91.61589738354783,89.35003489880576,72.43065371516605,90.05713608260388,92.53952739943703,92.7662664154812
23,89.74222199002541,91.61589738354783,89.35003489880576,73.78190880188093,90.05713608260388,92.53952739943703,92.7662664154812
24,90.89578648852071,92.38849092220681,90.5809879139069,74.61691787462263,91.08295218002095,93.00558785755331,93.16368412982672
25,90.89578648852071,92.38849092220681,90.5809879139069,76.15838516749129,91.08295218002095,93.00558785755331,93.16368412982672
26,91.86315838652547,93.02623174655113,91.56062440886024,77.2322477391677,91.92770064821109,93.37197856070131,93.48097933335006
27,91.86315838652547,93.02623174655113,91.56062440886024,78.55534562446842,91.92770064821109,93.37197856070131,93.48097933335006
28,92.62457174171078,93.55468031621402,92.38484308305823,79.6465396425926,92.54803525921763,93.65815244524347,93.72670768730832
29,92.62457174171078,93.55468031621402,92.38484308305823,80.59948818160699,92.54803525921763,93.65815244524347,93.72670768730832
30,93.21071802486972,93.96790178265624,93.03912298534647,81.6821682719074,93.01169250048603,93.90742234140352,93.95438318149992
31,93.21071802486972,93.96790178265624,93.03912298534647,82.81639871154357,93.01169250048603,93.90742234140352,93.95438318149992
32,93.70387673974814,94.32230302237176,93.53931936052813,83.65580725530627,93.38222453833721,94.10473156663446,94.13565642421077
33,93.70387673974814,94.32230302237176,93.53931936052813,84.42430212582258,93.38222453833721,94.10473156663446,94.13565642421077
34,94.07564037167685,94.59745684024851,93.9669999239621,85.32939578846869,93.68057885799833,94.29030697365253,94.27637329534517
35,94.07564037167685,94.59745684024851,93.9669999239621,86.20167425443138,93.68057885799833,94.29030697365253,94.27637329534517
36,94.36918897212708,94.83357498081607,94.31432272420831,86.68829330427657,93.92652787954357,94.44800508473956,94.39658335861792
37,94.36918897212708,94.83357498081607,94.31432272420831,87.40938303091205,93.92652787954357,94.44800508473956,94.39658335861792
38,94.62374292877499,95.03044624184304,94.58936347220809,87.9337368649091,94.137177807243,94.57686761205686,94.52536628570806
39,94.62374292877499,95.03044624184304,94.58936347220809,88.41740228514473,94.137177807243,94.57686761205686,94.52536628570806
40,94.83534675702667,95.21709406795968,94.8092613328589,88.88844232677157,94.28603199629086,94.70706315883633,94.63209097600377
41,94.83534675702667,95.21709406795968,94.8092613328589,89.30635255604604,94.28603199629086,94.70706315883633,94.63209097600377
42,95.01405791718153,95.340767716788,94.99412253035582,89.86515927521853,94.47034980427698,94.80695970963518,94.72601322000946
43,95.01405791718153,95.340767716788,94.99412253035582,90.21589327871624,94.47034980427698,94.80695970963518,94.72601322000946
44,95.1661327519474,95.4853558350646,95.1633960163863,90.48049166281477,94.60120388549417,94.90430988762084,94.8479442653107
45,95.1661327519474,95.4853558350646,95.1633960163863,90.84770136899924,94.60120388549417,94.90430988762084,94.8479442653107
46,95.3061816221466,95.59779174064337,95.3091674860023,91.1135618364408,94.7243757224236,95.00357586395263,94.93976134384506
47,95.3061816221466,95.59779174064337,95.3091674860023,91.4369821066489,94.7243757224236,95.00357586395263,94.93976134384506
48,95.43116964433489,95.71088014733678,95.42968448729835,91.72182707791089,94.84120647834108,95.0912745880708,95.04561838062776
49,95.43116964433489,95.71088014733678,95.42968448729835,92.03429186399819,94.84120647834108,95.0912745880708,95.04561838062776
50,95.54141937644863,95.81435494924409,95.53864671012543,92.19227245817866,94.94143070720006,95.16266687499142,95.13431979328416
51,95.54141937644863,95.81435494924409,95.53864671012543,92.41051940147294,94.94143070720006,95.16266687499142,95.13431979328416
52,95.6392005017696,95.92253535345631,95.63240395833925,92.58910330637701,95.0281723894375,95.23943353861658,95.2034350949484
53,95.6392005017696,95.92253535345631,95.63240395833925,92.75120364723988,95.0281723894375,95.23943353861658,95.2034350949484
54,95.73652355231572,96.01953821798024,95.72323052393622,92.8817063290866,95.12319236910945,95.33508709326823,95.27869423672038
55,95.73652355231572,96.01953821798024,95.72323052393622,93.04142276643202,95.12319236910945,95.33508709326823,95.27869423672038
56,95.82935385928427,96.10195234571312,95.8161996573673,93.18275755795753,95.19931233521113,95.40952124731021,95.33388453807065
57,95.82935385928427,96.10195234571312,95.8161996573673,93.36386586543487,95.19931233521113,95.40952124731021,95.33388453807065
58,95.90295481968631,96.18048924520922,95.89635569396482,93.48618037458837,95.26492002810102,95.48168737124286,95.40772490838806
59,95.90295481968631,96.18048924520922,95.89635569396482,93.60409092234464,95.26492002810102,95.48168737124286,95.40772490838806
60,95.96990894686921,96.24733495966836,95.9766912673707,93.74879072159924,95.32659493528278,95.55631240706629,95.48001851653478
61,95.96990894686921,96.24733495966836,95.9766912673707,93.85827924280234,95.32659493528278,95.55631240706629,95.48001851653478
62,96.05214150489084,96.3078873187988,96.04936271644968,93.95478889536034,95.39116987529626,95.62064778019564,95.51910259381268
63,96.05214150489084,96.3078873187988,96.04936271644968,94.03340086994058,95.39116987529626,95.62064778019564,95.51910259381268
64,96.11760356954517,96.38660905642138,96.11532854761717,94.11107156092125,95.45782564355906,95.67028145286938,95.58714592693093
65,96.11760356954517,96.38660905642138,96.11532854761717,94.21043692847452,95.45782564355906,95.67028145286938,95.58714592693093
66,96.18236186004187,96.45471427942057,96.17851089976051,94.30384635649581,95.5231623107764,95.73716758587275,95.62735626299526
67,96.18236186004187,96.45471427942057,96.17851089976051,94.3710630313619,95.5231623107764,95.73716758587275,95.62735626299526
68,96.23564715146546,96.50723111409802,96.23980167337055,94.43081377927622,95.59272801554765,95.7835193923451,95.68752708803052
69,96.23564715146546,96.50723111409802,96.23980167337055,94.44864011659512,95.59272801554765,95.7835193923451,95.68752708803052
70,96.29435053741912,96.57068557702439,96.29866036582511,94.47530490329952,95.64327743528153,95.83147893898018,95.74543091927387
