Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.004459938188735026
15,0.0,0.0,0.0,0.0,0.0,0.0,0.004459938188735026
16,0.0,0.0,0.0,0.0,0.0,0.019587434450322797,0.1325260269152845
17,0.0,0.0,0.0,0.0,0.0,0.019587434450322797,0.1325260269152845
18,0.0,0.005773401980395342,0.0,0.0,0.0,0.07017122222409226,0.9725211594454615
19,0.0,0.005773401980395342,0.0,0.0,0.0,0.07017122222409226,0.9725211594454615
20,0.0,0.023884372945390142,0.0,0.0,0.0,0.2745171471286124,3.3451653771979375
21,0.0,0.023884372945390142,0.0,0.0,0.0,0.2745171471286124,3.3451653771979375
22,0.0,0.05468383890119871,0.001074338035736533,0.0,0.0,1.41189476370737,6.875761940540269
23,0.0,0.05468383890119871,0.001074338035736533,0.0,0.0,1.41189476370737,6.875761940540269
24,0.02550116970753854,0.684730718415455,0.07749622960781498,0.0,0.011068739492962469,5.131866876773168,12.986155568443031
25,0.02550116970753854,0.684730718415455,0.07749622960781498,0.0,0.011068739492962469,5.131866876773168,12.986155568443031
